placename,aint,arent,ent,innit,int,isnt,longitude,latitude
Ruthin,0.12157330,0.0000000000,0.0000000000,0.11799762,0.0000000000,0.7604291, -3.3103108,53.11487
Sidmouth,0.07142857,0.0000000000,0.0000000000,0.09135338,0.0015037594,0.8357143, -3.2375600,50.67865
Barrow-in-Furness,0.10016502,0.0000000000,0.0011513221,0.09751698,0.0043174579,0.7968492, -3.2188940,54.10897
Peebles,0.07293030,0.0004620716,0.0013862149,0.09303042,0.0039276088,0.8282634, -3.1936420,55.65307
Edinburgh,0.06710827,0.0004731488,0.0004731488,0.08863654,0.0030754672,0.8402334, -3.1882670,55.95325
Cardiff,0.12657835,0.0000000000,0.0007442137,0.11804470,0.0007442137,0.7538885, -3.1790900,51.48158
Llangollen,0.10467265,0.0000000000,0.0000000000,0.10744456,0.0015839493,0.7862988, -3.1716600,52.96921
Kirkcaldy,0.06453740,0.0004395282,0.0004395282,0.08863820,0.0028569336,0.8430884, -3.1581370,56.11682
Welshpool,0.15857503,0.0000000000,0.0000000000,0.09331652,0.0000000000,0.7481084, -3.1464070,52.66035
Mold,0.09172521,0.0000000000,0.0000000000,0.10226386,0.0015612802,0.8044496, -3.1419030,53.16720
Mold,0.09172521,0.0000000000,0.0000000000,0.10226386,0.0015612802,0.8044496, -3.1419030,53.16720
Taunton,0.09818664,0.0026536931,0.0000000000,0.11322424,0.0026536931,0.7832817, -3.1068490,51.01534
Wick,0.07599795,0.0000000000,0.0000000000,0.08495394,0.0076765609,0.8313715, -3.0937160,58.43894
John o' Groats,0.07690316,0.0000000000,0.0000000000,0.08259969,0.0077679959,0.8327292, -3.0688997,58.63734
Dalkeith,0.06492256,0.0004815023,0.0004815023,0.09036193,0.0031297649,0.8406227, -3.0666060,55.89312
Oswestry,0.13762811,0.0000000000,0.0000000000,0.10336750,0.0000000000,0.7590044, -3.0564120,52.85715
Blackpool,0.10243205,0.0009747697,0.0004873849,0.11408055,0.0046301561,0.7773951, -3.0356748,53.81751
Birkenhead,0.04917902,0.0006397270,0.0004797953,0.10848705,0.0010395565,0.8401749, -3.0230090,53.38999
Cupar,0.07147720,0.0000000000,0.0000000000,0.08815521,0.0020422056,0.8383254, -3.0101370,56.32023
Southport,0.09185188,0.0000000000,0.0000000000,0.11472068,0.0029915572,0.7904359, -3.0101130,53.64571
Bridgwater,0.13208241,0.0022075055,0.0000000000,0.11920530,0.0000000000,0.7465048, -3.0036320,51.12789
Langholm,0.07051482,0.0018720749,0.0000000000,0.08564743,0.0202808112,0.8216849, -2.9989130,55.15306
Newport,0.18536854,0.0000000000,0.0016501650,0.10203520,0.0016501650,0.7092959, -2.9976640,51.58415
