placename,control,doubled,longitude,latitude
Halifax,0.9611021,0.0388978930, -1.8575400,53.72702
Salisbury,0.9813034,0.0186966223, -1.7944720,51.06878
Ringwood,0.9815032,0.0184967704, -1.7888170,50.84495
Huddersfield,0.9680284,0.0319715808, -1.7850351,53.64579
Peterhead,0.9836634,0.0163366337, -1.7840660,57.50812
Swindon,0.9740783,0.0259216590, -1.7797176,51.55577
Bradford,0.9736191,0.0263808739, -1.7593980,53.79598
Ashbourne,0.9728841,0.0271158587, -1.7321790,53.01663
Marlborough,0.9859320,0.0140679953, -1.7270620,51.42007
Stratford-upon-Avon,0.9703088,0.0296912114, -1.7082980,52.19173
Alnwick,0.9768111,0.0231888884, -1.7062990,55.41274
Otley,0.9733797,0.0266202697, -1.6917860,53.90583
Bishop Auckland,0.9919743,0.0080256822, -1.6787880,54.66382
Burton upon Trent,0.9726225,0.0273775216, -1.6371359,52.81403
Newcastle,0.9721439,0.0278561354, -1.6177800,54.97825
Durham,0.9851974,0.0148026316, -1.5848520,54.77525
Ashington,0.9770890,0.0229109879, -1.5659829,55.18298
Darlington,0.9903382,0.0096618357, -1.5594580,54.52361
Leeds,0.9753329,0.0246670837, -1.5490774,53.80076
Harrogate,0.9802651,0.0197348749, -1.5418120,53.99212
Leamington Spa,0.9750297,0.0249702735, -1.5200789,52.28519
Coventry,0.9765542,0.0234458259, -1.5196930,52.40682
Blyth,0.9728103,0.0271897239, -1.5102770,55.12696
Wakefield,0.9807748,0.0192251675, -1.5059240,53.68330
Andover,0.9788194,0.0211806237, -1.4919233,51.21120
Witney,0.9705947,0.0294053105, -1.4850544,51.78594
Barnsley,0.9795837,0.0204163331, -1.4797260,53.55263
Derby,0.9702479,0.0297520661, -1.4746186,52.92253
Sheffield,0.9801530,0.0198470126, -1.4700850,53.38113
Nuneaton,0.9795872,0.0204127920, -1.4653820,52.52049
Northallerton,0.9857942,0.0142057684, -1.4299590,54.33796
South Shields,0.9753650,0.0246350365, -1.4274060,54.99942
Chesterfield,0.9809783,0.0190217391, -1.4216290,53.23505
Southampton,0.9843145,0.0156855151, -1.4043509,50.90970
Wetherby,0.9801779,0.0198221093, -1.3848160,53.92706
Sunderland,0.9751381,0.0248618785, -1.3838010,54.90687
Rotherham,0.9774391,0.0225608549, -1.3635009,53.43260
Castleford,0.9810561,0.0189439303, -1.3459680,53.72347
Thirsk,0.9807966,0.0192034139, -1.3413770,54.23385
Banbury,0.9785615,0.0214384509, -1.3397750,52.06290
Stockton,0.9909536,0.0090463626, -1.3289821,54.57046
Newbury,0.9843546,0.0156453716, -1.3231139,51.40141
Isle of Wight,0.9855697,0.0144303320, -1.3047340,50.69385
Isle of Wight,0.9855697,0.0144303320, -1.3047340,50.69385
Abingdon,0.9691809,0.0308191403, -1.2879529,51.67078
Shetland Islands,0.9870487,0.0129513344, -1.2659409,60.52965
Rugby,0.9743014,0.0256985519, -1.2650320,52.37088
Oxford,0.9716123,0.0283876691, -1.2577263,51.75202
Middlesbrough,0.9909842,0.0090157776, -1.2349560,54.57423
Hartlepool,0.9924670,0.0075329567, -1.2129260,54.69174
Loughborough,0.9881959,0.0118040527, -1.2061660,52.77210
Mansfield,0.9914364,0.0085636434, -1.1986740,53.14720
Nottingham,0.9906991,0.0093008836, -1.1581086,52.95478
Bicester,0.9790689,0.0209310718, -1.1535899,51.89960
Leicester,0.9901255,0.0098745114, -1.1397592,52.63688
Doncaster,0.9806362,0.0193637621, -1.1284620,53.52282
Worksop,0.9872295,0.0127704860, -1.1227450,53.30930
Basingstoke,0.9833992,0.0166007905, -1.0923964,51.26654
Portsmouth,0.9876787,0.0123212656, -1.0879769,50.81977
York,0.9769752,0.0230248307, -1.0872979,53.95997
Selby,0.9812410,0.0187590188, -1.0671890,53.78352
Helmsley,0.9829739,0.0170261067, -1.0562636,54.24651
Towcester,0.9799331,0.0200668896, -0.9896880,52.13511
Reading,0.9854440,0.0145560408, -0.9781303,51.45426
Retford,0.9840686,0.0159313725, -0.9455030,53.32136
Petersfield,0.9905475,0.0094525404, -0.9389900,51.00759
Northampton,0.9778761,0.0221238938, -0.9026560,52.24048
Melton Mowbray,0.9877697,0.0122303380, -0.8871260,52.76640
Aylesbury,0.9805447,0.0194552529, -0.8084000,51.81561
Newark-on-Trent,0.9909165,0.0090834983, -0.8065700,53.07004
Malton,0.9871904,0.0128095645, -0.7978970,54.13684
Chichester,0.9912734,0.0087265676, -0.7749360,50.83761
Gainsborough,0.9835541,0.0164458657, -0.7744650,53.40058
Milton Keynes,0.9791007,0.0208993034, -0.7594171,52.04062
Aldershot,0.9972452,0.0027548209, -0.7557509,51.24837
High Wycombe,0.9738676,0.0261324042, -0.7482290,51.62861
Midhurst,1.0000000,0.0000000000, -0.7372740,50.98690
Kettering,0.9825304,0.0174695606, -0.7302490,52.39632
Wellingborough,0.9794731,0.0205268560, -0.6939640,52.30242
Corby,0.9954853,0.0045146727, -0.6842333,52.49230
Bognor Regis,0.9910770,0.0089230388, -0.6730610,50.78300
Scunthorpe,0.9820157,0.0179842638, -0.6544130,53.58865
Grantham,0.9951193,0.0048806941, -0.6435820,52.91252
Whitby,0.9922145,0.0077854671, -0.6133470,54.48633
Slough,0.9632697,0.0367303212, -0.5950406,51.51054
Guildford,0.9971890,0.0028109628, -0.5704090,51.23622
Woking,0.9971678,0.0028321926, -0.5600349,51.31677
Lincoln,0.9904934,0.0095065641, -0.5405790,53.23069
Bedford,0.9845288,0.0154711674, -0.4667782,52.13864
Heathrow,0.9724152,0.0275847977, -0.4542955,51.47002
Driffield,0.9826199,0.0173801094, -0.4433770,54.00600
Beverley,0.9875104,0.0124895920, -0.4350930,53.84196
Luton,0.9821996,0.0178003814, -0.4200255,51.87867
Scarborough,0.9834203,0.0165796745, -0.3997520,54.28311
Worthing,0.9897588,0.0102411783, -0.3728820,50.81787
Dorking,0.9896966,0.0103033772, -0.3323780,51.23220
Hull,0.9877100,0.0122900451, -0.3274198,53.76762
Horsham,0.9934721,0.0065278886, -0.3258580,51.06288
Biggleswade,0.9959541,0.0040458530, -0.2642200,52.08694
Peterborough,0.9810964,0.0189035917, -0.2405299,52.56950
Welwyn Garden City,0.9861315,0.0138684598, -0.2086610,51.80317
Bridlington,0.9877850,0.0122149837, -0.1988020,54.08535
Stevenage,0.9891623,0.0108376609, -0.1966120,51.90376
Crawley,0.9896447,0.0103553416, -0.1872275,51.10914
Huntingdon,0.9822649,0.0177350822, -0.1825520,52.33146
Hove,0.9890153,0.0109847465, -0.1687490,50.82793
Spalding,0.9852507,0.0147492625, -0.1537024,52.79010
Brighton,0.9895037,0.0104962859, -0.1371630,50.82253
London,0.9828266,0.0171733653, -0.1277583,51.50735
Grimsby,0.9844105,0.0155894771, -0.0807840,53.56747
Boston,0.9827669,0.0172331259, -0.0265770,52.97894
Royston,0.9822972,0.0177028451, -0.0240660,52.04814
Louth_Lincs,0.9850653,0.0149346609, -0.0077110,53.36596
Lewes,0.9908628,0.0091372245,  0.0087800,50.87387
Chatteris,0.9775070,0.0224929709,  0.0540120,52.45610
Uckfield,0.9926494,0.0073506280,  0.0959130,50.96641
Cambridge,0.9769019,0.0230980752,  0.1218170,52.20534
