placename,preposition_drop_determiner,preposition_drop_no_determiner,preposition_retained,longitude,latitude
Banff,0.003350027,0.018983487,0.9776665, -2.5240380,57.66651
Dunbar,0.017091837,0.030612245,0.9522959, -2.5167370,56.00209
Cinderford,0.013654754,0.102494943,0.8838503, -2.5009579,51.82530
Banchory,0.009579564,0.021554018,0.9688664, -2.4909599,57.05386
Blackburn,0.092415628,0.204911092,0.7026733, -2.4875290,53.74858
Market Drayton,0.256782454,0.113499070,0.6297185, -2.4834850,52.90355
Telford,0.056523693,0.146738849,0.7967375, -2.4672611,52.67759
Montrose,0.010696458,0.019253625,0.9700499, -2.4661150,56.70692
Turriff,0.003313697,0.018777614,0.9779087, -2.4623000,57.53893
Weymouth,0.025753047,0.128604277,0.8456427, -2.4576210,50.61443
Crewe,0.384191392,0.110824440,0.5049842, -2.4438209,53.10041
Fortuneswell,0.025629291,0.127986270,0.8463844, -2.4422190,50.55919
Dorchester,0.024077345,0.129009017,0.8469136, -2.4411810,50.71116
Alston,0.024478694,0.064596555,0.9109248, -2.4386850,54.81217
Kelso,0.015763632,0.030493583,0.9537428, -2.4322070,55.60003
Wincanton,0.017397067,0.086985337,0.8956176, -2.4160070,51.05569
Clitheroe,0.086526223,0.215341455,0.6981323, -2.3930830,53.87110
Sark,0.024562481,0.137396377,0.8380411, -2.3666256,49.43007
Bath,0.017196402,0.116526093,0.8662775, -2.3590167,51.38106
Kidderminster,0.036415464,0.143666489,0.8199180, -2.2496839,52.38860
Manchester,0.059553875,0.236459564,0.7039866, -2.2426305,53.48076
Burnley,0.079509210,0.270129532,0.6503613, -2.2405035,53.78929
Gloucester,0.017363452,0.110080917,0.8725556, -2.2381560,51.86424
Newcastle-under-Lyme,0.320444419,0.121734668,0.5578209, -2.2273002,53.01321
Worcester,0.035630811,0.105801693,0.8585675, -2.2215750,52.19364
Trowbridge,0.016717527,0.079408253,0.9038742, -2.2088530,51.31966
Shaftesbury,0.023147784,0.071096764,0.9057555, -2.1980830,51.00460
Alderney,0.023508669,0.122685865,0.8538055, -2.1973557,49.71500
Stoke-on-Trent,0.318461488,0.123339736,0.5581988, -2.1794040,53.00267
Colne,0.086486280,0.219559734,0.6939540, -2.1769910,53.85564
Blandford Forum,0.022475810,0.109493643,0.8680305, -2.1653530,50.85691
Rochdale,0.055115554,0.235965179,0.7089193, -2.1561000,53.60971
Jersey,0.023474178,0.125146714,0.8513791, -2.1312500,49.21444
Wolverhampton,0.037166998,0.192137218,0.7706958, -2.1288200,52.58697
Stafford,0.203705662,0.145674624,0.6506197, -2.1206600,52.80669
Macclesfield,0.081995134,0.145742092,0.7722628, -2.1192870,53.25866
Hexham,0.022641509,0.053259005,0.9240995, -2.1121439,54.97266
Aberdeen,0.009345794,0.021028037,0.9696262, -2.0942780,57.14972
Dudley,0.035780750,0.203394457,0.7608248, -2.0811120,52.51226
Cheltenham,0.016853933,0.117296561,0.8658495, -2.0782533,51.89939
Bromsgrove,0.038644918,0.135608532,0.8257465, -2.0619060,52.33559
Skipton,0.038531986,0.155009837,0.8064582, -2.0162787,53.96285
Fraserburgh,0.003269701,0.018528304,0.9782020, -2.0076310,57.69335
Berwick,0.008714597,0.017429194,0.9738562, -2.0053950,55.77024
Poole,0.023036989,0.110155743,0.8668073, -1.9872480,50.71505
Walsall,0.094254741,0.208211834,0.6975334, -1.9829190,52.58621
Cirencester,0.009776921,0.121316442,0.8689066, -1.9682430,51.71849
Evesham,0.021304802,0.107569647,0.8711256, -1.9467700,52.09215
Buxton,0.058373206,0.161004785,0.7806220, -1.9148300,53.25908
Keighley,0.023958073,0.095042010,0.8809999, -1.9123580,53.86780
Birmingham,0.103166866,0.197891436,0.6989417, -1.8904010,52.48624
Bournemouth,0.013813814,0.098398398,0.8877878, -1.8807690,50.71916
Halifax,0.023112481,0.100462250,0.8764253, -1.8575400,53.72702
Salisbury,0.010805652,0.091771080,0.8974233, -1.7944720,51.06878
