placename,a load of,a lot of,bare,loads of,lots of,longitude,latitude
Penrith,0.012605330,0.5645644,0.0030870197,0.11780410,0.3019391, -2.7527080,54.66410
Kendal,0.012095196,0.5421494,0.0112058436,0.11401501,0.3205346, -2.7462900,54.32801
Street,0.016316822,0.4819513,0.0136877686,0.12227184,0.3657722, -2.7429190,51.12468
Glastonbury,0.016055517,0.4794071,0.0139613189,0.12548762,0.3650885, -2.7184540,51.14743
Hereford,0.016269411,0.4778445,0.0123806249,0.13523452,0.3582709, -2.7159740,52.05640
Ludlow,0.015438872,0.5013992,0.0178166587,0.13028934,0.3350559, -2.7139129,52.36775
Preston,0.010840205,0.5269050,0.0150459672,0.14261089,0.3045979, -2.7030900,53.76320
Whitchurch,0.011700747,0.5338339,0.0071454942,0.11475664,0.3325632, -2.6820450,52.96872
Wells,0.016333180,0.4827269,0.0141192197,0.12757425,0.3592464, -2.6445979,51.20935
Yeovil,0.014292475,0.4676763,0.0039753904,0.12399432,0.3900615, -2.6333080,50.94206
Wigan,0.016006047,0.5462762,0.0090711891,0.14832709,0.2803195, -2.6325074,53.54506
Warrington,0.018521660,0.5377785,0.0115088791,0.13739962,0.2947913, -2.5969501,53.39004
Arbroath,0.004328296,0.5636750,0.0010709186,0.11647727,0.3144485, -2.5915430,56.55911
Bristol,0.014995910,0.4878669,0.0142688358,0.12514769,0.3577206, -2.5879100,51.45451
Guernsey,0.010086306,0.4965686,0.0077986898,0.12576687,0.3597796, -2.5852780,49.46569
Ross-on-Wye,0.013405552,0.4999052,0.0126743399,0.12820582,0.3458091, -2.5824460,51.91445
Jedburgh,0.006968468,0.5485362,0.0005574775,0.11648182,0.3274561, -2.5549369,55.47772
Sedbergh,0.013718676,0.5522295,0.0063316965,0.10151820,0.3262020, -2.5281740,54.32363
Sedbergh,0.013718676,0.5522295,0.0063316965,0.10151820,0.3262020, -2.5281740,54.32363
Nantwich,0.013754787,0.5353579,0.0084146933,0.13010410,0.3123685, -2.5241020,53.06719
Banff,0.008423361,0.5779228,0.0019253396,0.11439726,0.2973313, -2.5240380,57.66651
Dunbar,0.004049063,0.5630126,0.0005339424,0.11890601,0.3134984, -2.5167370,56.00209
Cinderford,0.009351343,0.5202909,0.0096185246,0.11061303,0.3501262, -2.5009579,51.82530
Banchory,0.005292807,0.5788659,0.0022285502,0.12628451,0.2873282, -2.4909599,57.05386
Blackburn,0.010692387,0.5374013,0.0122378946,0.14689258,0.2927759, -2.4875290,53.74858
Market Drayton,0.012008400,0.5241877,0.0087911015,0.11093882,0.3440739, -2.4834850,52.90355
Telford,0.015848005,0.5333672,0.0159315165,0.11230434,0.3225490, -2.4672611,52.67759
Montrose,0.006130427,0.5743055,0.0021323225,0.12100930,0.2964224, -2.4661150,56.70692
Turriff,0.008339069,0.5792873,0.0019060730,0.11277598,0.2976915, -2.4623000,57.53893
Weymouth,0.012952409,0.4955222,0.0075494042,0.11523943,0.3687366, -2.4576210,50.61443
Crewe,0.011724495,0.5289816,0.0073024534,0.12911143,0.3228800, -2.4438209,53.10041
Fortuneswell,0.013861536,0.4954552,0.0077261021,0.11536131,0.3675958, -2.4422190,50.55919
