placename,merger,no merger,longitude,latitude
Fraserburgh,0.00000000,1.00000000, -2.0076310,57.69335
Berwick,0.00000000,1.00000000, -2.0053950,55.77024
Poole,0.94117647,0.05882353, -1.9872480,50.71505
Walsall,0.08823529,0.91176471, -1.9829190,52.58621
Cirencester,0.44117647,0.55882353, -1.9682430,51.71849
Evesham,0.26470588,0.73529412, -1.9467700,52.09215
Buxton,0.00000000,1.00000000, -1.9148300,53.25908
Keighley,0.00000000,1.00000000, -1.9123580,53.86780
Birmingham,0.08823529,0.91176471, -1.8904010,52.48624
Bournemouth,0.88235294,0.11764706, -1.8807690,50.71916
Halifax,0.00000000,1.00000000, -1.8575400,53.72702
Salisbury,0.85294118,0.14705882, -1.7944720,51.06878
Ringwood,0.88235294,0.11764706, -1.7888170,50.84495
Huddersfield,0.00000000,1.00000000, -1.7850351,53.64579
Peterhead,0.00000000,1.00000000, -1.7840660,57.50812
Swindon,0.64705882,0.35294118, -1.7797176,51.55577
Bradford,0.00000000,1.00000000, -1.7593980,53.79598
Ashbourne,0.00000000,1.00000000, -1.7321790,53.01663
Marlborough,0.70588235,0.29411765, -1.7270620,51.42007
Stratford-upon-Avon,0.20588235,0.79411765, -1.7082980,52.19173
Alnwick,0.00000000,1.00000000, -1.7062990,55.41274
Otley,0.00000000,1.00000000, -1.6917860,53.90583
Bishop Auckland,0.00000000,1.00000000, -1.6787880,54.66382
Burton upon Trent,0.00000000,1.00000000, -1.6371359,52.81403
Newcastle,0.00000000,1.00000000, -1.6177800,54.97825
Durham,0.00000000,1.00000000, -1.5848520,54.77525
Ashington,0.00000000,1.00000000, -1.5659829,55.18298
Darlington,0.00000000,1.00000000, -1.5594580,54.52361
Leeds,0.00000000,1.00000000, -1.5490774,53.80076
Harrogate,0.00000000,1.00000000, -1.5418120,53.99212
Leamington Spa,0.14705882,0.85294118, -1.5200789,52.28519
Coventry,0.08823529,0.91176471, -1.5196930,52.40682
Blyth,0.00000000,1.00000000, -1.5102770,55.12696
Wakefield,0.00000000,1.00000000, -1.5059240,53.68330
Andover,0.70588235,0.29411765, -1.4919233,51.21120
Witney,0.23529412,0.76470588, -1.4850544,51.78594
Barnsley,0.00000000,1.00000000, -1.4797260,53.55263
Derby,0.00000000,1.00000000, -1.4746186,52.92253
Sheffield,0.00000000,1.00000000, -1.4700850,53.38113
Nuneaton,0.02941176,0.97058824, -1.4653820,52.52049
Northallerton,0.00000000,1.00000000, -1.4299590,54.33796
South Shields,0.00000000,1.00000000, -1.4274060,54.99942
Chesterfield,0.00000000,1.00000000, -1.4216290,53.23505
Southampton,0.73529412,0.26470588, -1.4043509,50.90970
Wetherby,0.00000000,1.00000000, -1.3848160,53.92706
Sunderland,0.00000000,1.00000000, -1.3838010,54.90687
Rotherham,0.00000000,1.00000000, -1.3635009,53.43260
Castleford,0.00000000,1.00000000, -1.3459680,53.72347
Thirsk,0.00000000,1.00000000, -1.3413770,54.23385
Banbury,0.08823529,0.91176471, -1.3397750,52.06290
Stockton,0.00000000,1.00000000, -1.3289821,54.57046
Newbury,0.50000000,0.50000000, -1.3231139,51.40141
Isle of Wight,0.73529412,0.26470588, -1.3047340,50.69385
Isle of Wight,0.73529412,0.26470588, -1.3047340,50.69385
Abingdon,0.23529412,0.76470588, -1.2879529,51.67078
Shetland Islands,0.00000000,1.00000000, -1.2659409,60.52965
Rugby,0.02941176,0.97058824, -1.2650320,52.37088
Oxford,0.11764706,0.88235294, -1.2577263,51.75202
Middlesbrough,0.00000000,1.00000000, -1.2349560,54.57423
Hartlepool,0.00000000,1.00000000, -1.2129260,54.69174
Loughborough,0.00000000,1.00000000, -1.2061660,52.77210
Mansfield,0.00000000,1.00000000, -1.1986740,53.14720
Nottingham,0.00000000,1.00000000, -1.1581086,52.95478
Bicester,0.05882353,0.94117647, -1.1535899,51.89960
Leicester,0.00000000,1.00000000, -1.1397592,52.63688
Doncaster,0.00000000,1.00000000, -1.1284620,53.52282
Worksop,0.00000000,1.00000000, -1.1227450,53.30930
Basingstoke,0.47058824,0.52941176, -1.0923964,51.26654
Portsmouth,0.50000000,0.50000000, -1.0879769,50.81977
York,0.00000000,1.00000000, -1.0872979,53.95997
Selby,0.00000000,1.00000000, -1.0671890,53.78352
Helmsley,0.00000000,1.00000000, -1.0562636,54.24651
Towcester,0.00000000,1.00000000, -0.9896880,52.13511
Reading,0.20588235,0.79411765, -0.9781303,51.45426
Retford,0.00000000,1.00000000, -0.9455030,53.32136
Petersfield,0.44117647,0.55882353, -0.9389900,51.00759
Northampton,0.00000000,1.00000000, -0.9026560,52.24048
Melton Mowbray,0.00000000,1.00000000, -0.8871260,52.76640
Aylesbury,0.05882353,0.94117647, -0.8084000,51.81561
Newark-on-Trent,0.00000000,1.00000000, -0.8065700,53.07004
Malton,0.00000000,1.00000000, -0.7978970,54.13684
Chichester,0.26470588,0.73529412, -0.7749360,50.83761
Gainsborough,0.00000000,1.00000000, -0.7744650,53.40057
Milton Keynes,0.00000000,1.00000000, -0.7594171,52.04062
Aldershot,0.17647059,0.82352941, -0.7557509,51.24837
High Wycombe,0.05882353,0.94117647, -0.7482290,51.62861
Midhurst,0.20588235,0.79411765, -0.7372740,50.98690
Kettering,0.00000000,1.00000000, -0.7302490,52.39632
Wellingborough,0.00000000,1.00000000, -0.6939640,52.30242
Corby,0.00000000,1.00000000, -0.6842333,52.49230
Bognor Regis,0.20588235,0.79411765, -0.6730610,50.78300
Scunthorpe,0.00000000,1.00000000, -0.6544130,53.58865
Grantham,0.00000000,1.00000000, -0.6435820,52.91252
Whitby,0.00000000,1.00000000, -0.6133470,54.48634
Slough,0.00000000,1.00000000, -0.5950406,51.51054
Guildford,0.08823529,0.91176471, -0.5704090,51.23622
Woking,0.02941176,0.97058824, -0.5600349,51.31677
Lincoln,0.00000000,1.00000000, -0.5405790,53.23069
Bedford,0.00000000,1.00000000, -0.4667782,52.13864
Heathrow,0.00000000,1.00000000, -0.4542955,51.47002
Driffield,0.00000000,1.00000000, -0.4433770,54.00600
Beverley,0.00000000,1.00000000, -0.4350930,53.84196
Luton,0.00000000,1.00000000, -0.4200255,51.87867
Scarborough,0.00000000,1.00000000, -0.3997520,54.28311
Worthing,0.14705882,0.85294118, -0.3728820,50.81787
Dorking,0.00000000,1.00000000, -0.3323780,51.23220
Hull,0.00000000,1.00000000, -0.3274198,53.76762
Horsham,0.05882353,0.94117647, -0.3258580,51.06288
Biggleswade,0.00000000,1.00000000, -0.2642200,52.08694
Peterborough,0.00000000,1.00000000, -0.2405299,52.56950
Welwyn Garden City,0.00000000,1.00000000, -0.2086610,51.80317
Bridlington,0.00000000,1.00000000, -0.1988020,54.08535
Stevenage,0.00000000,1.00000000, -0.1966120,51.90376
Crawley,0.05882353,0.94117647, -0.1872275,51.10914
Huntingdon,0.00000000,1.00000000, -0.1825520,52.33146
Hove,0.05882353,0.94117647, -0.1687490,50.82793
Spalding,0.00000000,1.00000000, -0.1537024,52.79010
Brighton,0.05882353,0.94117647, -0.1371630,50.82253
London,0.00000000,1.00000000, -0.1277583,51.50735
Grimsby,0.00000000,1.00000000, -0.0807840,53.56747
Boston,0.00000000,1.00000000, -0.0265770,52.97894
Royston,0.00000000,1.00000000, -0.0240660,52.04814
Louth_Lincs,0.00000000,1.00000000, -0.0077110,53.36596
Lewes,0.00000000,1.00000000,  0.0087800,50.87387
Chatteris,0.00000000,1.00000000,  0.0540120,52.45610
Uckfield,0.00000000,1.00000000,  0.0959130,50.96641
Cambridge,0.00000000,1.00000000,  0.1218170,52.20534
Bishop's Stortford,0.00000000,1.00000000,  0.1536502,51.87216
Wisbech,0.00000000,1.00000000,  0.1587970,52.66632
Sevenoaks,0.00000000,1.00000000,  0.1908980,51.27241
Tunbridge Wells,0.00000000,1.00000000,  0.2636950,51.13238
Eastbourne,0.00000000,1.00000000,  0.2904720,50.76803
Brentwood,0.00000000,1.00000000,  0.3071749,51.62047
Skegness,0.00000000,1.00000000,  0.3378810,53.14640
Downham Market,0.00000000,1.00000000,  0.3854720,52.60661
King's Lynn,0.00000000,1.00000000,  0.4022963,52.75168
Bexhill,0.00000000,1.00000000,  0.4662071,50.84991
Chelmsford,0.00000000,1.00000000,  0.4685497,51.73559
Mildenhall,0.00000000,1.00000000,  0.5156095,52.34757
Medway,0.00000000,1.00000000,  0.5417861,51.40474
Braintree,0.00000000,1.00000000,  0.5509269,51.88009
Gillingham,0.00000000,1.00000000,  0.5514380,51.38632
Hastings,0.00000000,1.00000000,  0.5734530,50.85426
Maldon,0.00000000,1.00000000,  0.6714480,51.73180
Southend,0.00000000,1.00000000,  0.7077123,51.54593
Bury St Edmunds,0.00000000,1.00000000,  0.7104932,52.24292
Thetford,0.00000000,1.00000000,  0.7516570,52.41286
Ashford,0.00000000,1.00000000,  0.8750190,51.14647
Faversham,0.00000000,1.00000000,  0.8893580,51.31599
Colchester,0.00000000,1.00000000,  0.8918740,51.89593
New Romney,0.00000000,1.00000000,  0.9394730,50.98512
Canterbury,0.00000000,1.00000000,  1.0789089,51.28023
Ipswich,0.00000000,1.00000000,  1.1482200,52.05674
Clacton,0.00000000,1.00000000,  1.1530350,51.78953
Folkestone,0.00000000,1.00000000,  1.1694560,51.08140
Sheringham,0.00000000,1.00000000,  1.2109589,52.94442
Harwich,0.00000000,1.00000000,  1.2602970,51.93473
Norwich,0.00000000,1.00000000,  1.2973550,52.63089
Cromer,0.00000000,1.00000000,  1.3018660,52.93145
Dover,0.00000000,1.00000000,  1.3134027,51.12788
Felixstowe,0.00000000,1.00000000,  1.3512550,51.96173
Margate,0.00000000,1.00000000,  1.3868339,51.38965
Ramsgate,0.00000000,1.00000000,  1.4198950,51.33555
Great Yarmouth,0.00000000,1.00000000,  1.7280470,52.59823
Lowestoft,0.00000000,1.00000000,  1.7534490,52.48114
