,variant,theme,goal,theme_type,goal_type,goal_det,goal_noun,theme_det,theme_noun,verb_form,verb_stem,verb_tag,latitude,longitude,weight
757,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.068785,-1.794472,1.0
758,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.1277261858565,-0.186832095288607,0.5
759,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.195043,0.27568000000000004,1.0
760,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.21135069086186,0.799546897596479,1.0
761,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.227264630933846,-0.253728581751866,1.0
762,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.280233,1.0789089,1.0
763,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.35893068481797,-0.092632594680242,1.0
764,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.3689461,-0.3824197,1.0
765,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.3810641,-2.3590167,0.3333333333333333
766,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.4387194,-0.1476151,1.0
767,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.43933,-2.003884,1.0
768,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.45165618360951,-0.193719093375096,0.5
769,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.45252367906998,-0.9820300873965708,1.0
770,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.4542645,-0.9781303,0.5
771,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.4543908,-2.6023648,3.0
772,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.454513,-2.58791,2.3333333333333335
773,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.457876669614194,-2.585389575449031,1.0
774,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.46033918399733,-0.115405593922422,1.0
775,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.4612794,-0.11561480000000005,1.0
776,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.46468568422318,-0.070603094239376,1.0
777,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.4782199,-3.1750033,1.0
778,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.481581,-3.17909,0.5
779,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.4822161,-2.7596831,1.0
780,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.4913877,-0.1869473,1.0
781,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.49838668316304,-0.216107592935755,1.0
782,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.50009168353514,-0.14893559343778198,0.2
783,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.5001962697494,-0.175319135850559,1.0
784,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.50378618328007,-0.189189593109732,1.0
785,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.505688171783206,-0.14318231979015,1.0
786,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.506692353631536,-0.19674511861001506,2.0
787,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.50725449814822,-0.129644576931647,1.0
788,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.5073509,-0.12775830000000002,12.418518518518518
789,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.507963,-0.1242718,1.0
790,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.5105384,-0.5950406,1.0
791,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.51195429999999,-0.1226504,1.0
792,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.5123792,-0.0087975,1.0
793,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.513867594297686,-0.127296158151985,1.0
794,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.51448018375678,-0.092910093782144,1.0
795,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.51604718453137,0.044914405174449,1.0
796,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.52250617351324,-0.170017496680618,1.0
797,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.524835183228426,-0.17311459311106198,1.0
798,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.5267761,-0.0911521,1.0
799,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.5391728,-0.14209059999999998,1.0
800,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.54048639112739,-0.19973141088406104,2.0
801,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.5482174,-0.0235392,1.0
802,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.565195182438536,-0.26314009219365603,1.0
803,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.5742447,0.4856781,0.3333333333333333
804,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.584151,-2.997664,1.0
805,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.58790118320384,-0.102161593288369,1.0
806,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.6020698,-0.6861199,1.0
807,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.60669716117755,-3.812973065751173,1.0
808,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.61182700000001,-3.1018,1.0
809,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.618370184013756,0.07632640552584899,1.0
810,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.639295,-2.15818,1.0
811,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.646985,-3.135657,1.0
812,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.64965460000001,-3.0317889,1.0
813,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.656489,-0.39032,1.0
814,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.668666159302866,-4.0487550637387,1.0
815,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.68687115861101,-4.140761062988327,1.0
816,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.7159269,-1.9711737,1.0
817,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.73558679999999,0.4685497,1.0
818,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.74873,-3.381646,1.0
819,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.76826368316689,0.106737406161327,2.0
820,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.8072204,-0.8127664000000001,1.0
821,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.8097823,-0.2376744,1.0
822,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.89404267873312,-0.51754908837784,1.0
823,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.8985143,-8.4756035,1.0
824,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.8993855,-2.0782533,1.0
825,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.944859,-0.8787370000000001,1.0
826,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.9496196797724,-0.270884089921751,1.0
827,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,51.953746762451104,0.04955162711339,1.0
828,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.033566676355115,-0.764063085724308,1.0
829,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.082766,0.440945,1.0
830,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.1386394,-0.4667782,1.0
831,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.1872472,0.9707801,1.0
832,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.190647697102,-2.212102958459233,1.0
833,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.1923716697882,-1.7012615778563702,1.0
834,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.22045018239496,0.5115784057048179,1.0
835,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.240477,-0.902656,1.0
836,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.33058717351233,-0.903590582982662,1.0
