,userid,construction_type,tag,verb,pronoun,preposition,goal,goal_det,goal_noun,theme_type,goal_type,latitude,longitude
5096,3074314,it+nominal,prepositional_dative,report,it,to,your people,your,people,pronominal,nominal,51.4817279,-0.613576
5097,463527,it+nominal,prepositional_dative,stick,it,to,the man,the,man,pronominal,nominal,54.755373,-6.607980499999999
5098,1810886,it+nominal,prepositional_dative,say,it,to,my face,my,face,pronominal,nominal,51.41233,-0.300689
5099,4330257,it+nominal,prepositional_dative,give,it,to,my wife,my,wife,pronominal,nominal,52.40443565445794,-4.001616560131069
5100,4539927,it+nominal,prepositional_dative,say,it,to,his face,his,face,pronominal,nominal,51.6148081653546,-3.1147655707313966
5101,5714090,it+nominal,prepositional_dative,bringing,it,to,my attention,my,attention,pronominal,nominal,55.7643524,-4.1769987
5102,3006092,it+nominal,prepositional_dative,sold,it,to,my girlfriend,my,girlfriend,pronominal,nominal,55.94319513486961,-3.203008046263737
5103,3240312,it+nominal,prepositional_dative,say,it,to,my face,my,face,pronominal,nominal,53.93184416076496,-1.2074820715725711
5104,3952808,it+nominal,prepositional_dative,mentioned,it,to,the team,the,team,pronominal,nominal,51.5073509,-0.12775830000000002
5105,3873083,it+nominal,prepositional_dative,returned,it,to,a girl,a,girl,pronominal,nominal,54.2766103,-8.476088800000001
5106,3873083,it+nominal,prepositional_dative,returned,it,to,a girl,a,girl,pronominal,nominal,54.2766103,-8.476088800000001
5107,185093,it+nominal,prepositional_dative,give,it,to,my boy,my,boy,pronominal,nominal,51.481581,-3.17909
5108,496315,it+nominal,prepositional_dative,applying,it,to,my face,my,face,pronominal,nominal,51.2868939,-0.7526149999999999
5109,4850225,it+nominal,prepositional_dative,recommend,it,to,a friend,a,friend,pronominal,nominal,51.5073509,-0.12775830000000002
5110,560944,it+nominal,prepositional_dative,say,it,to,your face,your,face,pronominal,nominal,53.381129,-1.470085
5111,5530330,it+nominal,prepositional_dative,sticking,it,to,the man,the,man,pronominal,nominal,53.8007554,-1.5490774
5112,2235645,it+nominal,prepositional_dative,say,it,to,his face,his,face,pronominal,nominal,54.597285,-5.93012
5113,2475719,it+nominal,prepositional_dative,applying,it,to,the world,the,world,pronominal,nominal,51.3810641,-2.3590167
5114,4136145,it+nominal,prepositional_dative,bringing,it,to,our attention,our,attention,pronominal,nominal,53.35490213361106,-6.247621039910087
5115,4483911,it+nominal,prepositional_dative,give,it,to,the club,the,club,pronominal,nominal,51.57042468649967,0.457135902330329
5116,4483911,it+nominal,prepositional_dative,give,it,to,the club,the,club,pronominal,nominal,51.57042468649967,0.457135902330329
5117,2799637,it+nominal,prepositional_dative,hand,it,to,the bus,the,bus,pronominal,nominal,53.40837140000001,-2.9915726
5118,6203521,it+nominal,prepositional_dative,charge,it,to,the game,the,game,pronominal,nominal,52.41191266935471,-1.5186510779627418
5119,6203521,it+nominal,prepositional_dative,charge,it,to,the game,the,game,pronominal,nominal,52.41191266935471,-1.5186510779627418
5120,6203521,it+nominal,prepositional_dative,charge,it,to,the game,the,game,pronominal,nominal,52.41191266935471,-1.5186510779627418
5121,3932218,it+nominal,prepositional_dative,say,it,to,my wife,my,wife,pronominal,nominal,52.4750743,-1.8298330000000005
5122,682141,it+nominal,prepositional_dative,recommend,it,to,some friends,some,friends,pronominal,nominal,52.66383670000001,-8.6267343
5123,2474442,it+nominal,prepositional_dative,send,it,to,her daughter,her,daughter,pronominal,nominal,51.454513,-2.58791
5124,2474442,it+nominal,prepositional_dative,send,it,to,her daughter,her,daughter,pronominal,nominal,51.4822161,-2.7596831
5125,1375928,it+nominal,prepositional_dative,say,it,to,your face,your,face,pronominal,nominal,52.62626317016146,-1.130669579608375
5126,5097729,it+nominal,prepositional_dative,send,it,to,his mum,his,mum,pronominal,nominal,52.6775873,-2.4672611
5127,3719843,it+nominal,prepositional_dative,give,it,to,my daughter,my,daughter,pronominal,nominal,53.40837140000001,-2.9915726
5128,6523368,it+nominal,prepositional_dative,say,it,to,my face,my,face,pronominal,nominal,52.63687779999999,-1.1397592
5129,6523368,it+nominal,prepositional_dative,say,it,to,my face,my,face,pronominal,nominal,52.63687779999999,-1.1397592
5130,4882143,it+nominal,prepositional_dative,sold,it,to,a friend,a,friend,pronominal,nominal,51.56213406988999,-0.271628266345094
