index,userid,negation,participial_form,verb_stem,variant,latitude,longitude
2301,2688609,affirmative,standing,stand,present participle,52.49396616659272,-1.890640074770749
2302,4200606,affirmative,standing,stand,present participle,55.858302128951905,-4.241751039861819
2303,5955369,affirmative,sat,sit,past participle,51.578829,-3.218134
2304,5588756,affirmative,sat,sit,past participle,53.4807593,-2.2426305
2305,6115331,affirmative,sat,sit,past participle,54.97825200000001,-1.61778
2306,6115331,affirmative,sitting,sit,present participle,54.97825200000001,-1.61778
2307,3498862,affirmative,sat,sit,past participle,52.633584,-1.691032
2308,6076485,affirmative,sitting,sit,present participle,54.504523,-1.354759
2309,5845000,affirmative,stood,stand,past participle,51.454513,-2.58791
2310,4454802,affirmative,sat,sit,past participle,51.147427,-2.718454
2311,2443817,affirmative,sitting,sit,present participle,53.584184155823486,-2.434952064733921
2312,3233302,affirmative,sat,sit,past participle,53.76904865847409,-2.704639189240955
2313,2453611,affirmative,sat,sit,past participle,52.95478320000001,-1.1581086
2314,3778859,affirmative,sat,sit,past participle,50.71505,-1.987248
2315,3719653,affirmative,sat,sit,past participle,53.3976041,-2.9436644
2316,975687,affirmative,stood,stand,past participle,52.951432168958036,-0.955719079040944
2317,782920,affirmative,standing,stand,present participle,50.4619209,-3.525315
2318,1552303,affirmative,sat,sit,past participle,53.4807593,-2.2426305
2319,6457634,affirmative,sitting,sit,present participle,51.315994,0.889358
2320,5870290,affirmative,stood,stand,past participle,53.361024,-2.733637
2321,4067885,affirmative,sat,sit,past participle,50.63131267048434,-3.3978940740005363
2322,4067885,affirmative,sat,sit,past participle,50.63131267048434,-3.3978940740005363
2323,1748799,affirmative,sitting,sit,present participle,51.7520209,-1.2577263
2324,2546120,affirmative,sat,sit,past participle,53.092117659087506,-2.456814067325582
2325,2836809,affirmative,sat,sit,past participle,53.1868901526267,-3.413304560021959
2326,2836809,affirmative,standing,stand,present participle,53.1868901526267,-3.413304560021959
2327,5701826,affirmative,standing,stand,present participle,51.481581,-3.17909
2328,2125349,affirmative,sat,sit,past participle,52.2545225,-2.2668382
2329,2125349,affirmative,sat,sit,past participle,52.26713529999999,-1.4675216
2330,3501901,affirmative,sitting,sit,present participle,55.953252,-3.188267
2331,2162279,affirmative,sat,sit,past participle,53.4807593,-2.2426305
2332,1202168,affirmative,standing,stand,present participle,51.454513,-2.58791
2333,4852247,affirmative,sat,sit,past participle,51.7859365,-1.4850544
2334,6419391,affirmative,sitting,sit,present participle,52.415303,-4.08292
2335,3015621,affirmative,sat,sit,past participle,53.381129,-1.470085
2336,3101275,affirmative,sitting,sit,present participle,52.8792745,-2.0571868
2337,6561179,affirmative,sitting,sit,present participle,51.316774,-0.5600349
2338,968201,affirmative,sat,sit,past participle,51.5073509,-0.12775830000000002
2339,6037061,affirmative,sat,sit,past participle,51.34679566823346,-2.9451290734272404
2340,4974659,affirmative,sat,sit,past participle,51.5073509,-0.12775830000000002
2341,4067422,affirmative,standing,stand,present participle,51.5073509,-0.12775830000000002
2342,5051439,affirmative,sat,sit,past participle,51.5073509,-0.12775830000000002
2343,732894,affirmative,sat,sit,past participle,51.26357868898064,0.527730900003093
2344,2300386,affirmative,sat,sit,past participle,52.486243,-1.890401
2345,2300386,affirmative,stood,stand,past participle,52.486243,-1.890401
2346,231890,affirmative,sat,sit,past participle,51.5148301840845,-0.035019094221937004
2347,1176589,affirmative,sitting,sit,present participle,54.89370079999999,-2.9340058
2348,1169674,affirmative,sat,sit,past participle,52.2052973,0.1218195
2349,1219167,affirmative,standing,stand,present participle,51.23622,-0.570409
2350,245167,affirmative,sat,sit,past participle,51.4933675,0.0098214
2351,245167,affirmative,sat,sit,past participle,51.5041774,-0.0563736
2352,245167,affirmative,standing,stand,present participle,51.4933675,0.0098214
2353,245167,affirmative,standing,stand,present participle,51.5041774,-0.0563736
2354,570771,affirmative,sat,sit,past participle,51.347405,-2.977255
2355,3999590,affirmative,sitting,sit,present participle,51.47951118544466,0.161853904068424
2356,5574025,affirmative,sat,sit,past participle,50.84780469142617,0.460998898109147
2357,6577435,affirmative,stood,stand,past participle,53.381129,-1.470085
2358,6537833,affirmative,sat,sit,past participle,53.683298,-1.505924
2359,2691615,affirmative,standing,stand,present participle,52.66091715791196,-3.145100564795078
2360,2691615,affirmative,sitting,sit,present participle,52.66091715791196,-3.145100564795078
2361,474878,affirmative,sat,sit,past participle,53.55263000000001,-1.479726
2362,4216015,affirmative,sat,sit,past participle,53.55263000000001,-1.479726
2363,4216015,affirmative,sat,sit,past participle,53.55263000000001,-1.479726
2364,6416054,affirmative,sat,sit,past participle,53.3976041,-2.9436644
2365,6416054,affirmative,sat,sit,past participle,53.645708,-3.010113
2366,6416054,affirmative,sat,sit,past participle,53.645708,-3.010113
2367,2528927,affirmative,standing,stand,present participle,51.51469418089263,-0.592599089983256
2368,4721133,affirmative,sitting,sit,present participle,52.486243,-1.890401
2369,1563746,affirmative,sitting,sit,present participle,52.0406224,-0.7594171
2370,5585256,affirmative,standing,stand,present participle,51.5148301840845,-0.035019094221937004
2371,1757791,affirmative,stood,stand,past participle,53.381129,-1.470085
2372,1757791,affirmative,stood,stand,past participle,53.381129,-1.470085
2373,5613904,affirmative,stood,stand,past participle,51.90518217499169,-1.150059583567491
2374,6544508,affirmative,sitting,sit,present participle,51.01668400000001,-4.206666
2375,6544508,affirmative,sitting,sit,present participle,51.01668400000001,-4.206666
2376,6544508,affirmative,sitting,sit,present participle,51.01668400000001,-4.206666
2377,6402564,affirmative,sat,sit,past participle,52.731969668086535,-1.3606820773105002
2378,1420416,affirmative,sat,sit,past participle,51.7520209,-1.2577263
2379,5407598,affirmative,sitting,sit,present participle,52.6775873,-2.4672611
2380,2875529,affirmative,sat,sit,past participle,53.680122,-1.696713
2381,4426384,affirmative,stood,stand,past participle,53.3900441,-2.5969501
2382,1969339,affirmative,sat,sit,past participle,52.95478320000001,-1.1581086
2383,1641771,affirmative,sat,sit,past participle,52.193636,-2.221575
2384,3587787,affirmative,sitting,sit,present participle,55.61185162904321,-4.496779039529249
2385,4084519,affirmative,standing,stand,present participle,50.9280143,-0.4617075
2386,4084519,affirmative,standing,stand,present participle,50.9280143,-0.4617075
2387,1512402,affirmative,sat,sit,past participle,53.5768647,-2.4282192000000005
2388,4858352,affirmative,standing,stand,present participle,51.5073509,-0.12775830000000002
2389,6060406,affirmative,standing,stand,present participle,55.590422784133175,-3.37809282736908
2390,3087568,affirmative,sat,sit,past participle,53.3900441,-2.5969501
2391,1054156,affirmative,standing,stand,present participle,50.8279319,-0.168749
2392,1054156,affirmative,standing,stand,present participle,51.259521,-0.15567
2393,4928533,affirmative,standing,stand,present participle,51.50378618328007,-0.189189593109732
2394,2497180,affirmative,standing,stand,present participle,56.06717963246313,-3.452862543910113
2395,1065386,affirmative,sat,sit,past participle,53.52222916238967,-1.407287072468673
2396,1065386,affirmative,sat,sit,past participle,53.52222916238967,-1.407287072468673
2397,5843885,affirmative,sat,sit,past participle,55.953252,-3.188267
2398,5981118,affirmative,sat,sit,past participle,53.612680664402774,-0.960896575202778
2399,426508,affirmative,sitting,sit,present participle,52.240477,-0.902656
2400,426508,affirmative,sitting,sit,present participle,52.240477,-0.902656
2401,1681145,affirmative,sat,sit,past participle,53.5768647,-2.4282192000000005
2402,5273153,affirmative,sat,sit,past participle,54.574227,-1.234956
2403,5273153,affirmative,sat,sit,past participle,54.574227,-1.234956
2404,6605579,affirmative,standing,stand,present participle,55.515888,-4.3777549
2405,5775388,affirmative,sat,sit,past participle,52.6308859,1.297355
2406,4183979,affirmative,stood,stand,past participle,50.99750666473128,-3.927118568193401
2407,2874893,affirmative,standing,stand,present participle,51.481581,-3.17909
2408,280864,affirmative,stood,stand,past participle,53.456952157913115,-2.233479566883483
2409,1379334,affirmative,sitting,sit,present participle,51.0729874,-3.8918711
2410,5308195,affirmative,sitting,sit,present participle,54.97825200000001,-1.61778
