,userid,construction_type,verb,theme,preposition,goal,theme_type,goal_type,tag,latitude,longitude
971,6440622,it+pronominal_object,hand,it,to,ya,pronominal,pronominal,prepositional_dative,52.84708966173086,-2.2981335698335514
972,6440622,it+pronominal_object,hand,it,to,ya,pronominal,pronominal,prepositional_dative,52.84708966173086,-2.2981335698335514
3361,896995,it+pronominal_object,sold,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
974,261675,it+pronominal_object,bring,it,to,me,pronominal,pronominal,prepositional_dative,55.858302128951905,-4.241751039861819
975,261675,it+pronominal_object,bring,it,to,me,pronominal,pronominal,prepositional_dative,55.858302128951905,-4.241751039861819
3360,1581507,it+pronominal_object,explain,it,to,you,pronominal,pronominal,prepositional_dative,51.8985143,-8.4756035
977,6327976,it+pronominal_object,mention,it,to,her,pronominal,pronominal,prepositional_dative,51.7520209,-1.2577263
978,5583948,it+pronominal_object,sock,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
465,3224118,it+pronominal_object,send,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
464,3224118,it+pronominal_object,send,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
463,426511,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
462,4084835,it+pronominal_object,sold,it,to,me,pronominal,pronominal,prepositional_dative,53.452889,-2.63508
983,297324,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
984,4593141,it+pronominal_object,leave,it,to,you,pronominal,pronominal,prepositional_dative,51.87867070000001,-0.4200255
985,3893156,it+pronominal_object,show,it,to,us,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
986,3893156,it+pronominal_object,show,it,to,us,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
987,3132570,it+pronominal_object,leave,it,to,you,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
3359,553419,it+pronominal_object,send,it,to,me,pronominal,pronominal,prepositional_dative,51.49700116578065,-3.179799570901813
989,967339,it+pronominal_object,selling,it,to,me,pronominal,pronominal,prepositional_dative,53.43300316324068,-1.366867073271774
990,967339,it+pronominal_object,selling,it,to,me,pronominal,pronominal,prepositional_dative,53.43300316324068,-1.366867073271774
991,1268062,it+pronominal_object,sing,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
992,2035008,it+pronominal_object,send,it,to,you,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
993,358151,it+pronominal_object,send,it,to,you,pronominal,pronominal,prepositional_dative,52.480419672383405,-0.921309581993866
994,2112079,it+pronominal_object,give,it,to,them,pronominal,pronominal,prepositional_dative,51.73558679999999,0.4685497
995,1982683,it+pronominal_object,give,it,to,them,pronominal,pronominal,prepositional_dative,52.803071143048925,-6.3461753389071225
996,4195091,it+pronominal_object,sock,it,to,them,pronominal,pronominal,prepositional_dative,50.854259000000006,0.573453
997,1276063,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.4822161,-2.7596831
461,4732721,it+pronominal_object,sold,it,to,me,pronominal,pronominal,prepositional_dative,54.892473,-2.932931
3358,3654346,it+pronominal_object,dm,it,to,you,pronominal,pronominal,prepositional_dative,53.4807593,-2.2426305
1000,4742112,it+pronominal_object,sold,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
1001,3382710,it+pronominal_object,message,it,to,me,pronominal,pronominal,prepositional_dative,53.34980529999999,-6.260309700000001
1002,6602520,it+pronominal_object,post,it,to,me,pronominal,pronominal,prepositional_dative,51.5390261,-0.1425516
1003,3177589,it+pronominal_object,given,it,to,me,pronominal,pronominal,prepositional_dative,55.958674,-2.7748641
1004,82001,it+pronominal_object,show,it,to,you,pronominal,pronominal,prepositional_dative,54.5284941,-1.5171754
1005,582738,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
1006,2758664,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.4784037,0.3230151
22,261045,it+pronominal_object,sell,it,to,u,pronominal,pronominal,prepositional_dative,55.862760132416035,-3.6858985434928577
3356,2940785,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
3355,2790807,it+pronominal_object,give,it,to,them,pronominal,pronominal,prepositional_dative,53.34980529999999,-6.260309700000001
459,1269513,it+pronominal_object,give,it,to,you,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
1011,4529794,it+pronominal_object,say,it,to,him,pronominal,pronominal,prepositional_dative,52.586973,-2.12882
458,1269513,it+pronominal_object,give,it,to,you,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
1013,4634818,it+pronominal_object,give,it,to,ya,pronominal,pronominal,prepositional_dative,53.4807593,-2.2426305
1014,457978,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,53.8007554,-1.5490774
1015,189593,it+pronominal_object,sock,it,to,them,pronominal,pronominal,prepositional_dative,52.486243,-1.890401
1016,1842408,it+pronominal_object,link,it,to,you,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
1017,1842408,it+pronominal_object,link,it,to,you,pronominal,pronominal,prepositional_dative,51.5187516,-0.0814374
456,2716441,it+pronominal_object,sock,it,to,me,pronominal,pronominal,prepositional_dative,51.50009168353514,-0.14893559343778198
1019,4568096,it+pronominal_object,stick,it,to,them,pronominal,pronominal,prepositional_dative,53.34980529999999,-6.260309700000001
3354,5521055,it+pronominal_object,said,it,to,them,pronominal,pronominal,prepositional_dative,52.66383670000001,-8.6267343
3353,1915626,it+pronominal_object,selling,it,to,me,pronominal,pronominal,prepositional_dative,52.40443565445794,-4.001616560131069
1022,684932,it+pronominal_object,gift,it,to,me,pronominal,pronominal,prepositional_dative,52.38064810101636,-2.1304424747624577
1023,684932,it+pronominal_object,gift,it,to,me,pronominal,pronominal,prepositional_dative,52.38064810101636,-2.1304424747624577
1024,684932,it+pronominal_object,gift,it,to,me,pronominal,pronominal,prepositional_dative,52.38064810101636,-2.1304424747624577
1025,684932,it+pronominal_object,gift,it,to,me,pronominal,pronominal,prepositional_dative,52.38064810101636,-2.1304424747624577
