,placename,b._fairly_acceptable,did_it,done_it,longitude,latitude
339,Nuneaton,0.01,0.4433962,0.5566038000000001,-1.465382,52.52049
340,Northallerton,0.01,0.39,0.61,-1.429959,54.33796
341,South Shields,0.01,0.33620690000000003,0.6637930999999999,-1.427406,54.99941999999999
342,Chesterfield,0.01,0.4803922000000001,0.5196078,-1.421629,53.23505
343,Southampton,0.01,0.4901960999999999,0.5098039000000001,-1.4043508999999998,50.9097
344,Wetherby,0.01,0.4545455,0.5454545,-1.384816,53.92706
345,Sunderland,0.01,0.32203390000000004,0.6779661,-1.383801,54.90687
346,Rotherham,0.01,0.51,0.49,-1.3635008999999998,53.4326
347,Castleford,0.01,0.4807692,0.5192308,-1.345968,53.72346999999999
348,Thirsk,0.01,0.4,0.6,-1.341377,54.23385
349,Banbury,0.01,0.4326923,0.5673077,-1.339775,52.0629
350,Stockton,0.01,0.375,0.625,-1.3289821000000002,54.57046
351,Newbury,0.01,0.4732143,0.5267857,-1.3231138999999998,51.40141
352,Isle of Wight,0.01,0.4901960999999999,0.5098039000000001,-1.304734,50.69385
353,Isle of Wight,0.01,0.4901960999999999,0.5098039000000001,-1.304734,50.69385
354,Abingdon,0.01,0.4732143,0.5267857,-1.2879528999999998,51.67078
355,Shetland Islands,0.01,0.45,0.55,-1.2659409,60.52965
356,Rugby,0.01,0.4444444,0.5555555999999999,-1.265032,52.37088
357,Oxford,0.01,0.4732143,0.5267857,-1.2577263,51.75202
358,Middlesbrough,0.01,0.3846154000000001,0.6153846,-1.234956,54.57423000000001
359,Hartlepool,0.01,0.3611111,0.6388889,-1.212926,54.69174
360,Loughborough,0.01,0.5090909,0.4909090999999999,-1.206166,52.7721
361,Mansfield,0.01,0.51,0.49,-1.198674,53.1472
362,Nottingham,0.01,0.5192308,0.4807692,-1.1581086,52.95478000000001
363,Bicester,0.01,0.4722222,0.5277778000000001,-1.1535898999999998,51.8996
364,Leicester,0.01,0.4553571,0.5446429,-1.1397592,52.63688000000001
365,Doncaster,0.01,0.5204082,0.4795918,-1.128462,53.52282
366,Worksop,0.01,0.5,0.5,-1.122745,53.3093
367,Basingstoke,0.01,0.5092593,0.4907407,-1.0923964,51.26654
368,Portsmouth,0.01,0.4901960999999999,0.5098039000000001,-1.0879769,50.81977
369,York,0.01,0.4553571,0.5446429,-1.0872979,53.95997
370,Selby,0.01,0.4732143,0.5267857,-1.067189,53.78352
371,Helmsley,0.01,0.4245283,0.5754716999999999,-1.0562636,54.24651
372,Towcester,0.01,0.4907407,0.5092593,-0.989688,52.13511
373,Reading,0.01,0.4910714,0.5089286,-0.9781303,51.45426
374,Retford,0.01,0.48,0.52,-0.945503,53.32136
375,Petersfield,0.01,0.5,0.5,-0.93899,51.00759
376,Northampton,0.01,0.490566,0.509434,-0.902656,52.24048
377,Melton Mowbray,0.01,0.5,0.5,-0.887126,52.7664
378,Aylesbury,0.01,0.4363636,0.5636364,-0.8084,51.81561
379,Newark-on-Trent,0.01,0.5192308,0.4807692,-0.80657,53.07004000000001
380,Malton,0.01,0.4636364000000001,0.5363635999999999,-0.7978970000000001,54.13684
381,Chichester,0.01,0.5,0.5,-0.774936,50.83761
