index,placename,longitude,latitude,avoid,demsel,demsels,emsel,emself,emsels,emsen,hersel,himself,himsen,theirsel,theirself,theirselfs,theirseln,theirsels,theirselves,theirsen,theirsens,them,themsel,themself,themselfs,themselns,themsels,themselves,themsen,themsens,theysen
71,Islay,-6.177067,55.73625,0.01,0.01,0.01,0.279756266885029,0.01,0.01,0.01,0.01,0.01,0.01,0.2984623591101354,0.0434972930515,0.07604692830813117,0.01,0.1765573641634581,0.09235593368153726,0.025324984914185066,0.01,0.09976305844748595,0.22364469513328436,0.11319894809483488,0.02598048131099261,0.01,0.22772850125106464,0.1086027467678964,0.01,0.01,0.01
72,Mull,-6.0008870000000005,56.4392,0.01,0.01,0.01,0.2821224074544794,0.01,0.01,0.01,0.01,0.01,0.01,0.30098671327101856,0.04386518725775463,0.0766901229155496,0.01,0.17805066240779763,0.09313706764484957,0.025539180202438613,0.01,0.10060684086763835,0.26627828245686874,0.11415636944767406,0.026200220698882896,0.01,0.06311370965394193,0.11729358948130511,0.01,0.01,0.01
73,Broadford,-5.9096592,57.24139,0.03403471953228614,0.01,0.01,0.01,0.01,0.01,0.01,0.15771162311493916,0.01,0.01,0.041220156399346876,0.029503924066621577,0.030717444833684052,0.01,0.02483276185757112,0.030769900427635933,0.010229457577344163,0.01,0.040297041740903365,0.10665504423280255,0.06729033071724672,0.010494230591265637,0.01,0.0252795512751881,0.04075452137190697,0.01,0.01,0.01
74,Kyle of Lochalsh,-5.7143293,57.28261,0.03403471953228614,0.01,0.01,0.01,0.01,0.01,0.01,0.15771162311493916,0.01,0.01,0.041220156399346876,0.029503924066621577,0.030717444833684052,0.01,0.02483276185757112,0.030769900427635933,0.010229457577344163,0.01,0.040297041740903365,0.10665504423280255,0.06729033071724672,0.010494230591265637,0.01,0.0252795512751881,0.04075452137190697,0.01,0.01,0.01
75,Campbeltown,-5.605373999999999,55.424119999999995,0.01,0.01,0.01,0.29821207749293954,0.01,0.01,0.01,0.01,0.01,0.01,0.2882420039353865,0.04636685451460452,0.0429161469953435,0.01,0.18820503629861643,0.09844875025906075,0.01,0.01,0.12960739593744458,0.3125672706074967,0.11931170737924604,0.027694440565299832,0.01,0.28676170287478353,0.10755182669998849,0.01,0.01,0.01
76,Penzance,-5.537592,50.1188,0.01,0.01,0.01,0.01,0.6528637831085239,0.01,0.01,0.01,0.14295064976587676,0.01,0.01,0.25313699325360756,0.01,0.01,0.01,0.11695963854855454,0.01,0.01,0.25709123435394815,0.01,0.26956411154258114,0.01,0.01,0.01,0.2641298429248057,0.01,0.01,0.01
77,Oban,-5.471047,56.41516,0.01,0.01,0.01,0.3760237419667797,0.01,0.01,0.01,0.01,0.01,0.01,0.40116682410174004,0.05846523147012266,0.10221558525176751,0.01,0.2373128633855377,0.12413671429937798,0.03403961490734962,0.01,0.13409271922723714,0.46351121472427115,0.152152059087978,0.03492067544879089,0.01,0.0841204124394455,0.1356150316616529,0.01,0.01,0.01
78,Lochgilphead,-5.4323449,56.03829,0.01,0.01,0.01,0.24195006163894775,0.01,0.01,0.01,0.01,0.01,0.01,0.2581282163494134,0.03761907767829522,0.06576996181882357,0.01,0.15269743772965988,0.07987497150923098,0.02190257158210743,0.01,0.08628109893452,0.228362034178188,0.09790126517617977,0.022469484328612125,0.01,0.0541267390946172,0.10059176603841434,0.01,0.01,0.01
79,Helston,-5.274996,50.10159,0.01,0.01,0.01,0.01,0.49327735424258673,0.01,0.01,0.01,0.10800770410027312,0.01,0.01,0.1912600293104431,0.01,0.01,0.01,0.08836995181705459,0.01,0.01,0.19424769325884916,0.01,0.2221872808152035,0.01,0.01,0.01,0.18085645302378117,0.01,0.01,0.01
80,Redruth,-5.226666000000001,50.23302,0.01,0.01,0.01,0.01,0.5512435693190322,0.01,0.01,0.01,0.12069995066691877,0.01,0.01,0.21373545799003377,0.01,0.01,0.01,0.09875451861150622,0.01,0.01,0.21707420955582163,0.01,0.24829704562847085,0.01,0.01,0.01,0.2021093322889094,0.01,0.01,0.01
81,Ullapool,-5.161313,57.895419999999994,0.12106698616866733,0.01,0.01,0.01,0.01,0.1184571488942068,0.01,0.3740037476889763,0.01,0.01,0.07615310626905315,0.05345778138452687,0.1885389600749806,0.01,0.09186093443287739,0.028412704011593255,0.02425855111492864,0.01,0.19510583524017494,0.2450941492930846,0.10147394070829208,0.01,0.01,0.22849654027298663,0.12468305737598062,0.01,0.01,0.01
82,Ballachulish,-5.133719999999999,56.673930000000006,0.03403471953228614,0.01,0.01,0.11300124654738276,0.01,0.01,0.01,0.01,0.01,0.01,0.07522172525577749,0.029503924066621577,0.030717444833684052,0.01,0.059695470366832544,0.030769900427635933,0.010229457577344163,0.01,0.040297041740903365,0.12297384920545193,0.051885920079095406,0.010494230591265637,0.01,0.0252795512751881,0.04075452137190697,0.01,0.01,0.01
