,placename,shiver,sliver,speel,spelk,spell,spile,spill,splint,splinter,spool,longitude,latitude
93,Haverfordwest,0.028062063547883275,0.17381973617381974,0.09084405343872187,0.010105921915509412,0.011427683670430623,0.18025750508154506,0.01,0.044349064793037685,0.944206,0.1158798151158798,-4.971319,51.80048
94,Dunoon,0.027357577007254084,0.39539749089539744,0.1771269229969782,0.07389162528518041,0.022281595425412897,0.01,0.01,0.30264992958763365,0.8577405999999999,0.01,-4.926214,55.95097
95,Pembroke,0.027588443546425985,0.17088607817088608,0.08931082475621188,0.01,0.011234811911466516,0.17721519306329114,0.01,0.04360055946319739,0.9451477,0.11392404311392405,-4.9086370000000015,51.67404000000001
96,Girvan,0.01,0.4556961994556962,0.01,0.07948286310250127,0.04493925030851666,0.1181434667088608,0.01,0.3052039369090483,0.8438819,0.01,-4.8542179,55.24016
97,Wadebridge,0.01,0.10227273310227274,0.08017677299515999,0.01,0.010085798297437836,0.10606061263636367,0.01,0.03914141615067339,0.9659091,0.10227273310227274,-4.836456,50.51665
98,Invergarry,0.027357577007254084,0.22594142722594146,0.1771269229969782,0.05418719258220291,0.011140796381381149,0.01,0.01,0.17294281985960014,0.8995815999999999,0.11297070011297068,-4.800261,57.07095
99,St Austell,0.01,0.20454545270454547,0.08017677299515999,0.01,0.010085798297437836,0.10606061263636367,0.01,0.03914141615067339,0.9583333,0.10227273310227274,-4.7834252,50.34038
100,Greenock,0.027357577007254084,0.39539749089539744,0.1771269229969782,0.06896551740377102,0.022281595425412897,0.01,0.01,0.345885629385867,0.8577405999999999,0.01,-4.7719830000000005,55.956480000000006
101,Helensburgh,0.02724359200690336,0.39375000489375,0.17638888365601846,0.06867816052201886,0.022188754124242756,0.01,0.01,0.4305555569907407,0.85,0.01,-4.734014,56.00232
102,Bodmin,0.01,0.15697674465697672,0.0820413446810939,0.01,0.010320351188916495,0.10852713265116283,0.01,0.04005167947975883,0.9612403,0.10465116310465117,-4.7188629,50.4715
103,Tenby,0.027588443546425985,0.17088607817088608,0.08931082475621188,0.01,0.011234811911466516,0.17721519306329114,0.01,0.04360055946319739,0.9451477,0.11392404311392405,-4.703579,51.67274000000001
104,Camelford,0.01,0.1516853926516854,0.01,0.01,0.01994494911303261,0.05243445231460672,0.01,0.038701619152725776,0.9700375,0.01,-4.682364,50.62206
105,Irvine,0.02770534470063183,0.5148305060148304,0.01,0.0648534694237793,0.03384725232470765,0.11864406471186438,0.01,0.3064971742363465,0.8516949,0.01,-4.6696364,55.61156999999999
106,Cardigan,0.027942141624437363,0.1153846216153846,0.09045583560137696,0.010062734733246596,0.011378847995750068,0.23931623943589744,0.01,0.044159541127255474,0.9487179,0.01,-4.660864,52.0837
107,Holyhead,0.01,0.059210527559210524,0.01,0.010327543201207323,0.01,0.01,0.01,0.13596491436549704,0.9736842,0.01,-4.633038,53.30944
108,Ayr,0.01,0.4556961994556962,0.01,0.06457982619719853,0.04493925030851666,0.1181434667088608,0.01,0.3488044963722457,0.8523207,0.01,-4.629179,55.45856
109,Dumbarton,0.02724359200690336,0.3375000003375,0.17638888365601846,0.06867816052201886,0.022188754124242756,0.01,0.01,0.38749999819166653,0.8583333000000001,0.01,-4.564554,55.94529
110,Bude,0.01,0.0531496080531496,0.01,0.01,0.01,0.055118112330708666,0.01,0.04068241581014872,0.980315,0.1062992161062992,-4.543678,50.82664000000001
111,Isle of Man,0.028428093164394132,0.05869565105869565,0.09202898461763284,0.025594345170522583,0.3009952846827608,0.01,0.01,0.0449275351236715,0.8478261,0.01,-4.5126331,54.27697
112,Kilmarnock,0.01,0.4576271179576271,0.01,0.0648534694237793,0.03384725232470765,0.11864406471186438,0.01,0.3940677924943502,0.8516949,0.01,-4.498792,55.61472
113,Newton Stewart,0.027472529699915475,0.11344537361344535,0.08893558208566768,0.06925528783232104,0.41394148038756395,0.17647058905882354,0.01,0.08683472992810458,0.7478991999999999,0.01,-4.483164,54.9603
114,Liskeard,0.01,0.15697674465697672,0.0820413446810939,0.01,0.010320351188916495,0.054263566325581415,0.01,0.04005167947975883,0.9689922,0.01,-4.4647190000000005,50.45552
115,Altnaharra,0.02701843354467211,0.2789256197789256,0.17493113530762172,0.03405528659846882,0.02200537737732329,0.01,0.01,0.08539945060146922,0.9173554,0.11157023711157024,-4.442655,58.28023
116,Pwllheli,0.01,0.05869565105869565,0.01,0.010237738068209034,0.01,0.01,0.01,0.1347826053710145,0.973913,0.01,-4.417633900000001,52.88882
117,Lairg,0.02701843354467211,0.2789256197789256,0.17493113530762172,0.03405528659846882,0.02200537737732329,0.01,0.01,0.08539945060146922,0.9173554,0.11157023711157024,-4.402414,58.02206
118,Launceston,0.01,0.10344827260344827,0.08109834850468292,0.01,0.010201727441972848,0.05363985232183912,0.01,0.0791826279638144,0.9693487,0.01,-4.360451599999998,50.63683
119,Carmarthen,0.028552232395545336,0.11790392411790393,0.09243085495511884,0.010282444018944648,0.011627294598066914,0.2445414874672489,0.01,0.04512372378942262,0.9475983,0.01,-4.312131,51.85762
120,Llangefni,0.01,0.059734516559734524,0.01,0.010418937743072492,0.011781640465479146,0.01,0.01,0.1371681380265487,0.9690265,0.01,-4.311401999999998,53.25578
121,Caernarfon,0.028305026240938544,0.05844155405844155,0.01,0.010193419462300976,0.01,0.01,0.01,0.1341991337070707,0.969697,0.01,-4.273911,53.13955
122,Cumnock,0.01,0.5192307635192307,0.01,0.050313671311553176,0.04551539464565088,0.11965812671794875,0.01,0.35327634968471033,0.8589744,0.01,-4.265828900000002,55.45355
123,Aberaeron,0.02770534470063183,0.11440677611440675,0.08968926359345572,0.01,0.011282417441569216,0.2372881434237289,0.01,0.04378530912900189,0.9491525,0.01,-4.2581619,52.24279
124,Alness,0.027130548545017074,0.280082988280083,0.17565698264845547,0.02931136735744005,0.01104834382719881,0.01,0.01,0.08575380126648224,0.9253112,0.11203320611203317,-4.256825,57.69595
125,Glasgow,0.027472529699915475,0.3970588278970588,0.2668067250903361,0.04452125671592208,0.03356282266216328,0.0588235343529412,0.01,0.39075630017647056,0.8613445,0.01,-4.251806,55.86424
126,Dalwhinnie,0.05471516055296973,0.22594142722594146,0.1771269229969782,0.039408866583294906,0.011140796381381149,0.01,0.01,0.21617851965783355,0.9037657,0.11297070011297068,-4.242783,56.9366
127,Inverness,0.027357577007254084,0.2824267772824268,0.1771269229969782,0.029556650820476107,0.011140796381381149,0.01,0.01,0.08647140992980007,0.9246862,0.11297070011297068,-4.224721,57.47776999999999
128,Saltash,0.01,0.21686746971686746,0.08500668887840246,0.01,0.010693375224921751,0.11244980667469884,0.01,0.08299866594600623,0.9558233,0.01,-4.21643,50.40921
129,Bideford,0.01,0.16735536916735536,0.01,0.01,0.011002687357336343,0.1157024826942149,0.01,0.04269972013406797,0.9669421,0.11157023711157024,-4.206666,51.01668
130,Invergordon,0.02724359200690336,0.28124999578125,0.17638888365601846,0.029433497534770925,0.011094378393446677,0.01,0.01,0.08611110726481483,0.925,0.11250000911250001,-4.172882,57.68811
131,Llanelli,0.028305026240938544,0.17532467567532467,0.09163058561351604,0.010193419462300976,0.011526625104128607,0.3030303098181819,0.01,0.01,0.9437229,0.01,-4.160248,51.68089000000001
132,Plymouth,0.01,0.21951220071951225,0.08604336872244815,0.01,0.010823783863427262,0.05691057434146345,0.01,0.08401083660794942,0.9593496,0.01,-4.1426565,50.37546
133,Tavistock,0.01,0.21862348221862346,0.0856950077188484,0.01,0.010779961959829169,0.11336032468016195,0.01,0.08367071494286997,0.9554656,0.01,-4.141654,50.55112
134,Porthmadog,0.01,0.05869565105869565,0.01,0.010237738068209034,0.01,0.01,0.01,0.1347826053710145,0.973913,0.01,-4.133384,52.92784
135,Bangor,0.01,0.059734516559734524,0.01,0.010418937743072492,0.011781640465479146,0.01,0.01,0.1371681380265487,0.9690265,0.01,-4.129263,53.22739
