index,placename,longitude,latitude,her,hersel,herself,herseln,herselve,hersen
146,Swansea,-3.9436459999999998,51.62144,0.01,0.01,0.4635797914808434,0.01,0.01,0.01
147,Stirling,-3.9369029,56.116519999999994,0.01,0.5071145896563639,0.1989269476946861,0.01,0.01,0.01
148,Tregaron,-3.934385,52.22,0.01,0.01,0.1691764098997309,0.01,0.01,0.01
149,Tregaron,-3.934385,52.22,0.01,0.01,0.1691764098997309,0.01,0.01,0.01
150,Castle Douglas,-3.9314139999999997,54.940419999999996,0.01,0.2834697167595768,0.07371064755159278,0.01,0.01,0.01
151,Dolgellau,-3.8844,52.74215,0.01,0.01,0.12885315900385763,0.01,0.01,0.01
152,Aberfeldy,-3.866969,56.62175,0.01,0.2647580549824557,0.11189460896677124,0.01,0.01,0.01
153,Machynlleth,-3.853485,52.59027,0.01,0.01,0.16275746971925045,0.01,0.01,0.01
154,Brora,-3.8525480000000005,58.012159999999994,0.01,0.19149479704745398,0.05331047833551658,0.01,0.01,0.01
155,Llandudno,-3.827609,53.324059999999996,0.01,0.01592699131203261,0.26709130308757856,0.01,0.01,0.01
156,Llandudno,-3.827609,53.324059999999996,0.01,0.01592699131203261,0.26709130308757856,0.01,0.01,0.01
157,Aviemore,-3.823812,57.19449,0.01,0.1985966962068324,0.11399004139745883,0.01,0.01,0.01
158,Dalbeattie,-3.8225269999999996,54.934219999999996,0.01,0.21692074490041569,0.04920441821630619,0.01,0.01,0.012526655013888124
159,Falkirk,-3.7839131,56.00188000000001,0.01,0.5080134065401365,0.19936041744340904,0.01,0.01,0.01
160,Kingsbridge,-3.777493,50.28395,0.01,0.012217258727370063,0.20266721866591703,0.01,0.01,0.01
161,Pitlochry,-3.729711,56.70436,0.01,0.18674141712650907,0.08301835565471014,0.01,0.01,0.01
162,Colwyn Bay,-3.72764,53.29318000000001,0.01,0.014891079196530698,0.24675100428705854,0.01,0.01,0.01
