,placename,preposition_drop_determiner,preposition_drop_no_determiner,preposition_retained,preposition_drop_reduced_determiner,longitude,latitude
237,Shrewsbury,0.210035447833079,0.224091517724092,0.761399842220806,0.01,-2.7553268,52.7073
238,Penrith,0.045233720297739,0.241304343241304,0.914357512682906,0.01,-2.752708,54.6641
239,Kendal,0.040959667515105,0.01,0.961224925960981,0.01,-2.74629,54.32801
240,Street,0.01,0.183774833058775,0.967387867942163,0.01,-2.742919,51.12468
241,Glastonbury,0.01,0.183774833058775,0.967387867942163,0.01,-2.718454,51.14743
242,Hereford,0.01,0.01,1,0.01,-2.715974,52.0564
243,Ludlow,0.01,0.01,1,0.01,-2.7139129,52.36775
244,Preston,0.077639968529263,0.621268651746269,0.816251995631033,0.01,-2.70309,53.7632
245,Whitchurch,0.495416945264077,0.660714291660714,0.413756730484181,0.01,-2.682045,52.96872
246,Wells,0.01,0.183774833058775,0.967387867942163,0.01,-2.6445979,51.20935
247,Yeovil,0.01,0.01,1,0.01,-2.633308,50.94206
248,Wigan,0.374910121302748,1,0.467627688377228,0.01,-2.6325074,53.54506
249,Warrington,0.62809052476529,0.77321981252322,0.268194097955075,0.01,-2.5969501,53.39004
250,Arbroath,0.01,0.136029417886029,0.975860620499673,0.01,-2.591543,56.55911
251,Bristol,0.01,0.17236024517236,0.969413291862947,0.01,-2.58791,51.45451
252,Guernsey,0.01,0.01,1,0.01,-2.585278,49.46569
253,Ross-on-Wye,0.01,0.01,1,0.01,-2.582446,51.91445
254,Jedburgh,0.01,0.01,1,0.01,-2.5549369,55.47772
255,Sedbergh,0.04161502350622,0.01,0.960604445985248,0.01,-2.528174,54.32363
256,Sedbergh,0.04161502350622,0.01,0.960604445985248,0.01,-2.528174,54.32363
257,Nantwich,0.568272379921111,0.69957983169958,0.337889757451423,0.01,-2.524102,53.06719
258,Banff,0.01,0.183774833058775,0.967387867942163,0.01,-2.524038,57.66651
259,Dunbar,0.01,0.149461403024461,0.973476943259569,0.01,-2.516737,56.00209
260,Cinderford,0.01,0.15767044965767,0.972020292649873,0.01,-2.5009579,51.8253
261,Banchory,0.01,0.132142863882143,0.976550288917144,0.01,-2.4909599,57.05386
262,Blackburn,0.042990727751411,0.688016531563016,0.837208460589181,0.01,-2.487529,53.74858
263,Market Drayton,0.308259434631711,0.616666661116667,0.598748895693377,0.01,-2.483485,52.90355
264,Telford,0.128265482126927,0.01,0.878575269637945,0.01,-2.4672611,52.67759
265,Montrose,0.01,0.136029417886029,0.975860620499673,0.01,-2.466115,56.70692
266,Turriff,0.01,0.186241613811242,0.966950084848174,0.01,-2.4623,57.53893
267,Weymouth,0.01,0.01,1,0.01,-2.457621,50.61443
268,Crewe,0.524559119126891,0.69957983169958,0.379271832277368,0.01,-2.4438209,53.10041
269,Fortuneswell,0.01,0.01,1,0.01,-2.442219,50.55919
270,Dorchester,0.01,0.01,1,0.01,-2.441181,50.71116
271,Alston,0.01,0.170245403795245,0.96978878073715,0.01,-2.438685,54.81217
272,Kelso,0.01,0.01,1,0.01,-2.432207,55.60003
273,Wincanton,0.01,0.173437500173438,0.969222223425975,0.01,-2.416007,51.05569
274,Clitheroe,0.01,0.25,0.955635681735138,0.01,-2.393083,53.8711
275,Sark,0.01,0.01,1,0.01,-2.3666256,49.43007
276,Bath,0.01,0.173437500173438,0.969222223425975,0.01,-2.3590167,51.38106
277,Kidderminster,0.023017160261854,0.122787617372788,0.956420884371094,0.01,-2.2496839,52.3886
278,Manchester,0.041449226651632,0.110557762235558,0.941142057413111,0.01,-2.2426305,53.48076
279,Burnley,0.01,0.298387092298387,0.947048928293197,0.01,-2.2405035,53.78929
280,Gloucester,0.01,0.152752289402752,0.9728929041713,0.01,-2.238156,51.86424
281,Newcastle-under-Lyme,0.388925452599924,0.259345797634346,0.585794406422263,0.01,-2.2273002,53.01321
282,Worcester,0.01,0.113885084363885,0.979790327012645,0.01,-2.221575,52.19364
283,Trowbridge,0.01,0.173437500173438,0.969222223425975,0.01,-2.208853,51.31966
284,Shaftesbury,0.01,0.274752472774752,0.951243077462493,0.01,-2.198083,51.0046
285,Alderney,0.01,0.01,1,0.01,-2.1973557,49.715
286,Stoke-on-Trent,0.37946830065837,0.253039513003039,0.59586637225056,0.01,-2.179404,53.00267
287,Colne,0.01,0.01,1,0.01,-2.176991,53.85564
288,Blandford Forum,0.01,0.01,1,0.01,-2.165353,50.85691
289,Rochdale,0.040168940453464,0.107142861107143,0.942960162230891,0.01,-2.1561,53.60971
290,Jersey,0.01,0.01,1,0.01,-2.13125,49.21444
291,Wolverhampton,0.023326807248008,0.124439463874439,0.955834629282912,0.01,-2.12882,52.58697
292,Stafford,0.046204689829003,0.123242037498242,0.934389413232769,0.01,-2.12066,52.80669
293,Macclesfield,0.17512556696113,0.103802995978803,0.815793776093399,0.01,-2.119287,53.25866
294,Hexham,0.01,0.182565793307566,0.967602327489331,0.01,-2.1121439,54.97266
295,Aberdeen,0.01,0.186241613811242,0.966950084848174,0.01,-2.094278,57.14972
296,Dudley,0.024421961211292,0.130281685255282,0.953761192030674,0.01,-2.081112,52.51226
297,Cheltenham,0.01,0.01,1,0.01,-2.0782533,51.89939
298,Bromsgrove,0.023467117501637,0.125187964625188,0.955568955515525,0.01,-2.061906,52.33559
299,Skipton,0.01,0.01,1,0.01,-2.0162787,53.96285
300,Fraserburgh,0.01,0.186241613811242,0.966950084848174,0.01,-2.007631,57.69335
301,Berwick,0.01,0.01,1,0.01,-2.005395,55.77024
302,Poole,0.01,0.01,1,0.01,-1.987248,50.71505
303,Walsall,0.023644899482994,0.126136362501136,0.955232369750911,0.01,-1.982919,52.58621
304,Cirencester,0.045233720297739,0.241304343241304,0.914357512682906,0.01,-1.968243,51.71849
305,Evesham,0.01,0.122968977497969,0.978178310186804,0.01,-1.94677,52.09215
306,Buxton,0.06931986127403,0.092448639467449,0.917971562319334,0.01,-1.91483,53.25908
307,Keighley,0.028118259617894,0.150000002775,0.946762818082165,0.01,-1.912358,53.8678
308,Birmingham,0.024082767558449,0.128472218753472,0.954403339561114,0.01,-1.890401,52.48624
309,Bournemouth,0.01,0.01,1,0.01,-1.880769,50.71916
310,Halifax,0.028899321590326,0.154166665279167,0.945284007473337,0.01,-1.85754,53.72702
311,Salisbury,0.01,0.01,1,0.01,-1.794472,51.06878
312,Ringwood,0.01,0.01,1,0.01,-1.788817,50.84495
313,Huddersfield,0.027378305485869,0.146052634646053,0.948163822471815,0.01,-1.7850351,53.64579
314,Peterhead,0.01,0.186241613811242,0.966950084848174,0.01,-1.784066,57.50812
315,Swindon,0.044083712531595,0.01,0.958267304743323,0.01,-1.7797176,51.55577
316,Bradford,0.028899321590326,0.154166665279167,0.945284007473337,0.01,-1.759398,53.79598
317,Ashbourne,0.088417188030518,0.01,0.91629848238477,0.01,-1.732179,53.01663
318,Marlborough,0.048615682225225,0.01,0.953977128911117,0.01,-1.727062,51.42007
319,Stratford-upon-Avon,0.03125293727289,0.111148198986148,0.950689816150798,0.01,-1.708298,52.19173
320,Alnwick,0.01,0.01,1,0.01,-1.706299,55.41274
321,Otley,0.027523164781755,0.146825402771825,0.947889530926987,0.01,-1.691786,53.90583
322,Bishop Auckland,0.055635057301052,0.148395719773396,0.920998125756518,0.01,-1.678788,54.66382
323,Burton upon Trent,0.048767605671352,0.01,0.953833335138963,0.01,-1.6371359,52.81403
324,Newcastle,0.01,0.159482760534483,0.971698480218015,0.01,-1.61778,54.97825
325,Durham,0.057479315499656,0.153314920653315,0.918379306303387,0.01,-1.584852,54.77525
326,Ashington,0.01,0.01,1,0.01,-1.5659829,55.18298
327,Darlington,0.084583380581557,0.22560976185061,0.879891573586463,0.01,-1.559458,54.52361
328,Leeds,0.027669563833511,0.147606384897606,0.947612284715608,0.01,-1.5490774,53.80076
329,Harrogate,0.027817528650526,0.148395719773396,0.947332083837678,0.01,-1.541812,53.99212
330,Leamington Spa,0.034576737003148,0.122968977497969,0.945445529244797,0.01,-1.5200789,52.28519
331,Coventry,0.034424191932608,0.122426464997426,0.945686334568712,0.01,-1.519693,52.40682
332,Blyth,0.01,0.01,1,0.01,-1.510277,55.12696
