index,placename,longitude,latitude,'ee,du,tha,thee,thou,ye,you
172,Exeter,-3.533899,50.71841,0.42805079530302304,0.01,0.01,0.01,0.366697272470792,0.052185026956678336,0.4327242545928843
173,Torquay,-3.525315,50.46192,0.727965480613578,0.01,0.01,0.01,0.01,0.03549942414691523,0.2776865919912567
174,Thurso,-3.5220800000000003,58.59356999999999,0.01,0.9763096725435491,0.0307713064727472,0.01,0.01,0.28042516079777974,0.10011336792946793
175,Livingston,-3.518068,55.90071,0.01,0.01,0.05423553243094121,0.01,0.01,0.4942594139241321,0.2311407071585762
176,Rhyl,-3.4916339999999995,53.319140000000004,0.01,0.01,0.025650886796016563,0.01,0.01,0.07305056279135219,0.2193420950702605
177,Tiverton,-3.491207,50.90205,0.01,0.01,0.01,0.01,0.1901156937809007,0.01,0.2122878398091202
178,Tiverton,-3.491207,50.90205,0.01,0.01,0.01,0.01,0.1901156937809007,0.01,0.2122878398091202
179,Minehead,-3.481152,51.20428,0.01,0.01,0.01,0.01,0.1576665161691554,0.01,0.16715096256784867
180,Dunfermline,-3.452151,56.071740000000005,0.01,0.01,0.05195859050184427,0.01,0.01,0.5326978171736644,0.20496213050277778
181,Perth,-3.4308381000000003,56.39499,0.01,0.01,0.03697410478886857,0.01,0.01,0.3790715784001397,0.13080893641497954
182,Prestatyn,-3.4076129999999996,53.33651,0.01,0.01,0.022664830120579658,0.01,0.01,0.06454664156624215,0.18773573686492015
183,Builth Wells,-3.4045919999999996,52.15002,0.01,0.01,0.01,0.01,0.16719675636430473,0.01,0.18040754758566385
184,Braemar,-3.3979439,57.00646999999999,0.01,0.01,0.01054092597638179,0.01,0.01,0.10806929526713098,0.01
185,Brecon,-3.391463,51.94895,0.01,0.01,0.01,0.28234367433617413,0.1901156937809007,0.01,0.20249334140905112
186,Merthyr Tydfil,-3.381646,51.74873,0.01,0.01,0.01,0.01,0.3154241164183079,0.01,0.3865921305851909
187,Llandrindod Wells,-3.377742,52.2417,0.01,0.01,0.01,0.14941765757936035,0.10061015781778987,0.03221534777439455,0.14739339523606157
188,Corwen,-3.369242,52.98005,0.01,0.01,0.015719002689422692,0.01,0.01,0.01790630958221771,0.12069894405588762
189,Cockermouth,-3.367985,54.66326,0.19204395181680053,0.01,0.11304019378312537,0.01,0.4387142159695717,0.09365076310548119,0.1032248567215816
190,Lockerbie,-3.349008,55.122240000000005,0.24783556762403483,0.01,0.0663091129859694,0.01,0.5661672013668712,0.30214423362825404,0.1264913640180613
191,Blairgowrie,-3.3378318,56.58941,0.01,0.01,0.030654301917776208,0.01,0.01,0.3491985907340224,0.09110671246496596
192,Elgin,-3.318485,57.64945,0.01,0.01,0.047980379135138584,0.01,0.01,0.4919117894767745,0.18527529671694007
193,Newtown,-3.313106,52.51211,0.01,0.01,0.01,0.13758038774999157,0.09263954975875237,0.059326313765024986,0.12442496438659868
194,Ruthin,-3.3103108,53.114869999999996,0.01,0.01,0.022204934355763508,0.01,0.01,0.06323691513407856,0.1828679021719395
195,Ruthin,-3.3103108,53.114869999999996,0.01,0.01,0.022204934355763508,0.01,0.01,0.06323691513407856,0.1828679021719395
196,Sidmouth,-3.2375599999999998,50.67865,0.01,0.01,0.01,0.01,0.17785565051178914,0.01,0.19523409272709047
197,Barrow-in-Furness,-3.2188939999999997,54.10896999999999,0.01,0.01,0.3655642713041605,0.3621474090587452,0.8128379757382005,0.03470272042683488,0.13627975618877416
198,Peebles,-3.1936419999999996,55.65306999999999,0.01,0.01,0.032508700108743564,0.01,0.01,0.29625838159959456,0.1176486312500466
199,Edinburgh,-3.1882669999999997,55.95325,0.01,0.01,0.0866374897931932,0.01,0.01,0.8882381383421378,0.3765763720029575
200,Cardiff,-3.17909,51.48158,0.01,0.01,0.01,0.01,0.4364705375640488,0.01,0.554967967936857
201,Llangollen,-3.1716599999999997,52.96921,0.01,0.01,0.01839790640431946,0.01,0.01,0.05239496894223833,0.14257185216027043
202,Kirkcaldy,-3.158137,56.11682,0.01,0.01,0.05680736561745382,0.01,0.01,0.5824091718332852,0.22895709230013392
203,Welshpool,-3.146407,52.66035,0.01,0.01,0.01,0.17518991702850067,0.11796387044122487,0.07554399399562793,0.17269790070076735
204,Mold,-3.1419029999999997,53.1672,0.01,0.01,0.029711080952958904,0.01,0.01,0.08461349512057122,0.2623178202007198
205,Mold,-3.1419029999999997,53.1672,0.01,0.01,0.029711080952958904,0.01,0.01,0.08461349512057122,0.2623178202007198
206,Taunton,-3.106849,51.01534,0.01,0.01,0.01,0.01,0.25911466977217956,0.01,0.30826556677513445
207,Wick,-3.093716,58.43894,0.01,0.9363239003116492,0.029511035795830018,0.01,0.01,0.2689400583522196,0.09387671103655396
208,John o' Groats,-3.0688997000000002,58.63734,0.01,0.33444169806119756,0.01054092597638179,0.01,0.01,0.09606159766086968,0.01
209,Dalkeith,-3.066606,55.893119999999996,0.01,0.01,0.04826189370395854,0.01,0.01,0.4947979762432852,0.1866684178997493
210,Oswestry,-3.056412,52.85715,0.01,0.01,0.026708040142799323,0.01,0.01,0.0760612051739475,0.2305316909112375
211,Blackpool,-3.0356748,53.81751,0.01,0.01,0.4524640973977076,0.48898364551385415,0.2195042128549711,0.04685678350610318,0.25882169857621645
212,Birkenhead,-3.023009,53.389990000000004,0.01,0.01,0.28221994455168226,0.01,0.01,0.1148182084499964,0.3080737253801224
213,Cupar,-3.010137,56.32023,0.01,0.01,0.0314384527576189,0.01,0.01,0.32231811905495233,0.10341485113647621
214,Southport,-3.010113,53.64571,0.01,0.01,0.3300154980961539,0.01,0.18537968540713648,0.039572342018286646,0.2391268935595579
215,Bridgwater,-3.003632,51.12789,0.01,0.01,0.01,0.01,0.29625394223046503,0.01,0.35992637623654267
216,Langholm,-2.998913,55.153059999999996,0.14300693393793742,0.01,0.03826191305459796,0.01,0.3266917510666741,0.17434430768932987,0.05092454267520161
217,Newport,-2.997664,51.58415,0.01,0.01,0.01,0.01,0.31986050798810756,0.01,0.3927631609908359
218,Axminster,-2.9949369999999997,50.78273,0.01,0.01,0.01,0.01,0.18754681537855308,0.01,0.20871452431613988
219,Wrexham,-2.9924939999999998,53.043040000000005,0.01,0.01,0.03443915955963838,0.01,0.01,0.09807848001120374,0.3123628669993889
