index,placename,longitude,latitude,'ee,du,tha,thee,thou,ye,you
173,Torquay,-3.525315,50.46192,0.984250262524931,0.01,0.01,0.01,0.01,0.0657598548396801,0.8282460069902785
174,Thurso,-3.5220800000000003,58.59356999999999,0.01,0.998801945468454,0.06765501230822005,0.01,0.01,0.7727924763341271,0.3744256575985301
175,Livingston,-3.518068,55.90071,0.01,0.01,0.06959962120945998,0.01,0.01,0.795004860561393,0.4599011374546176
176,Rhyl,-3.4916339999999995,53.319140000000004,0.01,0.01,0.04561009619281646,0.01,0.01,0.16280736084165368,0.8142122868844175
177,Tiverton,-3.491207,50.90205,0.01,0.01,0.01,0.01,0.24660050659412072,0.01,0.8829544981457881
178,Tiverton,-3.491207,50.90205,0.01,0.01,0.01,0.01,0.24660050659412072,0.01,0.8829544981457881
179,Minehead,-3.481152,51.20428,0.01,0.01,0.01,0.01,0.24430369725687676,0.01,0.8689497667943479
180,Dunfermline,-3.452151,56.071740000000005,0.01,0.01,0.06945052749533943,0.01,0.01,0.8924645422786845,0.4008351831011823
181,Perth,-3.4308381000000003,56.39499,0.01,0.01,0.06827906478762352,0.01,0.01,0.8774108203424704,0.38360459965818505
182,Prestatyn,-3.4076129999999996,53.33651,0.01,0.01,0.04532872384502191,0.01,0.01,0.16180298915244276,0.8053602886101076
183,Builth Wells,-3.4045919999999996,52.15002,0.01,0.01,0.01,0.01,0.2450216490243228,0.01,0.8733274578213438
184,Braemar,-3.3979439,57.00646999999999,0.01,0.01,0.06412636442805882,0.01,0.01,0.8240471100975317,0.3225241661215873
185,Brecon,-3.391463,51.94895,0.01,0.01,0.01,0.5829941176406375,0.24660050659412072,0.01,0.8272641134766804
186,Merthyr Tydfil,-3.381646,51.74873,0.01,0.01,0.01,0.01,0.252922700822441,0.01,0.9215039024361298
187,Llandrindod Wells,-3.377742,52.2417,0.01,0.01,0.01,0.38420105602262866,0.16251308921023713,0.09619217247555283,0.7922923856457584
188,Corwen,-3.369242,52.98005,0.01,0.01,0.04450687669451507,0.01,0.01,0.06354773632548696,0.8340577901652039
189,Cockermouth,-3.367985,54.66326,0.3855910582299077,0.01,0.24809164095841052,0.01,0.6528635439033179,0.2576216899994097,0.3929488709747508
190,Lockerbie,-3.349008,55.122240000000005,0.3905396242868605,0.01,0.1142161738222189,0.01,0.6612422090829848,0.6523198064855299,0.29396011840633013
191,Blairgowrie,-3.3378318,56.58941,0.01,0.01,0.06764212647686622,0.01,0.01,0.9658066024085848,0.31896284344367987
192,Elgin,-3.318485,57.64945,0.01,0.01,0.06917447382569462,0.01,0.01,0.8889171522039231,0.3967748184320971
193,Newtown,-3.313106,52.51211,0.01,0.01,0.01,0.38261878167939783,0.16184380346136765,0.19159201209916998,0.7316488718112925
194,Ruthin,-3.3103108,53.114869999999996,0.01,0.01,0.04528228603119577,0.01,0.01,0.16163722721499088,0.8038993509910642
195,Ruthin,-3.3103108,53.114869999999996,0.01,0.01,0.04528228603119577,0.01,0.01,0.16163722721499088,0.8038993509910642
196,Sidmouth,-3.2375599999999998,50.67865,0.01,0.01,0.01,0.01,0.24577994877165044,0.01,0.8779511695387175
197,Barrow-in-Furness,-3.2188939999999997,54.10896999999999,0.01,0.01,0.5520473278892559,0.5902955901477537,0.8322964209673029,0.06568526502366669,0.2251322633704395
198,Peebles,-3.1936419999999996,55.65306999999999,0.01,0.01,0.06784106558683024,0.01,0.01,0.7749176784293129,0.4325982404082803
