,"placename","preposition_drop_determiner","preposition_drop_no_determiner","preposition_retained","preposition_drop_reduced_determiner","longitude","latitude"
172,"Exeter",0.016431255055098,0.432561708644093,0.733651214387415,0.01,-3.533899,50.71841
173,"Torquay",0.01247178266397,0.588444496986915,0.643896960230022,0.01,-3.525315,50.46192
174,"Thurso",0.01,0.024201106573715,0.98550649009552,0.01,-3.52208,58.59357
175,"Livingston",0.03459927786472,0.016697219900622,0.966007001562047,0.01,-3.518068,55.90071
176,"Rhyl",0.834043556212453,0.149985103241102,0.140653640397562,0.01,-3.491634,53.31914
177,"Tiverton",0.015574672517999,0.421009192995982,0.741375395695387,0.01,-3.491207,50.90205
178,"Tiverton",0.015574672517999,0.421009192995982,0.741375395695387,0.01,-3.491207,50.90205
179,"Minehead",0.033012092583192,0.297220196360503,0.799322998023251,0.01,-3.481152,51.20428
180,"Dunfermline",0.025956351392976,0.041806106096757,0.959014251945646,0.01,-3.452151,56.07174
181,"Perth",0.018404084821395,0.039612750680175,0.967371200287527,0.01,-3.4308381,56.39499
182,"Prestatyn",0.990773975954111,0.120509893738298,0.0121777415297,0.01,-3.407613,53.33651
183,"Builth Wells",0.055573356757056,0.137558855399239,0.873996938112551,0.01,-3.404592,52.15002
184,"Braemar",0.024598557035119,0.031426572214818,0.966502571156053,0.01,-3.3979439,57.00647
185,"Brecon",0.053422562744044,0.198409661094512,0.839524439805919,0.01,-3.391463,51.94895
186,"Merthyr Tydfil",0.060824974439865,0.216451852430604,0.82180627168549,0.01,-3.381646,51.74873
187,"Llandrindod Wells",0.044537023622625,0.139280268257765,0.883256037378527,0.01,-3.377742,52.2417
188,"Corwen",0.432828357104036,0.078172864514115,0.557820772452689,0.01,-3.369242,52.98005
189,"Cockermouth",0.115033341329312,0.200953513055601,0.780549757398985,0.01,-3.367985,54.66326
190,"Lockerbie",0.101331324777419,0.155958841628074,0.820299173359506,0.01,-3.349008,55.12224
191,"Blairgowrie",0.024257219693836,0.033776545226783,0.965412076139395,0.01,-3.3378318,56.58941
192,"Elgin",0.01,0.015943446379309,0.994202803389502,0.01,-3.318485,57.64945
193,"Newtown",0.068178394405888,0.203547384067626,0.822685268381692,0.01,-3.313106,52.51211
194,"Ruthin",0.592135710701341,0.131862707900382,0.37708733636527,0.01,-3.3103108,53.11487
195,"Ruthin",0.592135710701341,0.131862707900382,0.37708733636527,0.01,-3.3103108,53.11487
196,"Sidmouth",0.017342151367838,0.474868921867418,0.70744011003442,0.01,-3.23756,50.67865
197,"Barrow-in-Furness",0.090208856777096,0.496243310719388,0.626681446206163,0.01,-3.218894,54.10897
198,"Peebles",0.014701013848436,0.046975253474488,0.966410645415463,0.01,-3.193642,55.65307
199,"Edinburgh",0.022762649499061,0.06354325341006,0.948961515599729,0.01,-3.188267,55.95325
200,"Cardiff",0.032746081091994,0.207261237347779,0.853498361924773,0.01,-3.17909,51.48158
201,"Llangollen",0.544603598302276,0.088748075990241,0.447255014445473,0.01,-3.17166,52.96921
202,"Kirkcaldy",0.025242235501563,0.051613797676078,0.953800749229344,0.01,-3.158137,56.11682
203,"Welshpool",0.166131063224809,0.180817863165044,0.744973804619787,0.01,-3.146407,52.66035
204,"Mold",0.733245816563893,0.113966774655894,0.256235571805753,0.01,-3.141903,53.1672
205,"Mold",0.733245816563893,0.113966774655894,0.256235571805753,0.01,-3.141903,53.1672
206,"Taunton",0.01,0.430201722021631,0.741297466167181,0.01,-3.106849,51.01534
207,"Wick",0.01,0.028069686565978,0.983187438658575,0.01,-3.093716,58.43894
208,"John o' Groats",0.01,0.028069686565978,0.983187438658575,0.01,-3.0688997,58.63734
209,"Dalkeith",0.021251888944076,0.061434595728321,0.95163427378665,0.01,-3.066606,55.89312
210,"Oswestry",0.394677988624909,0.162385420616636,0.542911868788101,0.01,-3.056412,52.85715
211,"Blackpool",0.157154647205704,0.503105202167503,0.560143625330034,0.01,-3.0356748,53.81751
212,"Birkenhead",0.991480933397374,0.12629703422972,0.01,0.01,-3.023009,53.38999
213,"Cupar",0.023100384452769,0.034474526161803,0.966072317219834,0.01,-3.010137,56.32023
214,"Southport",0.346931610141367,0.564421839639528,0.346426473230948,0.01,-3.010113,53.64571
215,"Bridgwater",0.017829674486424,0.398908699202768,0.752521218949144,0.01,-3.003632,51.12789
216,"Langholm",0.08623854942704,0.169201838628021,0.826433834201905,0.01,-2.998913,55.15306
217,"Newport",0.018718795255747,0.230050390252077,0.852916914336269,0.01,-2.997664,51.58415
218,"Axminster",0.022104854268959,0.443826743738685,0.721607905613691,0.01,-2.994937,50.78273
219,"Wrexham",0.649074411264291,0.088006054193164,0.350284762444534,0.01,-2.992494,53.04304
220,"Liverpool",1,0.126473387919252,0.01,0.01,-2.9915726,53.40837
221,"Weston-super-Mare",0.02866803381599,0.255927171062739,0.82812737590025,0.01,-2.977255,51.34741
222,"Dundee",0.024374779090855,0.035637422256378,0.964186802781272,0.01,-2.970721,56.46202
223,"Kirkwall",0.01,0.028069686565978,0.983187438658575,0.01,-2.9622491,58.98467
224,"Ambleside",0.13530790845394,0.246525820498209,0.734325451680237,0.01,-2.961333,54.42874
225,"Orkney Islands",0.01,0.028069686565978,0.983187438658575,0.01,-2.9605206,58.98094
226,"Lyme Regis",0.039670027524409,0.417184091789193,0.721200287527129,0.01,-2.936639,50.72516
227,"Carlisle",0.111976470864715,0.214181754824651,0.775470341853168,0.01,-2.932931,54.89247
228,"Chester",0.758512825892359,0.156310142374459,0.207291508273316,0.01,-2.893075,53.19339
229,"Forfar",0.022151525942562,0.03262960057737,0.968063062440387,0.01,-2.889062,56.64356
230,"Morecambe",0.089228058579514,0.489322992131153,0.631744446441161,0.01,-2.864968,54.07417
231,"Selkirk",0.010050829966656,0.04042483892629,0.974673594503808,0.01,-2.838524,55.55066
232,"Galashiels",0.022650477005685,0.060620633893597,0.950818173649797,0.01,-2.814449,55.62373
233,"Lancaster",0.101650653087202,0.451290160897852,0.642960250756832,0.01,-2.8007399,54.04657
234,"St Andrews",0.024099607825076,0.04032665711836,0.961632407624998,0.01,-2.7967214,56.33978
235,"Hawick",0.013820767479371,0.083799072391469,0.945156792137239,0.01,-2.780914,55.42706
236,"Bridport",0.05968245053586,0.370881808283034,0.730296097648636,0.01,-2.758301,50.73358
237,"Shrewsbury",0.072636601049776,0.217890264053605,0.809930226289379,0.01,-2.7553268,52.7073
238,"Penrith",0.107664733519374,0.241750775277995,0.762964121314331,0.01,-2.752708,54.6641
239,"Kendal",0.090452440440706,0.247438183206608,0.775604601816398,0.01,-2.74629,54.32801
240,"Street",0.014891818086669,0.382810079332526,0.764911149970279,0.01,-2.742919,51.12468
241,"Glastonbury",0.011062893330482,0.350639170718091,0.787766791999005,0.01,-2.718454,51.14743
242,"Hereford",0.011615898738042,0.25318339278499,0.845672578482465,0.01,-2.715974,52.0564
243,"Ludlow",0.049254874574732,0.247631194540084,0.813904113849684,0.01,-2.7139129,52.36775
244,"Preston",0.188042302133132,0.461772289609504,0.556119627873543,0.01,-2.70309,53.7632
245,"Whitchurch",0.518211656358517,0.198105352832852,0.406308490344341,0.01,-2.682045,52.96872
246,"Wells",0.024940463271972,0.29388260002699,0.808850098837451,0.01,-2.6445979,51.20935
247,"Yeovil",0.028496368188293,0.354031594019152,0.769477198269308,0.01,-2.633308,50.94206
248,"Wigan",0.424951182598705,0.495618200851431,0.314921517535008,0.01,-2.6325074,53.54506
249,"Warrington",0.826174494491489,0.24634534491374,0.090226496730761,0.01,-2.5969501,53.39004
250,"Arbroath",0.021267508555638,0.038880644490499,0.965140100358027,0.01,-2.591543,56.55911
251,"Bristol",0.029423419652723,0.320490610764348,0.788719398404777,0.01,-2.58791,51.45451
252,"Guernsey",0.036944022645854,0.482871341644576,0.684365021218949,0.01,-2.585278,49.46569
253,"Ross-on-Wye",0.019720327565769,0.264607270721742,0.83126736567092,0.01,-2.582446,51.91445
254,"Jedburgh",0.01,0.063928399814032,0.96699848633555,0.01,-2.5549369,55.47772
255,"Sedbergh",0.079981074345421,0.243866111582509,0.787510021979238,0.01,-2.528174,54.32363
256,"Sedbergh",0.079981074345421,0.243866111582509,0.787510021979238,0.01,-2.528174,54.32363
257,"Nantwich",0.706383459136373,0.299512416724247,0.170055362795648,0.01,-2.524102,53.06719
258,"Banff",0.01,0.03249698221083,0.988659266529354,0.01,-2.524038,57.66651
259,"Dunbar",0.02561352417535,0.066016226072897,0.944820710247301,0.01,-2.516737,56.00209
260,"Cinderford",0.019244334311122,0.273214078476856,0.826551678854315,0.01,-2.5009579,51.8253
261,"Banchory",0.01169268110903,0.039906393898991,0.973453332135304,0.01,-2.4909599,57.05386
262,"Blackburn",0.165194536962193,0.568422893876131,0.513490966395267,0.01,-2.487529,53.74858
263,"Market Drayton",0.469779419600918,0.304932858453373,0.387430364523576,0.01,-2.483485,52.90355
264,"Telford",0.09868390902288,0.400744660386325,0.67602708007907,0.01,-2.4672611,52.67759
265,"Montrose",0.013762375074587,0.033275639871296,0.975498334277934,0.01,-2.466115,56.70692
266,"Turriff",0.01,0.031903564814783,0.989077770558881,0.01,-2.4623,57.53893
267,"Weymouth",0.041663439450585,0.348472771917907,0.760531717836358,0.01,-2.457621,50.61443
268,"Crewe",0.705878378084515,0.297223387226024,0.17189854301157,0.01,-2.4438209,53.10041
269,"Fortuneswell",0.041434109678555,0.346691401341491,0.761813321629505,0.01,-2.442219,50.55919
270,"Dorchester",0.03855822954036,0.349639412307253,0.762727740838529,0.01,-2.441181,50.71116
271,"Alston",0.039301961356792,0.163974096928417,0.873334450726421,0.01,-2.438685,54.81217
272,"Kelso",0.023152254015852,0.065674189501566,0.947320848481498,0.01,-2.432207,55.60003
273,"Wincanton",0.026179139792505,0.228508507536383,0.846884719591933,0.01,-2.416007,51.05569
274,"Clitheroe",0.154280998175863,0.598487831246647,0.505644447823503,0.01,-2.393083,53.8711
275,"Sark",0.039457225373155,0.373815507914277,0.747396704496758,0.01,-2.3666256,49.43007
276,"Bath",0.025807291488549,0.313658082773381,0.796187155278473,0.01,-2.3590167,51.38106
277,"Kidderminster",0.061421751450782,0.391888754702153,0.716081302442598,0.01,-2.2496839,52.3886
278,"Manchester",0.104299078770357,0.659359598074774,0.515760253521516,0.01,-2.2426305,53.48076
279,"Burnley",0.141277911524549,0.756411395714729,0.423099625385328,0.01,-2.2405035,53.78929
280,"Gloucester",0.026116848507341,0.295080223807019,0.807035256631786,0.01,-2.238156,51.86424
281,"Newcastle-under-Lyme",0.587750135529177,0.328671508592274,0.263196527556987,0.01,-2.2273002,53.01321
282,"Worcester",0.059967726647036,0.28274560021296,0.782864834602784,0.01,-2.221575,52.19364
283,"Trowbridge",0.024919897789813,0.206667987133485,0.861151525414357,0.01,-2.208853,51.31966
284,"Shaftesbury",0.036835678615817,0.182710585436082,0.864402275334873,0.01,-2.198083,51.0046
285,"Alderney",0.037504427401968,0.331413280688991,0.774636444063532,0.01,-2.1973557,49.715
286,"Stoke-on-Trent",0.58407560569482,0.333298027237447,0.263849511342116,0.01,-2.179404,53.00267
