index,placename,longitude,latitude,dinna,dinnae,dinnit,divna,divnae,divnt,dont
213,Cupar,-3.010137,56.32023,0.18206488386465153,0.3601200590131281,0.01,0.01,0.01,0.01,0.13549629127511437
214,Southport,-3.010113,53.64571,0.01,0.01,0.03681167701133161,0.01,0.01,0.01,0.3227484345249545
215,Bridgwater,-3.003632,51.12789,0.01,0.01,0.01,0.01,0.01,0.01,0.348543739956837
216,Langholm,-2.998913,55.153059999999996,0.01,0.09028438356236802,0.01,0.01,0.01,0.018675877199835222,0.09711080752613199
217,Newport,-2.997664,51.58415,0.01,0.01,0.01,0.01,0.01,0.01,0.3823296556091681
218,Axminster,-2.9949369999999997,50.78273,0.01,0.01,0.01,0.01,0.01,0.024783674833284114,0.19442179641121224
219,Wrexham,-2.9924939999999998,53.043040000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.31935140313337734
220,Liverpool,-2.9915726,53.40837,0.01,0.01,0.01,0.01,0.01,0.013159962937069537,0.6025035482307664
221,Weston-super-Mare,-2.977255,51.347409999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.3105893842749359
222,Dundee,-2.9707209999999997,56.462019999999995,0.5015397489640339,0.31055043475772637,0.01,0.01,0.01,0.01,0.3479275212332379
223,Kirkwall,-2.9622491,58.984669999999994,0.37113791350356407,0.10482984046062922,0.01,0.01,0.01,0.01,0.1354652952681218
224,Ambleside,-2.961333,54.428740000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.24215951312848286
225,Orkney Islands,-2.9605206,58.980940000000004,0.3797860262409058,0.1072725450336622,0.01,0.01,0.01,0.01,0.14026896234937636
226,Lyme Regis,-2.936639,50.725159999999995,0.01,0.01,0.01,0.01,0.01,0.03529236748348807,0.17354157199225298
227,Carlisle,-2.932931,54.892469999999996,0.01,0.04775459072751992,0.01,0.01,0.01,0.07904046954060992,0.36752635858405336
228,Chester,-2.893075,53.19339,0.01,0.01,0.01,0.01,0.01,0.01,0.3968648602905327
229,Forfar,-2.889062,56.64356,0.2999307201116625,0.1658801989658862,0.01,0.01,0.01,0.01,0.18222338974238014
230,Morecambe,-2.864968,54.074169999999995,0.01,0.01,0.01,0.01,0.01,0.01,0.2308932951736417
231,Selkirk,-2.838524,55.55066,0.01784000776521739,0.3882906192753387,0.01,0.01,0.01,0.01,0.1910984655434656
232,Galashiels,-2.814449,55.62373,0.017099951712677166,0.44548204379680645,0.01,0.01,0.01,0.01,0.17502575882840743
233,Lancaster,-2.8007399,54.046569999999996,0.01,0.010698104918473646,0.01,0.01,0.01,0.01,0.32308976203047696
234,St Andrews,-2.7967214,56.339780000000005,0.26011180511701193,0.3785753664406751,0.01,0.01,0.01,0.01,0.20124071743816058
