placename,past_participle,present_participle,longitude,latitude
Selkirk,0.11686391,0.8831361, -2.8385240,55.55066
Galashiels,0.11686391,0.8831361, -2.8144490,55.62373
Lancaster,0.70618557,0.2938144, -2.8007399,54.04657
St Andrews,0.13089005,0.8691099, -2.7967214,56.33978
Hawick,0.15937073,0.8406293, -2.7809140,55.42706
Bridport,0.56655666,0.4334433, -2.7583010,50.73358
Shrewsbury,0.46767241,0.5323276, -2.7553268,52.70730
Penrith,0.51887942,0.4811206, -2.7527080,54.66410
Kendal,0.65188470,0.3481153, -2.7462900,54.32801
Street,0.58051140,0.4194886, -2.7429190,51.12468
Glastonbury,0.59050241,0.4094976, -2.7184540,51.14743
Hereford,0.67049808,0.3295019, -2.7159740,52.05640
Ludlow,0.59183673,0.4081633, -2.7139129,52.36775
Preston,0.71205152,0.2879485, -2.7030900,53.76320
Whitchurch,0.47395833,0.5260417, -2.6820450,52.96872
Wells,0.57811425,0.4218858, -2.6445979,51.20935
Yeovil,0.57755776,0.4224422, -2.6333080,50.94206
Wigan,0.74329159,0.2567084, -2.6325074,53.54506
Warrington,0.73535493,0.2646451, -2.5969501,53.39004
Arbroath,0.18125000,0.8187500, -2.5915430,56.55911
Bristol,0.57220808,0.4277919, -2.5879100,51.45451
Guernsey,0.56018100,0.4398190, -2.5852780,49.46569
Ross-on-Wye,0.66202783,0.3379722, -2.5824460,51.91445
Jedburgh,0.16115108,0.8388489, -2.5549369,55.47772
Sedbergh,0.61800819,0.3819918, -2.5281740,54.32363
Sedbergh,0.61800819,0.3819918, -2.5281740,54.32363
Nantwich,0.46364883,0.5363512, -2.5241020,53.06719
Banff,0.20496894,0.7950311, -2.5240380,57.66651
Dunbar,0.12230216,0.8776978, -2.5167370,56.00209
Cinderford,0.65773196,0.3422680, -2.5009579,51.82530
Banchory,0.22850123,0.7714988, -2.4909599,57.05386
Blackburn,0.76301115,0.2369888, -2.4875290,53.74858
Market Drayton,0.50654861,0.4934514, -2.4834850,52.90355
Telford,0.50821334,0.4917867, -2.4672611,52.67759
Montrose,0.19661734,0.8033827, -2.4661150,56.70692
Turriff,0.21105528,0.7889447, -2.4623000,57.53893
Weymouth,0.55172414,0.4482759, -2.4576210,50.61443
Crewe,0.48035363,0.5196464, -2.4438209,53.10041
Fortuneswell,0.55716163,0.4428384, -2.4422190,50.55919
Dorchester,0.54719562,0.4528044, -2.4411810,50.71116
Alston,0.49854862,0.5014514, -2.4386850,54.81217
Kelso,0.15696023,0.8430398, -2.4322070,55.60003
Wincanton,0.54402102,0.4559790, -2.4160070,51.05569
Clitheroe,0.72827283,0.2717272, -2.3930830,53.87110
Sark,0.53246753,0.4675325, -2.3666256,49.43007
Bath,0.55033557,0.4496644, -2.3590167,51.38106
Kidderminster,0.48411343,0.5158866, -2.2496839,52.38860
Manchester,0.74547495,0.2545250, -2.2426305,53.48076
Burnley,0.71942446,0.2805755, -2.2405035,53.78929
Gloucester,0.62546816,0.3745318, -2.2381560,51.86424
Newcastle-under-Lyme,0.47194315,0.5280568, -2.2273002,53.01321
Worcester,0.62578616,0.3742138, -2.2215750,52.19364
Trowbridge,0.53287982,0.4671202, -2.2088530,51.31966
Shaftesbury,0.49937265,0.5006274, -2.1980830,51.00460
Alderney,0.54122340,0.4587766, -2.1973557,49.71500
Stoke-on-Trent,0.46203285,0.5379672, -2.1794040,53.00267
Colne,0.70743802,0.2925620, -2.1769910,53.85564
Blandford Forum,0.54272152,0.4572785, -2.1653530,50.85691
Rochdale,0.76678666,0.2332133, -2.1561000,53.60971
Jersey,0.53272251,0.4672775, -2.1312500,49.21444
Wolverhampton,0.44791992,0.5520801, -2.1288200,52.58697
Stafford,0.45881417,0.5411858, -2.1206600,52.80669
Macclesfield,0.63905325,0.3609467, -2.1192870,53.25866
Hexham,0.48897059,0.5110294, -2.1121439,54.97266
Aberdeen,0.22850123,0.7714988, -2.0942780,57.14972
Dudley,0.44914440,0.5508556, -2.0811120,52.51226
Cheltenham,0.62989324,0.3701068, -2.0782533,51.89939
Bromsgrove,0.46601462,0.5339854, -2.0619060,52.33559
Skipton,0.73380282,0.2661972, -2.0162787,53.96285
Fraserburgh,0.20947631,0.7905237, -2.0076310,57.69335
Berwick,0.17042254,0.8295775, -2.0053950,55.77024
Poole,0.56626506,0.4337349, -1.9872480,50.71505
Walsall,0.44066334,0.5593367, -1.9829190,52.58621
Cirencester,0.63475177,0.3652482, -1.9682430,51.71849
Evesham,0.65848871,0.3415113, -1.9467700,52.09215
Buxton,0.70375000,0.2962500, -1.9148300,53.25908
Keighley,0.75641026,0.2435897, -1.9123580,53.86780
Birmingham,0.43075178,0.5692482, -1.8904010,52.48624
Bournemouth,0.57228916,0.4277108, -1.8807690,50.71916
Halifax,0.77267081,0.2273292, -1.8575400,53.72702
Salisbury,0.56108108,0.4389189, -1.7944720,51.06878
Ringwood,0.55726092,0.4427391, -1.7888170,50.84495
Huddersfield,0.76515987,0.2348401, -1.7850351,53.64579
Peterhead,0.22682927,0.7731707, -1.7840660,57.50812
Swindon,0.53539823,0.4646018, -1.7797176,51.55577
Bradford,0.74416517,0.2558348, -1.7593980,53.79598
Ashbourne,0.54346361,0.4565364, -1.7321790,53.01663
Marlborough,0.52777778,0.4722222, -1.7270620,51.42007
Stratford-upon-Avon,0.47737557,0.5226244, -1.7082980,52.19173
Alnwick,0.48522167,0.5147783, -1.7062990,55.41274
Otley,0.73908868,0.2609113, -1.6917860,53.90583
Bishop Auckland,0.53354134,0.4664587, -1.6787880,54.66382
Burton upon Trent,0.49345475,0.5065452, -1.6371359,52.81403
Newcastle,0.47869674,0.5213033, -1.6177800,54.97825
Durham,0.42857143,0.5714286, -1.5848520,54.77525
Ashington,0.50721154,0.4927885, -1.5659829,55.18298
Darlington,0.70647321,0.2935268, -1.5594580,54.52361
Leeds,0.75451378,0.2454862, -1.5490774,53.80076
Harrogate,0.73022160,0.2697784, -1.5418120,53.99212
Leamington Spa,0.44713328,0.5528667, -1.5200789,52.28519
Coventry,0.44653614,0.5534639, -1.5196930,52.40682
Blyth,0.50947867,0.4905213, -1.5102770,55.12696
Wakefield,0.75801383,0.2419862, -1.5059240,53.68330
Andover,0.53137652,0.4686235, -1.4919233,51.21120
Witney,0.55369128,0.4463087, -1.4850544,51.78594
Barnsley,0.74901741,0.2509826, -1.4797260,53.55263
Derby,0.61648969,0.3835103, -1.4746186,52.92253
Sheffield,0.72605791,0.2739421, -1.4700850,53.38113
Nuneaton,0.43987851,0.5601215, -1.4653820,52.52049
Northallerton,0.80444965,0.1955504, -1.4299590,54.33796
South Shields,0.48135965,0.5186404, -1.4274060,54.99942
Chesterfield,0.70022371,0.2997763, -1.4216290,53.23505
Southampton,0.57640311,0.4235969, -1.4043509,50.90970
Wetherby,0.69412477,0.3058752, -1.3848160,53.92706
Sunderland,0.45910020,0.5408998, -1.3838010,54.90687
Rotherham,0.73736321,0.2626368, -1.3635009,53.43260
Castleford,0.74007727,0.2599227, -1.3459680,53.72347
Thirsk,0.72137060,0.2786294, -1.3413770,54.23385
Banbury,0.46673597,0.5332640, -1.3397750,52.06290
Stockton,0.68037603,0.3196240, -1.3289821,54.57046
Newbury,0.47211896,0.5278810, -1.3231139,51.40141
Isle of Wight,0.59097065,0.4090293, -1.3047340,50.69385
Isle of Wight,0.59097065,0.4090293, -1.3047340,50.69385
Abingdon,0.50146628,0.4985337, -1.2879529,51.67078
Shetland Islands,0.21242236,0.7875776, -1.2659409,60.52965
Rugby,0.42855089,0.5714491, -1.2650320,52.37088
Oxford,0.50537634,0.4946237, -1.2577263,51.75202
Middlesbrough,0.68166090,0.3183391, -1.2349560,54.57423
Hartlepool,0.63343109,0.3665689, -1.2129260,54.69174
Loughborough,0.60129564,0.3987044, -1.2061660,52.77210
Mansfield,0.66687939,0.3331206, -1.1986740,53.14720
Nottingham,0.61319613,0.3868039, -1.1581086,52.95478
Bicester,0.47891566,0.5210843, -1.1535899,51.89960
Leicester,0.48939895,0.5106011, -1.1397592,52.63688
Doncaster,0.81978799,0.1802120, -1.1284620,53.52282
Worksop,0.71125265,0.2887473, -1.1227450,53.30930
Basingstoke,0.48481881,0.5151812, -1.0923964,51.26654
Portsmouth,0.58136697,0.4186330, -1.0879769,50.81977
York,0.67577197,0.3242280, -1.0872979,53.95997
Selby,0.69093407,0.3090659, -1.0671890,53.78352
Helmsley,0.70912548,0.2908745, -1.0562636,54.24651
Towcester,0.41164454,0.5883555, -0.9896880,52.13511
Reading,0.47318612,0.5268139, -0.9781303,51.45426
Retford,0.74157303,0.2584270, -0.9455030,53.32136
Petersfield,0.52110553,0.4788945, -0.9389900,51.00759
Northampton,0.39417476,0.6058252, -0.9026560,52.24048
Melton Mowbray,0.59432870,0.4056713, -0.8871260,52.76640
Aylesbury,0.41273885,0.5872611, -0.8084000,51.81561
Newark-on-Trent,0.67399267,0.3260073, -0.8065700,53.07004
Malton,0.67750000,0.3225000, -0.7978970,54.13684
Chichester,0.50880282,0.4911972, -0.7749360,50.83761
Gainsborough,0.75460123,0.2453988, -0.7744650,53.40058
Milton Keynes,0.42230696,0.5776930, -0.7594171,52.04062
Aldershot,0.37184116,0.6281588, -0.7557509,51.24837
High Wycombe,0.45719178,0.5428082, -0.7482290,51.62861
Midhurst,0.45571429,0.5442857, -0.7372740,50.98690
Kettering,0.44232923,0.5576708, -0.7302490,52.39632
Wellingborough,0.40000000,0.6000000, -0.6939640,52.30242
Corby,0.44947994,0.5505201, -0.6842333,52.49230
Bognor Regis,0.40402258,0.5959774, -0.6730610,50.78300
Scunthorpe,0.81168831,0.1883117, -0.6544130,53.58865
Grantham,0.64720344,0.3527966, -0.6435820,52.91252
Whitby,0.79922780,0.2007722, -0.6133470,54.48633
Slough,0.29763780,0.7023622, -0.5950406,51.51054
Guildford,0.33587786,0.6641221, -0.5704090,51.23622
Woking,0.32075472,0.6792453, -0.5600349,51.31677
Lincoln,0.67197062,0.3280294, -0.5405790,53.23069
Bedford,0.42359551,0.5764045, -0.4667782,52.13864
Heathrow,0.26156942,0.7384306, -0.4542955,51.47002
Driffield,0.71965066,0.2803493, -0.4433770,54.00600
Beverley,0.76388889,0.2361111, -0.4350930,53.84196
Luton,0.32382550,0.6761745, -0.4200255,51.87867
Scarborough,0.74152154,0.2584785, -0.3997520,54.28311
Worthing,0.30406291,0.6959371, -0.3728820,50.81787
Dorking,0.31615120,0.6838488, -0.3323780,51.23220
Hull,0.78546713,0.2145329, -0.3274198,53.76762
Horsham,0.25777778,0.7422222, -0.3258580,51.06288
Biggleswade,0.37431394,0.6256861, -0.2642200,52.08694
Peterborough,0.43076923,0.5692308, -0.2405299,52.56950
Welwyn Garden City,0.26934524,0.7306548, -0.2086610,51.80317
Bridlington,0.71850565,0.2814944, -0.1988020,54.08535
Stevenage,0.34429066,0.6557093, -0.1966120,51.90376
Crawley,0.21022727,0.7897727, -0.1872275,51.10914
Huntingdon,0.43261608,0.5673839, -0.1825520,52.33146
Hove,0.28974359,0.7102564, -0.1687490,50.82793
Spalding,0.50957290,0.4904271, -0.1537024,52.79010
Brighton,0.28974359,0.7102564, -0.1371630,50.82253
London,0.24691269,0.7530873, -0.1277583,51.50735
Grimsby,0.76744186,0.2325581, -0.0807840,53.56747
