placename,past participle,present participle,longitude,latitude
Kettering,0.18489583,0.8151042, -0.7302490,52.39632
Wellingborough,0.17151163,0.8284884, -0.6939640,52.30242
Corby,0.19940476,0.8005952, -0.6842333,52.49230
Bognor Regis,0.10935024,0.8906498, -0.6730610,50.78300
Scunthorpe,0.13606911,0.8639309, -0.6544130,53.58865
Grantham,0.14915798,0.8508420, -0.6435820,52.91252
Whitby,0.10152284,0.8984772, -0.6133470,54.48634
Slough,0.18296893,0.8170311, -0.5950406,51.51054
Guildford,0.16878981,0.8312102, -0.5704090,51.23622
Woking,0.16940452,0.8305955, -0.5600349,51.31677
Lincoln,0.14322251,0.8567775, -0.5405790,53.23069
Bedford,0.15370540,0.8462946, -0.4667782,52.13864
Heathrow,0.23404255,0.7659574, -0.4542955,51.47002
Driffield,0.12474012,0.8752599, -0.4433770,54.00600
Beverley,0.13600000,0.8640000, -0.4350930,53.84196
Luton,0.16863905,0.8313609, -0.4200255,51.87867
Scarborough,0.10786517,0.8921348, -0.3997520,54.28311
Worthing,0.13291139,0.8670886, -0.3728820,50.81787
Dorking,0.16381156,0.8361884, -0.3323780,51.23220
Hull,0.12605042,0.8739496, -0.3274198,53.76762
Horsham,0.15693112,0.8430689, -0.3258580,51.06288
Biggleswade,0.16924477,0.8307552, -0.2642200,52.08694
Peterborough,0.18933333,0.8106667, -0.2405299,52.56950
Welwyn Garden City,0.19867550,0.8013245, -0.2086610,51.80317
Bridlington,0.13080169,0.8691983, -0.1988020,54.08535
Stevenage,0.18574766,0.8142523, -0.1966120,51.90376
Crawley,0.16434783,0.8356522, -0.1872275,51.10914
Huntingdon,0.17582418,0.8241758, -0.1825520,52.33146
Hove,0.15103653,0.8489635, -0.1687490,50.82793
Spalding,0.16472546,0.8352745, -0.1537024,52.79010
Brighton,0.15854922,0.8414508, -0.1371630,50.82253
London,0.20714866,0.7928513, -0.1277583,51.50735
Grimsby,0.11931818,0.8806818, -0.0807840,53.56747
Boston,0.14901593,0.8509841, -0.0265770,52.97894
Royston,0.16304348,0.8369565, -0.0240660,52.04814
Louth_Lincs,0.13953488,0.8604651, -0.0077110,53.36596
Lewes,0.16476684,0.8352332,  0.0087800,50.87387
Chatteris,0.19230769,0.8076923,  0.0540120,52.45610
Uckfield,0.18034351,0.8196565,  0.0959130,50.96641
