,placename,a_load_of,a_lot_of,a_rake_of,bare,loads_of,lots_of,longitude,latitude
69,Mull,0.2404983722722797,0.40001005380720256,0.01,0.05425837087594811,0.4904680844703852,0.5071486886900156,-6.0008870000000005,56.4392
70,Broadford,0.3030935333949387,0.27185623571279866,0.01,0.01,0.3990635335114552,0.7243225039081364,-5.9096592,57.24139
71,Kyle of Lochalsh,0.30297416541318944,0.2813209929294665,0.01,0.01,0.4014567363136422,0.7108094299205362,-5.7143293,57.28261
72,Campbeltown,0.22386038716120124,0.4351877451823898,0.01,0.050504706076529016,0.5240035011911852,0.4448828217795082,-5.6053739999999985,55.42412
73,Penzance,0.2884442650209469,0.07935418467168176,0.01,0.20305465357951705,0.5041619323547759,0.8820411814861582,-5.537592,50.1188
74,Oban,0.2315459215934637,0.4057220341429872,0.01,0.07854720410826624,0.4834138026379325,0.5020842708263429,-5.471047,56.41516
75,Lochgilphead,0.22464814482360326,0.4273937889383629,0.01,0.06096582662879532,0.4763712444620291,0.4819357019433019,-5.4323449,56.03829
76,Helston,0.2881907930002071,0.07798983147627904,0.01,0.20287622250367468,0.4973607032493658,0.8879273681536595,-5.274996,50.10159
77,Redruth,0.2884442650209469,0.07935418467168176,0.01,0.20305465357951705,0.5041619323547759,0.8820411814861582,-5.226666000000002,50.23302
78,Ullapool,0.3412410725162857,0.26931571596963505,0.01,0.01,0.3516242714792985,0.7507483818853502,-5.161313,57.89542
79,Ballachulish,0.13964358330371576,0.2978530610298325,0.01,0.05810870379824825,0.5175873016482433,0.6349020361833534,-5.1337199999999985,56.67393000000001
80,Fort William,0.198625540126062,0.24272887395425896,0.01,0.01,0.42125998044823176,0.7627430774418288,-5.1052179,56.81981999999999
81,Achnasheen,0.3264512789699271,0.2902837042608163,0.01,0.01,0.34694036217048896,0.7288290576790303,-5.078765799999998,57.57859000000001
82,Newquay,0.29100366368565306,0.08383811823663931,0.01,0.2048563783293149,0.5180879909101213,0.8673522699716377,-5.0737190000000005,50.4155
83,Falmouth,0.26300086430822484,0.06371116958645967,0.01,0.19172026614920126,0.4978502173298544,0.9108739033647648,-5.0662699999999985,50.15257
84,Rothesay,0.21664779731304865,0.436510529751858,0.01,0.06614398793706927,0.5053549343876306,0.4533030700640248,-5.055793,55.83596
85,Truro,0.2881907930002071,0.07798983147627904,0.01,0.20287622250367468,0.4973607032493658,0.8879273681536595,-5.0510410000000014,50.2632
86,Milford Haven,0.6139520516512418,0.20697663327642624,0.01,0.18846787003308724,0.7023122273007214,0.5566536717955852,-5.0426971,51.71431
87,Stranraer,0.11800430464496207,0.502608834074157,0.01,0.01,0.5954454074220893,0.3373229193213243,-5.0240550000000015,54.90337
88,Fishguard,0.5503530336171187,0.19197744853707435,0.01,0.1444712838403113,0.7261983890873188,0.5762064994666326,-4.975989,51.99393
89,Inchnadamph,0.3429359854133155,0.28197223473577504,0.01,0.01,0.3410681128676866,0.7406813023306368,-4.974295,58.15221
