placename,jab,jag,shot,longitude,latitude
Northallerton,0.9481132,0.004043127,0.047843666, -1.4299590,54.33796
South Shields,0.9824047,0.000000000,0.017595308, -1.4274060,54.99942
Chesterfield,0.9792994,0.000000000,0.020700637, -1.4216290,53.23505
Southampton,0.9896373,0.000000000,0.010362694, -1.4043509,50.90970
Wetherby,0.9411371,0.000000000,0.058862876, -1.3848160,53.92706
Sunderland,0.9825581,0.000000000,0.017441860, -1.3838010,54.90687
Rotherham,0.9747899,0.000000000,0.025210084, -1.3635009,53.43260
Castleford,0.9587482,0.000000000,0.041251778, -1.3459680,53.72347
Thirsk,0.9436141,0.004076087,0.052309783, -1.3413770,54.23385
Banbury,0.9605263,0.000000000,0.039473684, -1.3397750,52.06290
Stockton,0.9774011,0.005649718,0.016949153, -1.3289821,54.57046
Newbury,0.9600806,0.000000000,0.039919355, -1.3231139,51.40141
Isle of Wight,0.9781620,0.000000000,0.021838035, -1.3047340,50.69385
Isle of Wight,0.9781620,0.000000000,0.021838035, -1.3047340,50.69385
Abingdon,0.9559194,0.000000000,0.044080605, -1.2879529,51.67078
Shetland Islands,0.8465011,0.101580135,0.051918736, -1.2659409,60.52965
Rugby,0.9623168,0.004187020,0.033496162, -1.2650320,52.37088
Oxford,0.9521277,0.000000000,0.047872340, -1.2577263,51.75202
Middlesbrough,0.9774011,0.005649718,0.016949153, -1.2349560,54.57423
Hartlepool,0.9832402,0.000000000,0.016759777, -1.2129260,54.69174
Loughborough,0.9692623,0.000000000,0.030737705, -1.2061660,52.77210
Mansfield,0.9708423,0.000000000,0.029157667, -1.1986740,53.14720
Nottingham,0.9662711,0.000000000,0.033728919, -1.1581086,52.95478
Bicester,0.9728997,0.000000000,0.027100271, -1.1535899,51.89960
Leicester,0.9626814,0.004146510,0.033172080, -1.1397592,52.63688
Doncaster,0.9827018,0.000000000,0.017298188, -1.1284620,53.52282
Worksop,0.9706840,0.000000000,0.029315961, -1.1227450,53.30930
Basingstoke,0.9705620,0.000000000,0.029438002, -1.0923964,51.26654
Portsmouth,0.9709251,0.002643172,0.026431718, -1.0879769,50.81977
York,0.9498681,0.000000000,0.050131926, -1.0872979,53.95997
Selby,0.9540696,0.000000000,0.045930429, -1.0671890,53.78352
Helmsley,0.9480432,0.004048583,0.047908232, -1.0562636,54.24651
Towcester,0.9385343,0.004728132,0.056737589, -0.9896880,52.13511
Reading,0.9668072,0.000000000,0.033192835, -0.9781303,51.45426
Retford,0.9682059,0.000000000,0.031794095, -0.9455030,53.32136
Petersfield,0.9721731,0.000000000,0.027826855, -0.9389900,51.00759
Northampton,0.9346473,0.006224066,0.059128631, -0.9026560,52.24048
Melton Mowbray,0.9548872,0.004511278,0.040601504, -0.8871260,52.76640
Aylesbury,0.9511202,0.000000000,0.048879837, -0.8084000,51.81561
Newark-on-Trent,0.9564475,0.000000000,0.043552519, -0.8065700,53.07004
Malton,0.9635996,0.000000000,0.036400404, -0.7978970,54.13684
Chichester,0.9705025,0.002184996,0.027312454, -0.7749360,50.83761
Gainsborough,0.9667722,0.000000000,0.033227848, -0.7744650,53.40058
Milton Keynes,0.9494471,0.006319115,0.044233807, -0.7594171,52.04062
Aldershot,0.9599589,0.000000000,0.040041068, -0.7557509,51.24837
High Wycombe,0.9276471,0.000000000,0.072352941, -0.7482290,51.62861
