,placename,control,doubled,longitude,latitude
287,Colne,0.6756742390012556,0.3243253387869164,-2.176991,53.85564
288,Blandford Forum,0.7861748889082959,0.21382511280164865,-2.165353,50.85691
289,Rochdale,0.7096162194521554,0.2903836637880708,-2.1561,53.60971
290,Jersey,0.8087184997588949,0.191280759259874,-2.13125,49.21444
291,Wolverhampton,0.7813198871553829,0.21867944351870114,-2.12882,52.58697
292,Stafford,0.7139915429818278,0.286008600952158,-2.12066,52.80669
293,Macclesfield,0.8457321927369877,0.15426807845311816,-2.119287,53.25866
294,Hexham,0.6803292693576761,0.31967057814375754,-2.1121439,54.97266
295,Aberdeen,0.7837739665085877,0.21622568830786087,-2.094278,57.14972
296,Dudley,0.8141594936420494,0.18583993302268192,-2.081112,52.51226
297,Cheltenham,0.7512925366371661,0.2487067515463589,-2.0782533,51.89939
298,Bromsgrove,0.8768897613379342,0.1231101783595503,-2.061906,52.33559
299,Skipton,0.5187232712282925,0.4812758990970831,-2.0162787,53.96285
300,Fraserburgh,0.8269753820023209,0.17302434309142736,-2.007631,57.69335
301,Berwick,0.8654293752918903,0.13457108182484154,-2.005395,55.77024
302,Poole,0.8109409666718547,0.18905841005729387,-1.987248,50.71505
303,Walsall,0.8083628544271501,0.1916368587532921,-1.982919,52.58621
304,Cirencester,0.7466729442497473,0.2533268931105352,-1.968243,51.71849
305,Evesham,0.8015549674540225,0.19844545691901475,-1.94677,52.09215
306,Buxton,0.8633499258966744,0.13665018830738754,-1.91483,53.25908
307,Keighley,0.5350703000710031,0.4649293567526807,-1.912358,53.8678
308,Birmingham,0.8199042415451961,0.18009566175567404,-1.890401,52.48624
309,Bournemouth,0.7900591434389755,0.2099404542222628,-1.880769,50.71916
310,Halifax,0.5076919377354899,0.4923076920350927,-1.85754,53.72702
311,Salisbury,0.7633680245736998,0.23663212229425504,-1.794472,51.06878
312,Ringwood,0.7658967767901546,0.2341027146567301,-1.788817,50.84495
313,Huddersfield,0.5953540822641832,0.40464544324705415,-1.7850351000000002,53.64579000000001
314,Peterhead,0.7932371698731701,0.2067631383650965,-1.784066,57.50812
315,Swindon,0.6719241424960761,0.3280751509088343,-1.7797176,51.55577
316,Bradford,0.6661123155801751,0.3338871630804737,-1.759398,53.79598000000001
317,Ashbourne,0.6568098487178425,0.3431894322437128,-1.732179,53.016630000000006
318,Marlborough,0.8219495186131597,0.17805032004441812,-1.727062,51.42007
319,Stratford-upon-Avon,0.6242157767306704,0.3757841525776225,-1.708298,52.19173
320,Alnwick,0.7065116002394591,0.293488085050348,-1.7062990000000002,55.41274
321,Otley,0.6630823692307288,0.3369170545396562,-1.691786,53.90583
322,Bishop Auckland,0.8984233900720542,0.10157632653493916,-1.6787880000000002,54.66382
323,Burton upon Trent,0.6534989298999017,0.34650114525578285,-1.6371359,52.81403
324,Newcastle,0.6474415684845092,0.3525586778644037,-1.61778,54.97825
325,Durham,0.8126521143178257,0.18734817844868185,-1.584852,54.77525
326,Ashington,0.7100288186626472,0.28997086231104946,-1.5659829,55.18298000000001
327,Darlington,0.8777162254006701,0.12228415647832812,-1.559458,54.52361
328,Leeds,0.6878028838912913,0.3121967312106971,-1.5490774,53.80076
329,Harrogate,0.7502268662836838,0.24977267315276644,-1.5418120000000002,53.99211999999999
330,Leamington Spa,0.6839654581053587,0.3160340257059691,-1.5200789,52.28519
331,Coventry,0.7032601665837667,0.2967399914613781,-1.519693,52.40682
332,Blyth,0.6558758051063603,0.34412430051880705,-1.510277,55.12696
