placename,bottoms,jeans,joggers,kecks,pants,slacks,strides,trackies,trens,trousers,longitude,latitude
Livingston,0.00000000,0.01470588,0.00000000,0.000000000,0.110294118,0.00000000,0,0.00000000,0.007352941,0.8676471, -3.5180680,55.90071
Rhyl,0.00000000,0.00000000,0.00000000,0.000000000,0.414285714,0.00000000,0,0.00000000,0.000000000,0.5857143, -3.4916340,53.31914
Tiverton,0.00000000,0.00000000,0.00000000,0.000000000,0.038461538,0.00000000,0,0.00000000,0.000000000,0.9615385, -3.4912070,50.90205
Tiverton,0.00000000,0.00000000,0.00000000,0.000000000,0.038461538,0.00000000,0,0.00000000,0.000000000,0.9615385, -3.4912070,50.90205
Minehead,0.00000000,0.00000000,0.00000000,0.000000000,0.052238806,0.00000000,0,0.00000000,0.000000000,0.9477612, -3.4811520,51.20428
Dunfermline,0.00000000,0.01492537,0.00000000,0.000000000,0.111940299,0.00000000,0,0.00000000,0.007462687,0.8656716, -3.4521510,56.07174
Perth,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -3.4308381,56.39499
Prestatyn,0.00000000,0.00000000,0.00000000,0.000000000,0.485714286,0.00000000,0,0.00000000,0.000000000,0.5142857, -3.4076130,53.33651
Builth Wells,0.00000000,0.00000000,0.00000000,0.000000000,0.042857143,0.00000000,0,0.00000000,0.000000000,0.9571429, -3.4045920,52.15002
Braemar,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -3.3979439,57.00647
Brecon,0.00000000,0.00000000,0.00000000,0.000000000,0.057971014,0.00000000,0,0.00000000,0.000000000,0.9420290, -3.3914630,51.94895
