index,placename,longitude,latitude,'ee,deesel,theesen,you,yoursel,yourself,yourselfs,yoursels,yourselves,yoursen,yoursens,yous
128,Saltash,-4.21643,50.409209999999995,0.9624396981207529,0.01,0.01,0.01,0.01,0.49885809494098315,0.6249754928685511,0.027291334748601636,0.3675586874237484,0.01,0.01,0.01
129,Bideford,-4.206666,51.01668,0.01,0.01,0.01,0.01,0.01,0.6092501264599217,0.01,0.027448744880718044,0.3952580518700764,0.01,0.01,0.01
130,Invergordon,-4.1728819999999995,57.688109999999995,0.01,0.01,0.01,0.01,0.4972709422295907,0.26766067821160805,0.01,0.49200735841835147,0.2619617569459969,0.07702985981304467,0.01,0.01
131,Llanelli,-4.160248,51.680890000000005,0.01,0.01,0.01,0.01,0.01,0.5985419760739176,0.01,0.01,0.4365751357217992,0.01,0.01,0.01
132,Plymouth,-4.1426565,50.37546,0.9966168612517974,0.01,0.01,0.01,0.01,0.5442465883376953,0.6471689761739264,0.028260476401411834,0.37284142060153463,0.01,0.01,0.01
133,Tavistock,-4.141654,50.551120000000004,0.9680120800086589,0.01,0.01,0.01,0.01,0.5017464086902105,0.6285940074868134,0.027449347494487773,0.3722801975157354,0.01,0.01,0.01
134,Porthmadog,-4.1333839999999995,52.92784,0.01,0.01,0.01,0.01,0.01,0.5174189428543615,0.14405083439492475,0.01,0.4453293427398689,0.01,0.01,0.4978576227742644
135,Bangor,-4.129263,53.22739,0.01,0.01,0.01,0.01,0.01,0.5266345046845569,0.14661647175588877,0.01,0.4612387162396841,0.01,0.01,0.5067247850006804
136,Tywyn,-4.087249,52.58701,0.01,0.01,0.01,0.01,0.01,0.5422831638993735,0.13636279946320523,0.01,0.3976563001839041,0.01,0.01,0.47128690193788075
137,Aberystwyth,-4.08292,52.4153,0.01,0.01,0.01,0.01,0.01,0.615511851116935,0.14112013238323276,0.01,0.40392404945485216,0.01,0.01,0.01
138,Lampeter,-4.0785089999999995,52.1129,0.01,0.01,0.01,0.01,0.01,0.5315699989079058,0.01,0.01,0.43889907655765537,0.01,0.06430303827377461,0.01
139,Barnstaple,-4.058338,51.07816,0.01,0.01,0.01,0.01,0.01,0.5705179421063455,0.01,0.01,0.4585524046257924,0.01,0.01,0.01
140,Tain,-4.05523,57.8115,0.01,0.01,0.01,0.01,0.4899609403043594,0.26372600214897135,0.01,0.4847747324355416,0.25152629854238845,0.07589750242853924,0.01,0.01
141,Okehampton,-4.004263,50.73831,0.95630068364022,0.01,0.01,0.01,0.01,0.5222301615913554,0.2069963462676711,0.02711725433655933,0.3850752128338268,0.01,0.01,0.01
142,Llandeilo,-3.9914300000000003,51.88469,0.01,0.01,0.01,0.01,0.01,0.5373196734127954,0.01,0.01,0.47147628441886086,0.01,0.01,0.01
143,Motherwell,-3.9810968,55.78321,0.01,0.01,0.01,0.01,0.5458510210042214,0.13496867455246447,0.551109424263911,0.7693230481038871,0.19384689180668654,0.01,0.01,0.32981862269302087
144,Golspie,-3.976086,57.97341,0.01,0.01,0.01,0.01,0.6262894642391951,0.22754660642778732,0.01,0.46474517135617743,0.22262702295658873,0.01,0.01,0.01
145,Airdrie,-3.9625660000000003,55.86626999999999,0.01,0.01,0.01,0.01,0.5846068550877273,0.14775810281958052,0.654117243499589,0.6175389406885694,0.23642571489882225,0.01,0.01,0.32763918349332216
146,Swansea,-3.9436459999999998,51.62144,0.01,0.01,0.01,0.01,0.01,0.6654025461938587,0.01,0.01,0.40599694630126887,0.01,0.01,0.01
147,Stirling,-3.9369029,56.116519999999994,0.01,0.01,0.01,0.01,0.5441130451272796,0.13453893769847192,0.6206994652408777,0.6126576571213561,0.27010518964812563,0.01,0.01,0.3287684885209678
148,Tregaron,-3.934385,52.22,0.01,0.01,0.01,0.01,0.01,0.6018923890906318,0.13799756003852062,0.01,0.36235706639206733,0.01,0.06424394683872231,0.01
149,Tregaron,-3.934385,52.22,0.01,0.01,0.01,0.01,0.01,0.6018923890906318,0.13799756003852062,0.01,0.36235706639206733,0.01,0.06424394683872231,0.01
150,Castle Douglas,-3.9314139999999997,54.940419999999996,0.01,0.01,0.01,0.01,0.8637683813488933,0.33209378115148647,0.3451683526783959,0.535836586569247,0.05591734062240386,0.01,0.01,0.01
151,Dolgellau,-3.8844,52.74215,0.01,0.01,0.01,0.01,0.01,0.5171230188201118,0.27800803048173345,0.01,0.40640641658718474,0.01,0.01,0.4804151024882316
152,Aberfeldy,-3.866969,56.62175,0.01,0.01,0.01,0.01,0.6129201535203985,0.18457123043434698,0.18766742972244618,0.3510205744716225,0.3660304496930874,0.01,0.01,0.3202972465525457
153,Machynlleth,-3.853485,52.59027,0.01,0.01,0.01,0.01,0.01,0.44938692082048015,0.1401237953045011,0.01,0.5132505476565182,0.01,0.01,0.01
154,Brora,-3.8525480000000005,58.012159999999994,0.01,0.01,0.01,0.01,0.6491396407789027,0.23584864633868147,0.01,0.48170140296765074,0.24709200290772068,0.01,0.01,0.01
155,Llandudno,-3.827609,53.324059999999996,0.01,0.01,0.01,0.01,0.01,0.522942748158214,0.14558867674500472,0.01,0.4548654169737048,0.01,0.01,0.5031725974485061
156,Llandudno,-3.827609,53.324059999999996,0.01,0.01,0.01,0.01,0.01,0.522942748158214,0.14558867674500472,0.01,0.4548654169737048,0.01,0.01,0.5031725974485061
