,placename,outside,outside_of,longitude,latitude
348,Middlesbrough,0.01,0.9627583084774016,-1.234956,54.57423000000001
349,Hartlepool,0.01,0.9807024964171296,-1.212926,54.69174
350,Loughborough,0.01,0.7287043522109512,-1.206166,52.7721
351,Mansfield,0.01,0.60417366672505,-1.198674,53.1472
352,Nottingham,0.01,0.7237088546409276,-1.1581086,52.95478000000001
353,Bicester,0.01,0.5438288281682785,-1.1535898999999998,51.8996
354,Leicester,0.01,0.7659611615623982,-1.1397592,52.63688000000001
355,Doncaster,0.01,0.5027465332151659,-1.128462,53.52282
356,Worksop,0.01,0.5701253465854021,-1.122745,53.3093
357,Basingstoke,0.01,0.7065433698674958,-1.0923964,51.26654
358,Portsmouth,0.01,0.6056704667616356,-1.0879769,50.81977
359,York,0.01,0.5153381998589462,-1.0872979,53.95997
360,Selby,0.01,0.5341979613082929,-1.067189,53.78352
361,Helmsley,0.01,0.5728033619813674,-1.0562636,54.24651
362,Towcester,0.01,0.6018205496687062,-0.989688,52.13511
363,Reading,0.01,0.7344103877368401,-0.9781303,51.45426
364,Retford,0.01,0.5760855506088011,-0.945503,53.32136
365,Petersfield,0.01,0.6033377317781141,-0.93899,51.00759
366,Northampton,0.01,0.5900957285326317,-0.902656,52.24048
367,Melton Mowbray,0.01,0.7599515546340133,-0.887126,52.7664
368,Aylesbury,0.01,0.610292607951355,-0.8084,51.81561
369,Newark-on-Trent,0.01,0.7035505796780133,-0.80657,53.07004000000001
370,Malton,0.01,0.5202645873542358,-0.7978970000000001,54.13684
371,Chichester,0.01,0.5583474780677443,-0.774936,50.83761
372,Gainsborough,0.01,0.5108552236829992,-0.774465,53.40057
373,Milton Keynes,0.01,0.6398950715841024,-0.7594171,52.04062
374,Aldershot,0.01,0.6405899517886605,-0.7557509,51.24837
375,High Wycombe,0.01,0.704794426042621,-0.748229,51.62861
376,Midhurst,0.01,0.5734703011986791,-0.737274,50.9869
377,Kettering,0.01,0.5847981443468738,-0.7302489999999999,52.39632
378,Wellingborough,0.01,0.6269824210385275,-0.693964,52.30242
379,Corby,0.01,0.6355393821278323,-0.6842333,52.4923
380,Bognor Regis,0.01,0.5547433606742127,-0.673061,50.783
381,Scunthorpe,0.01,0.5315144117071245,-0.654413,53.58865
382,Grantham,0.01,0.682653150868914,-0.643582,52.91252
383,Whitby,0.01,0.7554715480315896,-0.613347,54.48634000000001
384,Slough,0.01,0.6397143325409982,-0.5950406,51.51054
385,Guildford,0.01,0.6793750116599215,-0.570409,51.23622
386,Woking,0.01,0.6251295421403212,-0.5600349,51.31677
387,Lincoln,0.01,0.7544949632841194,-0.540579,53.23069
388,Bedford,0.01,0.7405518707258025,-0.4667782,52.13864
389,Heathrow,0.01,0.6539919070625811,-0.4542955,51.47002
390,Driffield,0.01,0.5459059098675278,-0.443377,54.006
391,Beverley,0.01,0.4986860463632796,-0.435093,53.84196
392,Luton,0.01,0.6827315746060639,-0.4200255,51.87867
393,Scarborough,0.01,0.6216443426683544,-0.399752,54.28311
394,Worthing,0.01,0.5121363246972687,-0.372882,50.81787
395,Dorking,0.01,0.637489986991093,-0.332378,51.2322
396,Hull,0.01,0.5085276179628367,-0.3274198,53.76762
397,Horsham,0.01,0.5095857310015954,-0.325858,51.06288
398,Biggleswade,0.01,0.7646347070615842,-0.26421999999999995,52.08694000000001
399,Peterborough,0.01,0.7770988170244579,-0.2405299,52.5695
400,Welwyn Garden City,0.01,0.6710723540487417,-0.208661,51.80317
401,Bridlington,0.01,0.5167994999938619,-0.198802,54.08535
402,Stevenage,0.01,0.7490509251313945,-0.196612,51.90376
403,Crawley,0.01,0.5785968649455918,-0.1872275,51.10914
404,Huntingdon,0.01,0.8410781436130724,-0.182552,52.33146
405,Hove,0.01,0.5127514313585292,-0.168749,50.82793
406,Spalding,0.01,0.654837830575006,-0.1537024,52.7901
407,Brighton,0.01,0.5085173594361185,-0.137163,50.82253
408,London,0.01,0.7952244189103645,-0.12775830000000002,51.50735
409,Grimsby,0.01,0.5124008867021119,-0.08078400000000001,53.56746999999999
410,Boston,0.01,0.6752506789772748,-0.026577,52.97894
411,Royston,0.01,0.8185425900637803,-0.024066,52.04814
412,Louth_Lincs,0.01,0.5692620105736785,-0.007711,53.36596
413,Lewes,0.01,0.49215649410700896,0.00878,50.87387
414,Chatteris,0.01,0.8740715902487146,0.054012,52.4561
415,Uckfield,0.01,0.5124975328222487,0.095913,50.96641
416,Cambridge,0.01,0.920336195942618,0.121817,52.20534
417,Bishop's Stortford,0.01,0.7374542005986855,0.1536502,51.87216
418,Wisbech,0.01,0.8061295027732689,0.158797,52.66631999999999
