,placename,adj_fuck_off,fuck_off,fuck_off_adj,longitude,latitude
161,Dunvegan,0.9178332751463228,0.059869348021007775,0.10578667134749288,-6.5813982000000015,57.4366037
162,Durham,0.7985870321216888,0.20415098377371416,0.13580246913580402,-1.584852,54.77525
163,Eastbourne,0.4633407170844934,0.6034838980481777,0.22869864399919,0.29047199999999995,50.768035
164,Edinburgh,0.6382733363846279,0.38074884711664,0.19963404631207027,-3.188267,55.953252
165,Elgin,0.9308483191497549,0.06635015056067782,0.07247073913740583,-3.318485,57.64945400000001
166,Ely,0.2900743193808005,0.454241007925219,0.7573192239858891,0.262363,52.399539
167,Enniskillen,0.928119066233114,0.09177721172825336,0.04325772801224925,-7.631533599999999,54.3438243
168,Ennistymon,0.8209342547951174,0.2445089205334053,0.039095611258151336,-9.2934951,52.940372
169,Evesham,0.5961497549775886,0.4340676190300248,0.2070592546783012,-1.94677,52.092149
170,Exeter,0.09562134734609597,0.8573257467994304,0.5794871794871801,-3.533899,50.718412
171,Falkirk,0.8608799629986719,0.06061367063952788,0.2122439396607388,-3.7839131,56.0018775
172,Falmouth,0.14210208020575807,0.7904868139627704,0.582112088107292,-5.0662699999999985,50.152571
173,Faversham,0.519830239640058,0.4509490676673346,0.3282498184458956,0.889358,51.315994
174,Felixstowe,0.2213867477696562,0.5651681472932716,0.7370137433030499,1.351255,51.961726
175,Fermanagh,0.928119066233114,0.09177721172825336,0.04325772801224925,-7.6318728,54.34382900000001
176,Fishguard,0.7228708059133152,0.28264873663679896,0.1725849560901112,-4.975989,51.993927
177,Folkestone,0.5746808135281155,0.3771907770683777,0.324432960091875,1.169456,51.081397
178,Forfar,0.8788667680494591,0.16012452242818798,0.043823928640683886,-2.889062,56.643558
179,Fort William,0.9428881426379828,0.06037632942459752,0.05782639288684115,-5.1052179,56.81981700000001
180,Fortuneswell,0.2507015786427908,0.7555506581451727,0.4244131455399057,-2.442219,50.559189
181,Fraserburgh,0.9449312641996226,0.04525746799431153,0.07440329218107086,-2.007631,57.693352
182,Gainsborough,0.6806332351172024,0.4123730808848785,0.07696892294593516,-0.774465,53.400575
183,Galashiels,0.6221068315180517,0.3808841229893857,0.22995522995522866,-2.814449,55.623728
184,Galway,0.8413003109471836,0.2450029399724072,0.01,-9.0567905,53.27066800000001
185,Gillingham,0.4884141656517829,0.5782086581725167,0.2155460181211248,0.551438,51.386322
186,Girvan,0.8240905099007626,0.1802321846464464,0.1200053099694675,-4.8542179,55.240164
187,Glasgow,0.8748294932847277,0.1523097834676798,0.06200274348422431,-4.251806,55.864237
188,Glastonbury,0.2777897682032484,0.7300930302334705,0.4077054606491296,-2.718454,51.147427
189,Gloucester,0.3765196310166864,0.7767924699615613,0.15830487698099907,-2.238156,51.8642449
190,Golspie,0.9308483191497549,0.06635015056067782,0.07247073913740583,-3.976086,57.973406
191,Grantham,0.469951935699557,0.3881029354713572,0.5072951739618409,-0.643582,52.912524
192,Grantown-on-Spey,0.9308483191497549,0.06635015056067782,0.07247073913740583,-3.609628,57.33041
193,Great Yarmouth,0.3361007685459247,0.4098523190007259,0.7304615058549243,1.728047,52.59823299999999
194,Greenock,0.9082604630080252,0.12352910932492472,0.03781793842034836,-4.7719830000000005,55.956476
195,Grimsby,0.7417789463808202,0.3041094598524095,0.10790532705818076,-0.08078400000000001,53.567471
196,Guernsey,0.2855933823194792,0.7473935452882822,0.3696007696007679,-2.585278,49.465691
197,Guildford,0.3705920269485184,0.6777970189869508,0.3032742887815349,-0.570409,51.23622
198,Halifax,0.7849092514113201,0.2867955849540036,0.049922686105589024,-1.85754,53.72702
