,placename,past_participle,past_participle_was,past_participle_were,present_participle,present_participle_was,present_participle_were,longitude,latitude
187,Newtown,0.7393506271629195,0.07744955208079315,0.01,0.2727989576646854,0.01,0.01,-3.313106,52.51211
188,Ruthin,0.7128586250934692,0.06826433006673928,0.01,0.2930260836643044,0.4438281618175455,0.01,-3.3103108,53.114869999999996
189,Sidmouth,0.8217709474089129,0.10928464303678566,0.01,0.19122573675360396,0.01,0.01,-3.2375599999999998,50.67865
190,Keswick,0.8319423386190379,0.3838803915174491,0.01,0.17524145317722967,0.01,0.01,-3.134706,54.60128
191,Peebles,0.18780962294366105,0.01,0.01,0.8157066810215922,0.01,0.01,-3.1936419999999996,55.65306999999999
192,Edinburgh,0.17897888018088665,0.01,0.01,0.8243720490854592,0.01,0.01,-3.1882669999999997,55.95325
193,Cardiff,0.8669020398633347,0.2062175453821008,0.01,0.14482048018705798,0.01,0.01,-3.17909,51.48158
194,Llangollen,0.7165494991149691,0.1240896602192768,0.01,0.28872762207082137,0.40339138860544976,0.01,-3.1716599999999997,52.96921
195,Kirkcaldy,0.17900827606665404,0.01,0.01,0.8243431912454686,0.01,0.01,-3.158137,56.11682
196,Welshpool,0.7338049720344458,0.07161543621234616,0.01,0.27836827413468096,0.01,0.01,-3.146407,52.66035
197,Mold,0.7217790385039352,0.1297257745377148,0.01,0.28322638050541915,0.42171330178690414,0.01,-3.1419029999999997,53.1672
198,Taunton,0.8304189178900645,0.12197659259645348,0.01,0.18246220270412755,0.01,0.01,-3.106849,51.01534
199,Wick,0.2332494161856437,0.01,0.01,0.7711176185129208,0.01,0.01,-3.093716,58.43894
200,John o' Groats,0.2332494161856437,0.01,0.01,0.7711176185129208,0.01,0.01,-3.0688997000000002,58.63734
201,Dalkeith,0.18398281651495296,0.01,0.01,0.8194618999434558,0.01,0.01,-3.066606,55.893119999999996
202,Oswestry,0.7648948475610301,0.11780527006444567,0.01,0.24427520266774705,0.19148102828375094,0.01,-3.056412,52.85715
203,Stanhope,0.6539738901695811,0.01,0.01,0.3582704534565588,0.01,0.01,-2.011302,54.74946
204,Reeth,0.8988630214310458,0.12484491025567475,0.01,0.11523687785302608,0.01,0.01,-1.9428115000000001,54.38946
205,Cupar,0.17743900831276438,0.01,0.01,0.8258831393136891,0.01,0.01,-3.010137,56.32023
206,Market Weighton,0.9727458916830356,0.4881086590267322,0.01,0.03479552555491222,0.01,0.01,-0.6677465,53.86484
207,Bridgwater,0.8430204904782088,0.06399821205745447,0.01,0.17136414339386696,0.01,0.01,-3.003632,51.12789
208,Langholm,0.5510075298459984,0.01,0.01,0.4593089040618643,0.01,0.01,-2.998913,55.153059999999996
209,Newport,0.8549232352646869,0.06888257934404013,0.01,0.1595774422951109,0.01,0.01,-2.997664,51.58415
210,Axminster,0.8183435932389613,0.12258404517375382,0.01,0.1942982334438934,0.01,0.01,-2.9949369999999997,50.78273
211,Wrexham,0.7294711211374667,0.12354610221925212,0.01,0.2760836951354191,0.4016243871000052,0.01,-2.9924939999999998,53.04304000000001
212,Horncastle,0.8901589612371197,0.5752768487670581,0.01,0.11393050563498655,0.01,0.01,-0.11245,53.20731
213,Weston-super-Mare,0.8536917374235314,0.06390154943926825,0.01,0.16089479035827495,0.01,0.01,-2.977255,51.347409999999996
214,Dundee,0.17405721211028052,0.01,0.01,0.8292016675885143,0.01,0.01,-2.9707209999999997,56.462019999999995
215,Kirkwall,0.2332494161856437,0.01,0.01,0.7711176185129208,0.01,0.01,-2.9622491,58.984669999999994
216,Ambleside,0.8906587415660263,0.6785794430944808,0.01,0.1111816113897208,0.01,0.01,-2.961333,54.42874000000001
217,Orkney Islands,0.2332494161856437,0.01,0.01,0.7711176185129208,0.01,0.01,-2.9605206,58.980940000000004
218,Lyme Regis,0.8276119061405831,0.13905281464722968,0.01,0.18484334447566605,0.01,0.01,-2.936639,50.725159999999995
219,Carlisle,0.6494279213760723,0.01,0.01,0.3627312095689638,0.01,0.01,-2.932931,54.892469999999996
220,Chester,0.7539652460950914,0.11614775097800673,0.01,0.2525333545450789,0.3775737838883992,0.01,-2.893075,53.19339
221,Forfar,0.1809242116756135,0.01,0.01,0.8224632386265888,0.01,0.01,-2.889062,56.64356
222,Hunstanton,0.6408527556688627,0.38519106238569056,0.01,0.3627246733915299,0.01,0.01,0.49103199999999997,52.93891
223,Selkirk,0.20574009527685408,0.01,0.01,0.7981119079903536,0.01,0.01,-2.838524,55.55066
224,Galashiels,0.1997122671884179,0.01,0.01,0.8040269019197246,0.01,0.01,-2.814449,55.62373
225,Holt,0.5319930418090935,0.1219656041055439,0.01,0.4739677001843078,0.09912162366166853,0.01,1.086747,52.90936
226,St Andrews,0.17873639868452218,0.01,0.01,0.824610064603331,0.01,0.01,-2.7967214,56.33978000000001
227,Hawick,0.2955507221798732,0.01,0.01,0.7099827777890825,0.01,0.01,-2.780914,55.42706
228,Bridport,0.8300865395271357,0.12227404337373975,0.01,0.18278185877787045,0.01,0.01,-2.758301,50.733579999999996
229,Shrewsbury,0.7076346783377507,0.01,0.01,0.3056142681053656,0.01,0.01,-2.7553267999999997,52.7073
230,Penrith,0.7755555376256152,0.01,0.01,0.23896511346125746,0.01,0.01,-2.752708,54.6641
231,Banham,0.4688355099484902,0.1621209682800964,0.01,0.5316722809964339,0.35134919669509473,0.01,1.0402849,52.45125
232,Street,0.8299521026780318,0.13339424386969975,0.01,0.1826707437614961,0.01,0.01,-2.7429189999999997,51.12468
233,Glastonbury,0.8364620911587154,0.08660556546757299,0.01,0.1773055286811782,0.01,0.01,-2.718454,51.14743
234,Hereford,0.8679344525285853,0.01,0.01,0.14679329585513853,0.11319444468003036,0.01,-2.715974,52.0564
235,Ludlow,0.7930203509765705,0.01,0.01,0.22182725622987115,0.01,0.01,-2.7139129,52.36775
236,St Neots,0.5321800368430111,0.01,0.01,0.4701725242532263,0.5658849002248829,0.01,-0.26510300000000003,52.23008
