,placename,what_for,why,why_for_continuous,why_for_discontinuous,longitude,latitude
190,Barrow-in-Furness,0.5806581175642681,0.9316615,0.2810090797183197,0.2109812034273236,-3.2188939999999997,54.10896999999999
191,Peebles,0.5609879441961668,0.9316615,0.01,0.04861125574292946,-3.1936419999999996,55.65306999999999
192,Edinburgh,0.6052723433734144,0.9316615,0.01,0.15678673790971548,-3.1882669999999997,55.95325
193,Cardiff,0.6590614850776977,0.9316615,0.07857665457999076,0.4588517830112093,-3.17909,51.48158
194,Llangollen,0.5541723634275126,0.9316615,0.6036071843566366,0.1879888247732961,-3.1716599999999997,52.96921
195,Kirkcaldy,0.6019570887299623,0.9316615,0.01,0.15183800330395697,-3.158137,56.11682
196,Welshpool,0.8201150199570623,0.9316615,0.6873711170751936,0.25230440029813606,-3.146407,52.66035
197,Mold,0.4932124049645285,0.9316615,0.1445001534702176,0.22180278687173416,-3.1419029999999997,53.1672
198,Taunton,0.3613838509100144,0.9316615,0.25349092698376874,0.47368685325574467,-3.106849,51.01534
199,Wick,0.5016145939832642,0.9316615,0.01,0.1552022532578717,-3.093716,58.43894
200,John o' Groats,0.5016145939832642,0.9316615,0.01,0.1552022532578717,-3.0688997000000002,58.63734
201,Dalkeith,0.6007625620080875,0.9316615,0.01,0.14198803179704061,-3.066606,55.893119999999996
202,Oswestry,0.5715806145216985,0.9316615,0.6970053173636697,0.20157147886637405,-3.056412,52.85715
203,Blackpool,0.5444707363454233,0.9316615,0.11886198842263669,0.20624680394454176,-3.0356748,53.81751
204,Birkenhead,0.47374924164288346,0.9316615,0.11357779628663905,0.24066228362095246,-3.023009,53.389990000000004
205,Cupar,0.5339683516515661,0.9316615,0.01,0.20055328317428014,-3.010137,56.32023
206,Southport,0.5283968000072004,0.9316615,0.1865207403216828,0.1742713769027885,-3.010113,53.64571
207,Bridgwater,0.45495407949017025,0.9316615,0.22192097790898963,0.3258306254564211,-3.003632,51.12789
208,Langholm,0.766800370030458,0.9316615,0.01,0.5574482383032126,-2.998913,55.153059999999996
209,Newport,0.6126842030802307,0.9316615,0.08060577583908592,0.4545626710471275,-2.997664,51.58415
210,Axminster,0.45679916903467216,0.9316615,0.13468453338780584,0.25167881537013537,-2.9949369999999997,50.78273
211,Wrexham,0.5777416947766246,0.9316615,0.5683496894954924,0.17700815863779132,-2.9924939999999998,53.043040000000005
212,Liverpool,0.48210333457745624,0.9316615,0.11386293591396615,0.2336675473082677,-2.9915726,53.40837
213,Weston-super-Mare,0.6547809335871833,0.9316615,0.07587403222084704,0.4734516634554711,-2.977255,51.347409999999996
214,Dundee,0.5332426914343686,0.9316615,0.01,0.16142677897875116,-2.9707209999999997,56.462019999999995
215,Kirkwall,0.5000949264819009,0.9316615,0.01,0.11627138975347945,-2.9622491,58.984669999999994
216,Ambleside,0.6594476600692528,0.9316615,0.34811384763661607,0.33686831653290134,-2.961333,54.428740000000005
217,Orkney Islands,0.5000949264819009,0.9316615,0.01,0.11627138975347945,-2.9605206,58.980940000000004
218,Lyme Regis,0.5819974950659325,0.9316615,0.3466482827942145,0.26604663560049063,-2.936639,50.725159999999995
219,Carlisle,0.7304504184218691,0.9316615,0.01,0.519626273104656,-2.932931,54.892469999999996
220,Chester,0.5423300387046909,0.9316615,0.11338059303979607,0.12106807631360648,-2.893075,53.19339
221,Forfar,0.5730361539108446,0.9316615,0.01,0.20682827001340015,-2.889062,56.64356
222,Morecambe,0.5487957274926499,0.9316615,0.3192144836931687,0.23966574577433833,-2.864968,54.074169999999995
223,Selkirk,0.5598642959141111,0.9316615,0.01,0.11020051841459698,-2.838524,55.55066
224,Galashiels,0.5251923632418787,0.9316615,0.01,0.11356122335032579,-2.814449,55.62373
225,Lancaster,0.5883312712020056,0.9316615,0.3447949236320882,0.2646241970533809,-2.8007399,54.046569999999996
226,St Andrews,0.5230536344466966,0.9316615,0.01,0.1728445347784009,-2.7967214,56.339780000000005
227,Hawick,0.5485026507692702,0.9316615,0.01,0.5807240245439333,-2.780914,55.42706
228,Bridport,0.5016804096773823,0.9316615,0.4026097531308886,0.255257649706118,-2.758301,50.733579999999996
229,Shrewsbury,0.8086892467000039,0.9316615,0.44894602846203363,0.4044815898343059,-2.7553267999999997,52.7073
