,placename,'ee,deesel,thasel,thaself,thaseln,thasels,thasen,theesel,theeself,theeseln,theesels,theesen,thysen,yesel,yeself,you,yoursel,yourself,yourselfs,yourseln,yoursels,yourselt,yourselve,yourselves,yoursen,longitude,latitude
71,Islay,0.01,0.01,0.20744681354232686,0.01,0.01,0.01,0.18224299520176437,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428565306122,0.051020269471042434,0.01,0.01,0.5799999969840001,0.9666665313333388,0.01,0.01,0.01,-6.177067,55.73625
72,Mull,0.01,0.01,0.20744681354232686,0.01,0.01,0.01,0.18224299520176437,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.785714285867347,0.11224488671386845,0.01,0.01,0.5799999969840001,0.9666665313333388,0.01,0.01,0.01,-6.0008870000000005,56.4392
73,Broadford,0.01,0.01,0.2146001437855325,0.01,0.01,0.01,0.18852722925158344,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5172413782019705,0.33497525183471455,0.01,0.01,0.59999999768,1.0,0.01,0.01,0.01,-5.9096592,57.24139
74,Kyle of Lochalsh,0.01,0.01,0.2146001437855325,0.01,0.01,0.01,0.18852722925158344,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5172413782019705,0.33497525183471455,0.01,0.01,0.59999999768,1.0,0.01,0.01,0.01,-5.7143293,57.28261
75,Campbeltown,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9642857135969387,0.08163257809245544,0.01,0.01,0.19333333619466667,0.9666665313333388,0.01,0.01,0.01,-5.605373999999999,55.424119999999995
76,Penzance,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02380952355442177,0.8367346601416048,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.01,-5.537592,50.1188
77,Oban,0.01,0.01,0.20744681354232686,0.01,0.01,0.01,0.18224299520176437,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428565306122,0.051020269471042434,0.01,0.01,0.5799999969840001,0.9666665313333388,0.01,0.01,0.01,-5.471047,56.41516
78,Lochgilphead,0.01,0.01,0.20744681354232686,0.01,0.01,0.01,0.18224299520176437,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.785714285867347,0.11224488671386845,0.01,0.01,0.5799999969840001,0.9666665313333388,0.01,0.01,0.01,-5.4323449,56.03829
79,Helston,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02380952355442177,0.8367346601416048,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.01,-5.274996,50.10159
80,Redruth,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02380952355442177,0.8367346601416048,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.01,-5.226666000000001,50.23302
