placename,gone,went,longitude,latitude
Ashbourne,0.9897119,0.010288066, -1.7321790,53.01663
Marlborough,1.0000000,0.000000000, -1.7270620,51.42007
Stratford-upon-Avon,0.9890710,0.010928962, -1.7082980,52.19173
Alnwick,0.8008753,0.199124726, -1.7062990,55.41274
Otley,0.9792746,0.020725389, -1.6917860,53.90583
Bishop Auckland,0.7863436,0.213656388, -1.6787880,54.66382
Burton upon Trent,0.9703704,0.029629630, -1.6371359,52.81403
Newcastle,0.7891304,0.210869565, -1.6177800,54.97825
Durham,0.7863436,0.213656388, -1.5848520,54.77525
Ashington,0.7863436,0.213656388, -1.5659829,55.18298
Darlington,0.7939394,0.206060606, -1.5594580,54.52361
Leeds,0.9816514,0.018348624, -1.5490774,53.80076
Harrogate,0.9813084,0.018691589, -1.5418120,53.99212
Leamington Spa,0.9888268,0.011173184, -1.5200789,52.28519
Coventry,0.9808612,0.019138756, -1.5196930,52.40682
Blyth,0.7918455,0.208154506, -1.5102770,55.12696
Wakefield,0.9891892,0.010810811, -1.5059240,53.68330
Andover,0.9649123,0.035087719, -1.4919233,51.21120
Witney,1.0000000,0.000000000, -1.4850544,51.78594
Barnsley,1.0000000,0.000000000, -1.4797260,53.55263
Derby,0.9879518,0.012048193, -1.4746186,52.92253
Sheffield,1.0000000,0.000000000, -1.4700850,53.38113
Nuneaton,0.9903846,0.009615385, -1.4653820,52.52049
Northallerton,0.9126638,0.087336245, -1.4299590,54.33796
South Shields,0.7918455,0.208154506, -1.4274060,54.99942
Chesterfield,0.9900000,0.010000000, -1.4216290,53.23505
Southampton,0.9607843,0.039215686, -1.4043509,50.90970
Wetherby,0.9816514,0.018348624, -1.3848160,53.92706
Sunderland,0.7891304,0.210869565, -1.3838010,54.90687
Rotherham,1.0000000,0.000000000, -1.3635009,53.43260
Castleford,0.9908257,0.009174312, -1.3459680,53.72347
Thirsk,0.9619772,0.038022814, -1.3413770,54.23385
Banbury,1.0000000,0.000000000, -1.3397750,52.06290
Stockton,0.7908497,0.209150327, -1.3289821,54.57046
Newbury,1.0000000,0.000000000, -1.3231139,51.40141
Isle of Wight,0.9639640,0.036036036, -1.3047340,50.69385
Isle of Wight,0.9639640,0.036036036, -1.3047340,50.69385
Abingdon,1.0000000,0.000000000, -1.2879529,51.67078
Shetland Islands,0.7506394,0.249360614, -1.2659409,60.52965
Rugby,1.0000000,0.000000000, -1.2650320,52.37088
Oxford,1.0000000,0.000000000, -1.2577263,51.75202
Middlesbrough,0.7940798,0.205920206, -1.2349560,54.57423
Hartlepool,0.7935484,0.206451613, -1.2129260,54.69174
Loughborough,0.9876543,0.012345679, -1.2061660,52.77210
Mansfield,0.9902913,0.009708738, -1.1986740,53.14720
Nottingham,0.9875000,0.012500000, -1.1581086,52.95478
Bicester,1.0000000,0.000000000, -1.1535899,51.89960
Leicester,0.9878049,0.012195122, -1.1397592,52.63688
Doncaster,1.0000000,0.000000000, -1.1284620,53.52282
Worksop,0.9902913,0.009708738, -1.1227450,53.30930
Basingstoke,0.9826087,0.017391304, -1.0923964,51.26654
Portsmouth,0.9622642,0.037735849, -1.0879769,50.81977
York,0.9811321,0.018867925, -1.0872979,53.95997
Selby,0.9898990,0.010101010, -1.0671890,53.78352
Helmsley,0.9692938,0.030706244, -1.0562636,54.24651
Towcester,1.0000000,0.000000000, -0.9896880,52.13511
Reading,0.9964664,0.003533569, -0.9781303,51.45426
Retford,0.9893048,0.010695187, -0.9455030,53.32136
Petersfield,0.9642857,0.035714286, -0.9389900,51.00759
Northampton,1.0000000,0.000000000, -0.9026560,52.24048
Melton Mowbray,0.9873418,0.012658228, -0.8871260,52.76640
Aylesbury,0.9805195,0.019480519, -0.8084000,51.81561
Newark-on-Trent,0.9878049,0.012195122, -0.8065700,53.07004
Malton,0.9386503,0.061349693, -0.7978970,54.13684
Chichester,0.9674797,0.032520325, -0.7749360,50.83761
Gainsborough,0.9884393,0.011560694, -0.7744650,53.40057
Milton Keynes,1.0000000,0.000000000, -0.7594171,52.04062
Aldershot,0.9937500,0.006250000, -0.7557509,51.24837
High Wycombe,0.9731801,0.026819923, -0.7482290,51.62861
Midhurst,0.9816514,0.018348624, -0.7372740,50.98690
Kettering,1.0000000,0.000000000, -0.7302490,52.39632
Wellingborough,1.0000000,0.000000000, -0.6939640,52.30242
Corby,1.0000000,0.000000000, -0.6842333,52.49230
Bognor Regis,0.9765101,0.023489933, -0.6730610,50.78300
Scunthorpe,0.9850746,0.014925373, -0.6544130,53.58865
Grantham,0.9878788,0.012121212, -0.6435820,52.91252
Whitby,0.8659966,0.134003350, -0.6133470,54.48634
Slough,0.9682540,0.031746032, -0.5950406,51.51054
Guildford,0.9925651,0.007434944, -0.5704090,51.23622
Woking,0.9925651,0.007434944, -0.5600349,51.31677
Lincoln,0.9751553,0.024844720, -0.5405790,53.23069
Bedford,1.0000000,0.000000000, -0.4667782,52.13864
Heathrow,0.9914894,0.008510638, -0.4542955,51.47002
Driffield,0.9825632,0.017436792, -0.4433770,54.00600
Beverley,0.9852290,0.014771049, -0.4350930,53.84196
Luton,0.9825581,0.017441860, -0.4200255,51.87867
Scarborough,0.9509804,0.049019608, -0.3997520,54.28311
Worthing,0.9967742,0.003225806, -0.3728820,50.81787
Dorking,0.9750000,0.025000000, -0.3323780,51.23220
Hull,0.9851190,0.014880952, -0.3274198,53.76762
Horsham,0.9975186,0.002481390, -0.3258580,51.06288
Biggleswade,1.0000000,0.000000000, -0.2642200,52.08694
Peterborough,1.0000000,0.000000000, -0.2405299,52.56950
Welwyn Garden City,0.9688581,0.031141869, -0.2086610,51.80317
Bridlington,0.9841772,0.015822785, -0.1988020,54.08535
Stevenage,0.9652510,0.034749035, -0.1966120,51.90376
Crawley,0.9975904,0.002409639, -0.1872275,51.10914
Huntingdon,1.0000000,0.000000000, -0.1825520,52.33146
Hove,0.9968354,0.003164557, -0.1687490,50.82793
Spalding,1.0000000,0.000000000, -0.1537024,52.79010
Brighton,0.9968354,0.003164557, -0.1371630,50.82253
London,0.9648415,0.035158501, -0.1277583,51.50735
Grimsby,0.9854015,0.014598540, -0.0807840,53.56747
Boston,0.9832869,0.016713092, -0.0265770,52.97894
Royston,0.9903537,0.009646302, -0.0240660,52.04814
Louth_Lincs,0.9824561,0.017543860, -0.0077110,53.36596
Lewes,0.9966443,0.003355705,  0.0087800,50.87387
Chatteris,1.0000000,0.000000000,  0.0540120,52.45610
Uckfield,0.9968944,0.003105590,  0.0959130,50.96641
Cambridge,1.0000000,0.000000000,  0.1218170,52.20534
Bishop's Stortford,0.9898990,0.010101010,  0.1536502,51.87216
Wisbech,1.0000000,0.000000000,  0.1587970,52.66632
Sevenoaks,0.8965517,0.103448276,  0.1908980,51.27241
Tunbridge Wells,0.9741697,0.025830258,  0.2636950,51.13238
Eastbourne,0.9797688,0.020231214,  0.2904720,50.76803
Brentwood,1.0000000,0.000000000,  0.3071749,51.62047
Skegness,0.9801325,0.019867550,  0.3378810,53.14640
Downham Market,1.0000000,0.000000000,  0.3854720,52.60661
King's Lynn,1.0000000,0.000000000,  0.4022963,52.75168
Bexhill,0.9776358,0.022364217,  0.4662071,50.84991
Chelmsford,1.0000000,0.000000000,  0.4685497,51.73559
Mildenhall,1.0000000,0.000000000,  0.5156095,52.34757
Medway,0.9836066,0.016393443,  0.5417861,51.40474
Braintree,1.0000000,0.000000000,  0.5509269,51.88009
Gillingham,0.9836066,0.016393443,  0.5514380,51.38632
Hastings,0.9786585,0.021341463,  0.5734530,50.85426
Maldon,1.0000000,0.000000000,  0.6714480,51.73180
Southend,0.9866667,0.013333333,  0.7077123,51.54593
Bury St Edmunds,1.0000000,0.000000000,  0.7104932,52.24292
Thetford,1.0000000,0.000000000,  0.7516570,52.41286
Ashford,0.9775281,0.022471910,  0.8750190,51.14647
Faversham,0.9837398,0.016260163,  0.8893580,51.31599
Colchester,1.0000000,0.000000000,  0.8918740,51.89593
New Romney,0.9767442,0.023255814,  0.9394730,50.98512
Canterbury,0.9840000,0.016000000,  1.0789089,51.28023
Ipswich,1.0000000,0.000000000,  1.1482200,52.05674
Clacton,1.0000000,0.000000000,  1.1530350,51.78953
Folkestone,0.9775281,0.022471910,  1.1694560,51.08140
Sheringham,1.0000000,0.000000000,  1.2109589,52.94442
Harwich,1.0000000,0.000000000,  1.2602970,51.93473
Norwich,1.0000000,0.000000000,  1.2973550,52.63089
Cromer,1.0000000,0.000000000,  1.3018660,52.93145
Dover,0.9844961,0.015503876,  1.3134027,51.12788
Felixstowe,1.0000000,0.000000000,  1.3512550,51.96173
Margate,0.9850746,0.014925373,  1.3868339,51.38965
Ramsgate,0.9831933,0.016806723,  1.4198950,51.33555
Great Yarmouth,1.0000000,0.000000000,  1.7280470,52.59823
Lowestoft,1.0000000,0.000000000,  1.7534490,52.48114
