placename,where_is_x,where_is_x_at,where_to_is_x,where_x_to,longitude,latitude
Carlisle,0.9900165,0.0099835193,0.00000000000,0.00000000000, -2.9329310,54.89247
Chester,0.9923175,0.0076824584,0.00000000000,0.00000000000, -2.8930750,53.19339
Forfar,0.9985101,0.0014899429,0.00000000000,0.00000000000, -2.8890620,56.64356
Morecambe,0.9868008,0.0131991607,0.00000000000,0.00000000000, -2.8649680,54.07417
Selkirk,0.9939202,0.0060797973,0.00000000000,0.00000000000, -2.8385240,55.55066
Galashiels,0.9957422,0.0042578356,0.00000000000,0.00000000000, -2.8144490,55.62373
Lancaster,0.9905128,0.0094871660,0.00000000000,0.00000000000, -2.8007399,54.04657
St Andrews,0.9973535,0.0026465399,0.00000000000,0.00000000000, -2.7967214,56.33978
Hawick,0.9917535,0.0082464781,0.00000000000,0.00000000000, -2.7809140,55.42706
Bridport,0.9952153,0.0037214248,0.00000000000,0.00106326422, -2.7583010,50.73358
Shrewsbury,0.9876797,0.0115503080,0.00000000000,0.00077002053, -2.7553268,52.70730
Penrith,0.9898351,0.0101649085,0.00000000000,0.00000000000, -2.7527080,54.66410
Kendal,0.9882249,0.0117751329,0.00000000000,0.00000000000, -2.7462900,54.32801
Street,0.9938473,0.0016780088,0.00000000000,0.00447469003, -2.7429190,51.12468
Glastonbury,0.9940982,0.0016095860,0.00000000000,0.00429222928, -2.7184540,51.14743
Hereford,0.9936252,0.0050998725,0.00000000000,0.00127496813, -2.7159740,52.05640
Ludlow,0.9964689,0.0021186441,0.00000000000,0.00141242938, -2.7139129,52.36775
Preston,0.9873609,0.0126390533,0.00000000000,0.00000000000, -2.7030900,53.76320
Whitchurch,0.9912136,0.0087863811,0.00000000000,0.00000000000, -2.6820450,52.96872
Wells,0.9936822,0.0012635569,0.00000000000,0.00505422765, -2.6445979,51.20935
Yeovil,0.9943396,0.0018867925,0.00000000000,0.00377358491, -2.6333080,50.94206
Wigan,0.9901406,0.0098594265,0.00000000000,0.00000000000, -2.6325074,53.54506
