index,placename,longitude,latitude,oursel,ourself,ourselfs,ourseln,ourselns,oursels,ourselves,oursen,oursens,us,ussel,usself,usselfs,ussels,usselves,ussen,ussens,wesels,weselves
68,Stornoway,-6.384869200000001,58.209430000000005,0.4046639607962383,0.3310475933272687,0.01,0.01,0.01,0.4783083854661757,0.23452770848780022,0.16213079239435316,0.09902155621209008,0.18393803286545812,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01
69,Scilly Isles,-6.327496599999999,49.92773,0.01,0.6116787061909494,0.01,0.01,0.01,0.07197891539992729,0.530540854627738,0.01,0.01,0.5449534525368215,0.01,0.01,0.01,0.01,0.32118546986000107,0.01,0.01,0.01,0.01
70,Portree,-6.1960231,57.41246999999999,0.3072287885436182,0.4373875240344117,0.01,0.01,0.01,0.3868043986770515,0.359833059056617,0.16196429640299956,0.09891986860590847,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
71,Islay,-6.177067,55.73625,0.719986413079855,0.22166916310898915,0.9382941123462073,0.01,0.01,0.39173755954419454,0.2344526062715025,0.1602591261278073,0.09787843402236902,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
72,Mull,-6.0008870000000005,56.4392,0.5282124294489489,0.2640030112183231,0.9386893251430181,0.01,0.01,0.4099210691259765,0.24939228633939847,0.16032662783821777,0.09791966076476084,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
73,Broadford,-5.9096592,57.24139,0.38226713667715057,0.4741317678515463,0.01,0.01,0.01,0.33995248576647025,0.2971120557178238,0.15315738434882398,0.09354103757604267,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
74,Kyle of Lochalsh,-5.7143293,57.28261,0.38226713667715057,0.4741317678515463,0.01,0.01,0.01,0.33995248576647025,0.2971120557178238,0.15315738434882398,0.09354103757604267,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
75,Campbeltown,-5.605373999999999,55.424119999999995,0.8185952767455978,0.28591506957811713,0.9412961045521572,0.01,0.01,0.39299089054676145,0.22179488661316846,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
76,Penzance,-5.537592,50.1188,0.01,0.6269131846603494,0.01,0.01,0.01,0.07377162328040832,0.5538929317889886,0.01,0.01,0.5585260708991576,0.01,0.01,0.01,0.01,0.329184919694926,0.01,0.01,0.01,0.01
77,Oban,-5.471047,56.41516,0.5358552631958019,0.2678229348151896,0.9522714486449171,0.01,0.01,0.4158523164916064,0.2588907565486476,0.1626464326997569,0.09933648408441284,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
78,Lochgilphead,-5.4323449,56.03829,0.524171041642968,0.26198310693210053,0.9315073517915106,0.01,0.01,0.4067847362458346,0.24436967261383652,0.15909995833444376,0.0971704710431306,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
79,Helston,-5.274996,50.10159,0.01,0.6821389093641261,0.01,0.01,0.01,0.07274493662713527,0.5183100621103695,0.01,0.01,0.5507530107847345,0.01,0.01,0.01,0.01,0.3246036220566064,0.01,0.01,0.01,0.01
80,Redruth,-5.226666000000001,50.23302,0.01,0.6859389122414152,0.01,0.01,0.01,0.07315017808851008,0.5234650765320352,0.01,0.01,0.5538210999919732,0.01,0.01,0.01,0.01,0.3264118970001123,0.01,0.01,0.01,0.01
81,Ullapool,-5.161313,57.895419999999994,0.3991329446527699,0.36865474599010545,0.01,0.01,0.01,0.4537985645748928,0.26965363577181467,0.1599147610276804,0.0976681126662829,0.18142393641077298,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
82,Ballachulish,-5.133719999999999,56.673930000000006,0.3211043950289923,0.4741317678515463,0.8967144366071237,0.01,0.01,0.296920526660608,0.2620783623979847,0.15315738434882398,0.09354103757604267,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
83,Fort William,-5.1052179,56.81981999999999,0.3404174657904665,0.5026487876262304,0.9506480159512032,0.01,0.01,0.3147790400621848,0.302324631374291,0.16236915300525756,0.09916713521212364,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
84,Achnasheen,-5.078765799999999,57.578590000000005,0.2905230269572366,0.35307682831012305,0.01,0.01,0.01,0.3571652712677959,0.32513918694400357,0.15315738434882398,0.09354103757604267,0.1737576655236453,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
85,Newquay,-5.0737190000000005,50.4155,0.01,0.6908223168560481,0.01,0.01,0.01,0.07367095612116516,0.5300898139409762,0.01,0.01,0.5577639183204223,0.01,0.01,0.01,0.01,0.32873572108361965,0.01,0.01,0.01,0.01
86,Falmouth,-5.066269999999999,50.152570000000004,0.01,0.6934236224004412,0.01,0.01,0.01,0.07394836561119277,0.533618697478578,0.01,0.01,0.5598641897473682,0.01,0.01,0.01,0.01,0.32997358215589456,0.01,0.01,0.01,0.01
87,Rothesay,-5.055793,55.83596,0.582890091269135,0.299100018750071,0.9495358711757258,0.01,0.01,0.3736476006292823,0.2977849504542378,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
88,Truro,-5.051041000000001,50.2632,0.01,0.7047484523418833,0.01,0.01,0.01,0.07515607275865814,0.5489817547067589,0.01,0.01,0.5690077587495945,0.01,0.01,0.01,0.01,0.3353626323445049,0.01,0.01,0.01,0.01
89,Milford Haven,-5.0426971,51.71431,0.01,0.7441950008974548,0.01,0.01,0.01,0.018140057264654723,0.6488763990550218,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
90,Stranraer,-5.024055000000001,54.903369999999995,0.6617794773169884,0.22362632785079078,0.9465785129744586,0.01,0.01,0.32251651560094646,0.343666166893964,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
91,Fishguard,-4.975989,51.99393,0.01,0.6939665147247289,0.01,0.01,0.01,0.01,0.6664967760145514,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
92,Inchnadamph,-4.974295,58.15221,0.3363950818171935,0.26228564181229286,0.01,0.01,0.01,0.4217132107011646,0.251568140892549,0.15315738434882398,0.09354103757604267,0.1737576655236453,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9446532770671779,0.01
93,Haverfordwest,-4.971319,51.80048,0.01,0.7049752102419834,0.01,0.01,0.01,0.01,0.6835271912940749,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
94,Dunoon,-4.926214,55.95097,0.5803287957544417,0.29778573403680497,0.9453634860137349,0.01,0.01,0.372005744063349,0.29468773805147874,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
95,Pembroke,-4.908637000000001,51.674040000000005,0.01,0.7133911268242974,0.01,0.01,0.01,0.01,0.6965465862014908,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
96,Girvan,-4.8542179,55.240159999999996,0.7565354902629144,0.265488462447662,0.943970996763225,0.01,0.01,0.3941076573824686,0.24571001192012265,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
97,Wadebridge,-4.836456,50.51665,0.01,0.6847118495950227,0.01,0.01,0.01,0.07301932117179709,0.5218004657823313,0.01,0.01,0.5528303803047585,0.01,0.01,0.01,0.01,0.32582798516919115,0.01,0.01,0.01,0.01
98,Invergarry,-4.800261,57.07095,0.4434298838299555,0.45395593248915095,0.01,0.01,0.01,0.2366757820534201,0.374186382816108,0.15315738434882398,0.09354103757604267,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
99,St Austell,-4.7834252,50.340379999999996,0.01,0.6873837607018608,0.01,0.01,0.01,0.07330426020909883,0.5254251315349492,0.01,0.01,0.5549876580475163,0.01,0.01,0.01,0.01,0.32709944470798424,0.01,0.01,0.01,0.01
100,Greenock,-4.7719830000000005,55.956480000000006,0.5929226406366689,0.30424804879705086,0.9658790302832567,0.01,0.01,0.3800787238470606,0.30991667682246143,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
101,Helensburgh,-4.734014,56.00232,0.5819188910024762,0.2986016640476685,0.9479537727576858,0.01,0.01,0.37302503617879135,0.29661053949923355,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
102,Bodmin,-4.7188629,50.4715,0.01,0.68227673381315,0.01,0.01,0.01,0.0727596345584104,0.5184970322378457,0.01,0.01,0.5508642890437778,0.01,0.01,0.01,0.01,0.3246692074010971,0.01,0.01,0.01,0.01
103,Tenby,-4.703579,51.672740000000005,0.01,0.7049752102419834,0.01,0.01,0.01,0.01,0.6835271912940749,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
104,Camelford,-4.682364,50.62206,0.01,0.6732503703860806,0.01,0.01,0.01,0.07179704141724544,0.5062520326564419,0.01,0.01,0.54357648187481,0.01,0.01,0.01,0.01,0.320373908859694,0.01,0.01,0.01,0.01
105,Irvine,-4.6696364,55.61156999999999,0.7767601475449334,0.338006450936715,0.9692064155101594,0.01,0.01,0.3488305493572622,0.2858803702393777,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
106,Cardigan,-4.660864,52.0837,0.01,0.8267762312707154,0.01,0.01,0.01,0.01,0.6310071466015518,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
107,Holyhead,-4.633038,53.30944,0.01,0.2641772418480242,0.01,0.01,0.01,0.02817249649672795,0.7626787173087346,0.01,0.01,0.3791900432415352,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
108,Ayr,-4.629179,55.45856,0.779567336779621,0.3392279967038652,0.9727091001218887,0.01,0.01,0.35009121311039226,0.2883846628604137,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
109,Dumbarton,-4.564554,55.94529,0.6241457927854221,0.36843049548118884,0.9632292297103671,0.01,0.01,0.3605464513190346,0.29289672780544174,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
110,Bude,-4.543678,50.826640000000005,0.01,0.6196447718316506,0.01,0.01,0.01,0.07291631727286955,0.5427515896316891,0.01,0.01,0.55205053623468,0.01,0.01,0.01,0.01,0.32536835952061566,0.01,0.01,0.01,0.01
111,Isle of Man,-4.5126330999999995,54.27697,0.2977447978125754,0.3928695799390154,0.01,0.01,0.01,0.1675862376187718,0.5252570648821272,0.4970543913019477,0.01,0.37594011957959655,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
112,Kilmarnock,-4.498792,55.61472,0.5769816757088246,0.3371552216447861,0.9667655837197565,0.01,0.01,0.34795206085294633,0.329460103353618,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
113,Newton Stewart,-4.483164,54.9603,0.5915941559461622,0.3481050554085304,0.9376685597238503,0.01,0.01,0.30148181812959113,0.32194614790952797,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
114,Liskeard,-4.4647190000000005,50.45552,0.01,0.6845762720837923,0.01,0.01,0.01,0.07300486285938135,0.5216165438095816,0.01,0.01,0.5527209162037084,0.01,0.01,0.01,0.01,0.325763469055815,0.01,0.01,0.01,0.01
115,Altnaharra,-4.442655,58.28023,0.3363950818171935,0.26228564181229286,0.01,0.01,0.01,0.4217132107011646,0.251568140892549,0.15315738434882398,0.09354103757604267,0.1737576655236453,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9446532770671779,0.01
116,Pwllheli,-4.417633900000001,52.888819999999996,0.01,0.3947472819416005,0.01,0.01,0.01,0.028064533088459135,0.7353477934496953,0.01,0.01,0.1888684449386716,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
117,Lairg,-4.402414,58.022059999999996,0.3363950818171935,0.26228564181229286,0.01,0.01,0.01,0.4217132107011646,0.251568140892549,0.15315738434882398,0.09354103757604267,0.1737576655236453,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9446532770671779,0.01
