,placename,forget,forgetten,forgot,forgotten,longitude,latitude
152,Aberfeldy,0.01,0.01,0.7132523797446213,0.7911391999999999,-3.866969,56.62175
153,Machynlleth,0.01,0.01,0.3607358281731206,0.8943662,-3.853485,52.59027
154,Brora,0.01,0.01,0.5376331123838993,0.8425655999999999,-3.852548000000001,58.01216
155,Llandudno,0.01,0.01,0.6593659248347558,0.8069187,-3.827609,53.32406
156,Llandudno,0.01,0.01,0.6593659248347558,0.8069187,-3.827609,53.32406
157,Aviemore,0.01,0.01,0.5723406746791102,0.8324021999999999,-3.823812,57.19449
158,Dalbeattie,0.01,0.01,0.7317783991725674,0.7857143,-3.822527,54.93422
159,Falkirk,0.01,0.1823001561743476,0.7576433511347539,0.7756933000000001,-3.7839131,56.00188000000001
160,Kingsbridge,0.01,0.01,0.07844484090681142,0.9770291,-3.777493,50.28395
161,Pitlochry,0.01,0.01,0.7564798039427081,0.7784810000000001,-3.729711,56.70436
162,Colwyn Bay,0.01,0.01,0.6593659248347558,0.8069187,-3.72764,53.29318000000001
163,Totnes,0.01,0.01,0.0753301187803695,0.9779412,-3.685797,50.43374
164,Grantown-on-Spey,0.01,0.01,0.5599131697102493,0.8360414,-3.609628,57.33041
165,Dumfries,0.01,0.01,0.6252754468832955,0.8169014,-3.60512,55.07086
166,Whitehaven,0.01,0.01,0.6870345593527738,0.7988166,-3.589233,54.5497
167,Dartmouth,0.01,0.01,0.0753301187803695,0.9779412,-3.578807,50.35252
168,Bridgend,0.01,0.01,0.2020689980889509,0.9408284,-3.576945,51.50429000000001
169,Paignton,0.01,0.01,0.07600071564026052,0.9777448,-3.564235,50.43508
170,Workington,0.01,0.01,0.6870345593527738,0.7988166,-3.542752,54.64357
171,Llanidloes,0.01,0.01,0.2981883025191281,0.9126819,-3.540195,52.44779000000001
172,Exeter,0.01,0.555279483393168,0.08908607964608932,0.9664596,-3.533899,50.71841
173,Torquay,0.01,0.01,0.0753301187803695,0.9779412,-3.525315,50.46192
174,Thurso,0.01,0.01,0.5376331123838993,0.8425655999999999,-3.5220800000000003,58.59356999999999
175,Livingston,0.01,0.2088784777623836,0.38298682413939705,0.8850466999999999,-3.518068,55.90071
176,Rhyl,0.01,0.01,0.7142066578244092,0.7908598000000001,-3.4916339999999995,53.31914
177,Tiverton,0.01,0.6340425211723411,0.2179765582395632,0.9276596,-3.491207,50.90205
178,Tiverton,0.01,0.6340425211723411,0.2179765582395632,0.9276596,-3.491207,50.90205
179,Minehead,0.01,0.4584615198938465,0.21015174435264525,0.9323077,-3.481152,51.20428
180,Dunfermline,0.01,0.01,0.4576116500060154,0.8659982,-3.452151,56.07174000000001
181,Perth,0.01,0.01,0.4755367720287244,0.8607492,-3.4308381000000003,56.39499
182,Prestatyn,0.01,0.01,0.7158701901784282,0.7903727,-3.407613,53.33651
183,Builth Wells,0.01,0.01,0.2828965973245313,0.9171598,-3.404592,52.15002
184,Braemar,0.01,0.01,0.5501614271470463,0.8388969999999999,-3.3979439,57.00646999999999
185,Brecon,0.01,0.01,0.17438123976171868,0.9489362,-3.391463,51.94895
186,Merthyr Tydfil,0.01,0.01,0.17218316279050389,0.9495798,-3.381646,51.74873
187,Llandrindod Wells,0.01,0.01,0.2920160930952497,0.9144893,-3.377742,52.2417
188,Corwen,0.01,0.01,0.5763229006010306,0.8312360999999999,-3.369242,52.98005
189,Cockermouth,0.01,0.01,0.7114512242635789,0.7916667,-3.367985,54.66326
190,Lockerbie,0.01,0.01,0.6267466825057341,0.8164706,-3.349008,55.12224000000001
191,Blairgowrie,0.01,0.01,0.4798349847482499,0.8594905999999999,-3.3378318,56.58941
192,Elgin,0.01,0.01,0.5699729080507787,0.8330956,-3.318485,57.64945
193,Newtown,0.01,0.01,0.2346159797388705,0.9312977,-3.313106,52.51211
194,Ruthin,0.01,0.01,0.6975939755083425,0.7957245,-3.3103108,53.11487
