placename,off,off_of,longitude,latitude
Skipton,0.9936844,0.006315612, -2.0162787,53.96285
Fraserburgh,0.9839978,0.016002194, -2.0076310,57.69335
Berwick,0.9917089,0.008291144, -2.0053950,55.77024
Poole,0.9761108,0.023889248, -1.9872480,50.71505
Walsall,0.9920936,0.007906353, -1.9829190,52.58621
Cirencester,0.9822494,0.017750617, -1.9682430,51.71849
Evesham,0.9899769,0.010023053, -1.9467700,52.09215
Buxton,0.9876975,0.012302521, -1.9148300,53.25908
Keighley,0.9889873,0.011012673, -1.9123580,53.86780
Birmingham,0.9881806,0.011819393, -1.8904010,52.48624
Bournemouth,0.9755630,0.024436991, -1.8807690,50.71916
Halifax,0.9857848,0.014215154, -1.8575400,53.72702
Salisbury,0.9778379,0.022162068, -1.7944720,51.06878
Ringwood,0.9755737,0.024426278, -1.7888170,50.84495
Huddersfield,0.9872658,0.012734219, -1.7850351,53.64579
Peterhead,0.9844254,0.015574627, -1.7840660,57.50812
Swindon,0.9760842,0.023915816, -1.7797176,51.55577
Bradford,0.9849316,0.015068352, -1.7593980,53.79598
Ashbourne,0.9886296,0.011370392, -1.7321790,53.01663
Marlborough,0.9804805,0.019519520, -1.7270620,51.42007
Stratford-upon-Avon,0.9940577,0.005942294, -1.7082980,52.19173
Alnwick,0.9944744,0.005525557, -1.7062990,55.41274
Otley,0.9877261,0.012273943, -1.6917860,53.90583
Bishop Auckland,0.9900427,0.009957271, -1.6787880,54.66382
Burton upon Trent,0.9865903,0.013409742, -1.6371359,52.81403
Newcastle,0.9909016,0.009098410, -1.6177800,54.97825
Durham,0.9895897,0.010410344, -1.5848520,54.77525
Ashington,0.9916120,0.008387970, -1.5659829,55.18298
Darlington,0.9895411,0.010458894, -1.5594580,54.52361
Leeds,0.9855967,0.014403331, -1.5490774,53.80076
Harrogate,0.9909270,0.009073016, -1.5418120,53.99212
Leamington Spa,0.9909947,0.009005262, -1.5200789,52.28519
Coventry,0.9907132,0.009286809, -1.5196930,52.40682
Blyth,0.9914953,0.008504684, -1.5102770,55.12696
Wakefield,0.9851150,0.014884980, -1.5059240,53.68330
Andover,0.9807383,0.019261746, -1.4919233,51.21120
Witney,0.9810537,0.018946311, -1.4850544,51.78594
Barnsley,0.9838031,0.016196925, -1.4797260,53.55263
Derby,0.9878985,0.012101517, -1.4746186,52.92253
Sheffield,0.9825934,0.017406557, -1.4700850,53.38113
Nuneaton,0.9891258,0.010874172, -1.4653820,52.52049
Northallerton,0.9892200,0.010779962, -1.4299590,54.33796
South Shields,0.9914903,0.008509715, -1.4274060,54.99942
Chesterfield,0.9781896,0.021810421, -1.4216290,53.23505
Southampton,0.9743106,0.025689392, -1.4043509,50.90970
Wetherby,0.9884309,0.011569078, -1.3848160,53.92706
Sunderland,0.9921567,0.007843328, -1.3838010,54.90687
Rotherham,0.9827388,0.017261220, -1.3635009,53.43260
Castleford,0.9844786,0.015521398, -1.3459680,53.72347
Thirsk,0.9880842,0.011915795, -1.3413770,54.23385
Banbury,0.9809958,0.019004223, -1.3397750,52.06290
Stockton,0.9919739,0.008026105, -1.3289821,54.57046
Newbury,0.9705777,0.029422292, -1.3231139,51.40141
Isle of Wight,0.9753907,0.024609341, -1.3047340,50.69385
Isle of Wight,0.9753907,0.024609341, -1.3047340,50.69385
Abingdon,0.9815905,0.018409483, -1.2879529,51.67078
