placename,how,it_being,that,the fact that,longitude,latitude
Wolverhampton,0.4102564,0.27505828,0.2727273,0.04195804, -2.1288200,52.58697
Stafford,0.4160757,0.27895981,0.2482270,0.05673759, -2.1206600,52.80669
Macclesfield,0.4020619,0.21134021,0.3350515,0.05154639, -2.1192870,53.25866
Hexham,0.3660245,0.25043783,0.3467601,0.03677758, -2.1121439,54.97266
Aberdeen,0.3189189,0.23243243,0.3891892,0.05945946, -2.0942780,57.14972
Dudley,0.4029536,0.27426160,0.2848101,0.03797468, -2.0811120,52.51225
Cheltenham,0.2854167,0.27083333,0.4062500,0.03750000, -2.0782533,51.89939
Bromsgrove,0.3855721,0.26368159,0.3059701,0.04477612, -2.0619060,52.33559
Skipton,0.3515982,0.26940639,0.3333333,0.04566210, -2.0162787,53.96285
Fraserburgh,0.3189189,0.23243243,0.3891892,0.05945946, -2.0076310,57.69335
Berwick,0.3509128,0.26572008,0.3529412,0.03042596, -2.0053950,55.77024
Poole,0.3142857,0.19780220,0.4285714,0.05934066, -1.9872480,50.71505
Walsall,0.4029536,0.27426160,0.2848101,0.03797468, -1.9829190,52.58621
Cirencester,0.2238806,0.29850746,0.4179104,0.05970149, -1.9682430,51.71849
Evesham,0.3355856,0.26576577,0.3581081,0.04054054, -1.9467700,52.09215
Buxton,0.3789474,0.25789474,0.3105263,0.05263158, -1.9148300,53.25908
Keighley,0.3333333,0.27699531,0.3427230,0.04694836, -1.9123580,53.86780
Birmingham,0.3902954,0.28691983,0.2848101,0.03797468, -1.8904010,52.48624
Bournemouth,0.2929062,0.21967963,0.4187643,0.06864989, -1.8807690,50.71916
Halifax,0.3259912,0.28634361,0.3348018,0.05286344, -1.8575400,53.72702
Salisbury,0.2830626,0.23665893,0.4106729,0.06960557, -1.7944720,51.06878
Ringwood,0.2969838,0.22273782,0.4245940,0.05568445, -1.7888170,50.84495
Huddersfield,0.3162393,0.28632479,0.3290598,0.06837607, -1.7850351,53.64579
Peterhead,0.3189189,0.23243243,0.3891892,0.05945946, -1.7840660,57.50812
Swindon,0.1985294,0.27941176,0.4485294,0.07352941, -1.7797176,51.55577
Bradford,0.3135593,0.28389831,0.3347458,0.06779661, -1.7593980,53.79598
Ashbourne,0.3901582,0.23550088,0.3005272,0.07381371, -1.7321790,53.01663
Marlborough,0.2206897,0.27586207,0.4344828,0.06896552, -1.7270620,51.42007
Stratford-upon-Avon,0.3779343,0.24882629,0.3309859,0.04225352, -1.7082980,52.19173
Alnwick,0.3663366,0.21188119,0.3920792,0.02970297, -1.7062990,55.41274
Otley,0.3050847,0.27542373,0.3516949,0.06779661, -1.6917860,53.90583
Bishop Auckland,0.3715953,0.26070039,0.3210117,0.04669261, -1.6787880,54.66382
Burton upon Trent,0.4003831,0.27203065,0.2586207,0.06896552, -1.6371359,52.81403
Newcastle,0.3641732,0.24015748,0.3484252,0.04724409, -1.6177800,54.97825
Durham,0.3365759,0.26070039,0.3560311,0.04669261, -1.5848520,54.77525
Ashington,0.3451464,0.22958398,0.3744222,0.05084746, -1.5659829,55.18298
Darlington,0.3599222,0.26070039,0.3326848,0.04669261, -1.5594580,54.52361
Leeds,0.3050847,0.27542373,0.3516949,0.06779661, -1.5490774,53.80076
Harrogate,0.3125000,0.26339286,0.3616071,0.06250000, -1.5418120,53.99212
Leamington Spa,0.4004329,0.22943723,0.3441558,0.02597403, -1.5200789,52.28519
Coventry,0.4209402,0.23931624,0.3141026,0.02564103, -1.5196930,52.40682
Blyth,0.3670295,0.22239502,0.3685848,0.04199067, -1.5102770,55.12696
Wakefield,0.3305085,0.26694915,0.3347458,0.06779661, -1.5059240,53.68330
Andover,0.2383420,0.27979275,0.4041451,0.07772021, -1.4919233,51.21120
Witney,0.2666667,0.30476190,0.3714286,0.05714286, -1.4850544,51.78594
Barnsley,0.3305085,0.26694915,0.3262712,0.07627119, -1.4797260,53.55263
Derby,0.3836806,0.23611111,0.2968750,0.08333333, -1.4746186,52.92253
Sheffield,0.3553719,0.23553719,0.3181818,0.09090909, -1.4700850,53.38113
