index,placename,longitude,latitude,where_is_x,where_is_x_at,where_to_is_x,where_x_about,where_x_to
86,Falmouth,-5.066269999999999,50.152570000000004,0.2547420442521392,0.13581030910325673,0.06778615294074669,0.06715253127900842,0.2195310972751368
87,Rothesay,-5.055793,55.83596,0.17229231506638207,0.1533013435794936,0.01,0.01,0.01
88,Truro,-5.051041000000001,50.2632,0.38274335980237345,0.1983046635016527,0.09372403026285137,0.09284795789078643,0.3035330714613238
89,Milford Haven,-5.0426971,51.71431,0.14901140492659995,0.11983058158506296,0.16261371560236274,0.01,0.11171110070052896
90,Stranraer,-5.024055000000001,54.903369999999995,0.15730745033068314,0.0977543788153071,0.03620822352468221,0.035869772177865786,0.01
91,Fishguard,-4.975989,51.99393,0.10376536273573192,0.07993348196571262,0.10869991899705304,0.01,0.09600919845081382
92,Inchnadamph,-4.974295,58.15221,0.01,0.03502542469911039,0.01,0.025070584223389772,0.01
93,Haverfordwest,-4.971319,51.800470000000004,0.17157651357051001,0.13509830447397797,0.17166099433957452,0.01,0.11792632961945367
94,Dunoon,-4.926214,55.95097,0.15119253348754824,0.11489799816471533,0.01,0.01903010028616093,0.01
95,Pembroke,-4.908637000000001,51.674040000000005,0.2389243661749968,0.17435236302179674,0.22278608390416335,0.01,0.15304784377531422
96,Girvan,-4.8542179,55.240159999999996,0.14450263444109793,0.11033814801761355,0.01,0.01,0.01
97,Wadebridge,-4.836456,50.51665,0.17989317812188219,0.10042959035026168,0.053101624532686284,0.052605264463295505,0.2032420351504496
98,Invergarry,-4.800261,57.07095,0.01,0.033938633816348325,0.01,0.027372120602422143,0.01
99,St Austell,-4.7834252,50.340379999999996,0.20104412276657194,0.10979425401152486,0.056988370736792304,0.05645567984640401,0.18456158012241108
100,Greenock,-4.7719830000000005,55.956480000000006,0.2749430739967457,0.20156605495762403,0.05297183346128666,0.02623834525299811,0.01
101,Helensburgh,-4.734014,56.00232,0.1641643242216975,0.12554710415815545,0.01,0.02115840253727025,0.01
102,Bodmin,-4.7188629,50.4715,0.16203982625719376,0.09119458335705671,0.04926869346279069,0.0488081611848953,0.18857181382658678
103,Tenby,-4.703579,51.672740000000005,0.17161900217439952,0.1288906178460981,0.17261274153602035,0.01,0.11858015347601791
104,Camelford,-4.682364,50.62206,0.10552430432477938,0.061776869001809315,0.03211784610432107,0.06363525798609929,0.13238440381462813
105,Irvine,-4.6696364,55.61156999999999,0.3004977435682749,0.18757745271318776,0.01,0.01,0.01
106,Cardigan,-4.660864,52.0837,0.13594158642120618,0.0944657949625172,0.13462015886485254,0.01,0.09248030498026955
107,Holyhead,-4.633038,53.30944,0.1534713200824357,0.09851785282234395,0.01,0.01,0.054601407210499414
108,Ayr,-4.629179,55.45856,0.32896417079168994,0.20149144047613177,0.01,0.01,0.01
109,Dumbarton,-4.564554,55.94529,0.2560003785442909,0.18628263204857343,0.05089176873052609,0.025208032490854244,0.01
110,Bude,-4.543678,50.826640000000005,0.17258872505362455,0.10296964638712784,0.04493783244679317,0.0890355617963245,0.19845668764841962
111,Isle of Man,-4.5126330999999995,54.27697,0.30567179244251086,0.4011702101684259,0.01,0.05728416898933399,0.01
112,Kilmarnock,-4.498792,55.61472,0.2819241512848531,0.15941037986145953,0.01,0.01,0.01
113,Newton Stewart,-4.483164,54.9603,0.11569098592845331,0.18732135288815407,0.01,0.01,0.01
114,Liskeard,-4.4647190000000005,50.45552,0.17896618669431924,0.08656735632660219,0.05275940561878555,0.05226624439322197,0.20193221488933935
115,Altnaharra,-4.442655,58.28023,0.01,0.04255353271690117,0.01,0.025534992238076936,0.01
116,Pwllheli,-4.417633900000001,52.888819999999996,0.13618004311682935,0.08321697346831443,0.01,0.01,0.08118416133854209
117,Lairg,-4.402414,58.022059999999996,0.01,0.031862312375337445,0.01,0.026447269947732457,0.01
118,Launceston,-4.360451599999999,50.636829999999996,0.16026686566357032,0.07801559699782729,0.0363437115350597,0.036003993732860326,0.16050291185651605
119,Carmarthen,-4.312131,51.857620000000004,0.22995449567975373,0.15278372288891917,0.21888028006008936,0.01,0.15036466617806027
120,Llangefni,-4.311401999999999,53.255790000000005,0.21543073165636398,0.10469558618660932,0.01,0.01,0.07000624402550895
121,Caernarfon,-4.273911,53.13955,0.20019192690318824,0.10978088831844576,0.01,0.01,0.07269899510869926
122,Cumnock,-4.265828900000001,55.45355,0.2070053170103055,0.11317836650269868,0.01,0.01,0.016353220545853156
123,Aberaeron,-4.2581619,52.24279,0.12230602866768711,0.07181192411465574,0.01,0.01,0.06454700214457912
124,Alness,-4.256825,57.69595,0.16807371854076322,0.1584234116218838,0.01,0.08282108692879422,0.01
125,Glasgow,-4.251806,55.86424,0.630717942986699,0.3894538522774176,0.10464048940322605,0.10366237694361007,0.015403950174670701
126,Dalwhinnie,-4.242783,56.9366,0.01,0.01,0.01,0.01,0.01
127,Inverness,-4.224721,57.47776999999999,0.31897688419622366,0.2762740835232021,0.01,0.13531503818984003,0.01
128,Saltash,-4.21643,50.409209999999995,0.16343231107394063,0.07263220404306583,0.033081946504673575,0.03277271759864389,0.16557788511787488
129,Bideford,-4.206666,51.01668,0.19335446226171374,0.07102509195910243,0.01,0.056431880629748084,0.13417001637612203
130,Invergordon,-4.1728819999999995,57.688109999999995,0.17097102089310104,0.16338844928672164,0.01,0.0850326466276398,0.01
131,Llanelli,-4.160248,51.680890000000005,0.2677424744070205,0.14621657671089755,0.23434196584810646,0.01,0.18398447351263478
132,Plymouth,-4.1426565,50.37546,0.40931052246601995,0.17372804267025602,0.01,0.01,0.2573033614270843
133,Tavistock,-4.141654,50.551120000000004,0.19340207353637132,0.0737150859719313,0.01,0.037749478111301304,0.1570651978711801
134,Porthmadog,-4.1333839999999995,52.92784,0.17670436094893233,0.10130295047496927,0.01,0.01,0.09444433169019689
135,Bangor,-4.129263,53.22739,0.28559826328950416,0.13632854468755953,0.01,0.01,0.08675637502087702
136,Tywyn,-4.087249,52.58701,0.0889848903204995,0.03789742915221886,0.01,0.01,0.08906303635954843
137,Aberystwyth,-4.08292,52.4153,0.2549263515827821,0.13594927529668963,0.01,0.01,0.21638888142614518
138,Lampeter,-4.0785089999999995,52.1129,0.13833860216386842,0.06216707176004734,0.06598268795767137,0.01,0.09713201149273237
139,Barnstaple,-4.058338,51.07816,0.2583001789318268,0.10370672665165098,0.01,0.06575486505418324,0.19541993149734893
140,Tain,-4.05523,57.8115,0.10659790446648855,0.12736810522800143,0.01,0.06208936945594632,0.01
141,Okehampton,-4.004263,50.73831,0.1342728270496803,0.06014119848320258,0.01,0.030555760104120883,0.13621512272827602
142,Llandeilo,-3.9914300000000003,51.88469,0.1901962766376476,0.12016980055676013,0.18872304404495177,0.01,0.16668962012564878
