placename,preposition_dropped,preposition_retained,longitude,latitude
Peterborough,0.017227235,0.9827728, -0.2405299,52.56950
Welwyn Garden City,0.011351351,0.9886486, -0.2086610,51.80317
Bridlington,0.026172301,0.9738277, -0.1988020,54.08535
Stevenage,0.014055180,0.9859448, -0.1966120,51.90376
Crawley,0.010670732,0.9893293, -0.1872275,51.10914
Huntingdon,0.018054162,0.9819458, -0.1825520,52.33146
Hove,0.005785921,0.9942141, -0.1687490,50.82793
Spalding,0.020987175,0.9790128, -0.1537024,52.79010
Brighton,0.005785921,0.9942141, -0.1371630,50.82253
London,0.011146497,0.9888535, -0.1277583,51.50735
Grimsby,0.012113055,0.9878869, -0.0807840,53.56747
Boston,0.021352313,0.9786477, -0.0265770,52.97894
Royston,0.020431328,0.9795687, -0.0240660,52.04814
Louth,0.020435967,0.9795640, -0.0077110,53.36596
Lewes,0.006097561,0.9939024,  0.0087800,50.87387
Chatteris,0.022263451,0.9777365,  0.0540120,52.45610
Uckfield,0.007285090,0.9927149,  0.0959130,50.96641
Cambridge,0.006191950,0.9938080,  0.1218170,52.20534
Bishop's Stortford,0.016641452,0.9833585,  0.1536502,51.87216
Wisbech,0.019331454,0.9806685,  0.1587970,52.66632
Sevenoaks,0.010758197,0.9892418,  0.1908980,51.27241
Tunbridge Wells,0.007129278,0.9928707,  0.2636950,51.13238
Eastbourne,0.006066734,0.9939333,  0.2904720,50.76803
Brentwood,0.013924703,0.9860753,  0.3071749,51.62047
Skegness,0.021802326,0.9781977,  0.3378810,53.14640
Downham Market,0.021371327,0.9786287,  0.3854720,52.60661
King's Lynn,0.019425334,0.9805747,  0.4022963,52.75168
Bexhill,0.011799410,0.9882006,  0.4662071,50.84991
Chelmsford,0.013075061,0.9869249,  0.4685497,51.73559
Mildenhall,0.017061611,0.9829384,  0.5156095,52.34757
Medway,0.013209393,0.9867906,  0.5417861,51.40474
Braintree,0.019108280,0.9808917,  0.5509269,51.88009
Gillingham,0.010273973,0.9897260,  0.5514380,51.38632
Hastings,0.011834320,0.9881657,  0.5734530,50.85426
Maldon,0.010125362,0.9898746,  0.6714480,51.73181
Southend,0.010289074,0.9897109,  0.7077123,51.54593
Bury St Edmunds,0.022835395,0.9771646,  0.7104932,52.24292
Thetford,0.022620170,0.9773798,  0.7516570,52.41286
Ashford,0.010081613,0.9899184,  0.8750190,51.14647
Faversham,0.010289074,0.9897109,  0.8893580,51.31599
Colchester,0.017910448,0.9820896,  0.8918740,51.89593
New Romney,0.011940299,0.9880597,  0.9394730,50.98512
Canterbury,0.010214008,0.9897860,  1.0789089,51.28023
Ipswich,0.021917808,0.9780822,  1.1482200,52.05674
Clacton,0.018348624,0.9816514,  1.1530350,51.78953
Folkestone,0.011661808,0.9883382,  1.1694560,51.08140
Sheringham,0.018919984,0.9810800,  1.2109589,52.94442
Harwich,0.022535211,0.9774648,  1.2602970,51.93473
Norwich,0.016759777,0.9832402,  1.2973550,52.63089
Cromer,0.020547945,0.9794521,  1.3018660,52.93145
Dover,0.011527378,0.9884726,  1.3134027,51.12788
Felixstowe,0.022535211,0.9774648,  1.3512550,51.96173
Margate,0.012422360,0.9875776,  1.3868339,51.38965
Ramsgate,0.012269939,0.9877301,  1.4198950,51.33555
