placename,goal_theme_ditransitive,prepositional_dative,theme_goal_ditransitive,longitude,latitude
Doncaster,0.23972603,0.4714612,0.28881279, -1.1284620,53.52282
Worksop,0.19404694,0.4859760,0.31997710, -1.1227450,53.30930
Basingstoke,0.13396889,0.7727045,0.09332664, -1.0923964,51.26654
Portsmouth,0.14403292,0.7654321,0.09053498, -1.0879769,50.81977
York,0.27010804,0.4417767,0.28811525, -1.0872979,53.95997
Selby,0.25644028,0.4590164,0.28454333, -1.0671890,53.78352
Helmsley,0.31786704,0.4702216,0.21191136, -1.0562636,54.24651
Towcester,0.09973753,0.6771654,0.22309711, -0.9896880,52.13511
Reading,0.07759959,0.8075530,0.11484739, -0.9781303,51.45426
Retford,0.21523915,0.4738598,0.31090100, -0.9455030,53.32136
Petersfield,0.14591700,0.7657296,0.08835341, -0.9389900,51.00759
Northampton,0.10824742,0.6623711,0.22938144, -0.9026560,52.24048
Melton Mowbray,0.13072378,0.6093058,0.25997046, -0.8871260,52.76640
Aylesbury,0.07574961,0.7759074,0.14834298, -0.8084000,51.81561
Newark-on-Trent,0.13462827,0.5271266,0.33824514, -0.8065700,53.07004
Malton,0.31478873,0.4612676,0.22394366, -0.7978970,54.13684
Chichester,0.14176245,0.7586207,0.09961686, -0.7749360,50.83761
Gainsborough,0.21095008,0.4922169,0.29683306, -0.7744650,53.40058
