placename,amnt,arent,longitude,latitude
Bedford,0.0000000000,1.0000000, -0.4667782,52.13864
Heathrow,0.0062434964,0.9937565, -0.4542955,51.47002
Driffield,0.0029600395,0.9970400, -0.4433770,54.00600
Beverley,0.0027497709,0.9972502, -0.4350930,53.84196
Luton,0.0057747834,0.9942252, -0.4200255,51.87867
Scarborough,0.0027829314,0.9972171, -0.3997520,54.28311
Worthing,0.0045180723,0.9954819, -0.3728820,50.81787
Dorking,0.0176297747,0.9823702, -0.3323780,51.23220
Hull,0.0027535567,0.9972464, -0.3274198,53.76762
Horsham,0.0000000000,1.0000000, -0.3258580,51.06288
Biggleswade,0.0000000000,1.0000000, -0.2642200,52.08694
Peterborough,0.0000000000,1.0000000, -0.2405299,52.56950
Welwyn Garden City,0.0128893663,0.9871106, -0.2086610,51.80317
Bridlington,0.0026315789,0.9973684, -0.1988020,54.08535
Stevenage,0.0107238606,0.9892761, -0.1966120,51.90376
Crawley,0.0047581285,0.9952419, -0.1872275,51.10914
Huntingdon,0.0000000000,1.0000000, -0.1825520,52.33146
Hove,0.0000000000,1.0000000, -0.1687490,50.82793
Spalding,0.0000000000,1.0000000, -0.1537024,52.79010
Brighton,0.0000000000,1.0000000, -0.1371630,50.82253
London,0.0106345268,0.9893655, -0.1277583,51.50735
Grimsby,0.0039087948,0.9960912, -0.0807840,53.56747
Boston,0.0000000000,1.0000000, -0.0265770,52.97894
Royston,0.0051590714,0.9948409, -0.0240660,52.04814
Louth,0.0000000000,1.0000000, -0.0077110,53.36596
Lewes,0.0000000000,1.0000000,  0.0087800,50.87387
Chatteris,0.0000000000,1.0000000,  0.0540120,52.45610
Uckfield,0.0045146727,0.9954853,  0.0959130,50.96641
Cambridge,0.0051502146,0.9948498,  0.1218170,52.20534
Bishop's Stortford,0.0101954121,0.9898046,  0.1536502,51.87216
Wisbech,0.0000000000,1.0000000,  0.1587970,52.66632
Sevenoaks,0.0058422590,0.9941577,  0.1908980,51.27241
Tunbridge Wells,0.0047206924,0.9952793,  0.2636950,51.13238
Eastbourne,0.0000000000,1.0000000,  0.2904720,50.76803
Brentwood,0.0178394450,0.9821606,  0.3071749,51.62047
Skegness,0.0000000000,1.0000000,  0.3378810,53.14640
Downham Market,0.0000000000,1.0000000,  0.3854720,52.60661
King's Lynn,0.0000000000,1.0000000,  0.4022963,52.75168
Bexhill,0.0000000000,1.0000000,  0.4662071,50.84991
Chelmsford,0.0124869927,0.9875130,  0.4685497,51.73559
Mildenhall,0.0050125313,0.9949875,  0.5156095,52.34757
