placename,needs to be Xed,needs Xed,needs Xing,longitude,latitude
Trowbridge,0.9250535,0.0000000000,0.07494647, -2.2088530,51.31966
Shaftesbury,0.9405772,0.0016977929,0.05772496, -2.1980830,51.00460
Alderney,0.9259104,0.0012557555,0.07283382, -2.1973557,49.71500
Stoke-on-Trent,0.8574774,0.0000000000,0.14252258, -2.1794040,53.00267
Colne,0.8323786,0.0026438706,0.16497753, -2.1769910,53.85564
Blandford Forum,0.9269469,0.0013783598,0.07167471, -2.1653530,50.85691
Rochdale,0.8560867,0.0013483449,0.14256500, -2.1561000,53.60971
Jersey,0.9289617,0.0000000000,0.07103825, -2.1312500,49.21444
Wolverhampton,0.9183254,0.0046230898,0.07705150, -2.1288200,52.58697
Stafford,0.8773784,0.0084566596,0.11416490, -2.1206600,52.80669
Macclesfield,0.8639767,0.0000000000,0.13602335, -2.1192870,53.25866
Hexham,0.9426081,0.0095653098,0.04782655, -2.1121439,54.97266
Aberdeen,0.9120879,0.0183150183,0.06959707, -2.0942780,57.14972
Dudley,0.9108118,0.0045737517,0.08461441, -2.0811120,52.51226
Cheltenham,0.9290883,0.0000000000,0.07091172, -2.0782533,51.89939
Bromsgrove,0.9156479,0.0044009780,0.07995110, -2.0619060,52.33559
Skipton,0.8745879,0.0000000000,0.12541206, -2.0162787,53.96285
Fraserburgh,0.9267176,0.0122137405,0.06106870, -2.0076310,57.69335
Berwick,0.8990327,0.0264774412,0.07448987, -2.0053950,55.77024
Poole,0.9194542,0.0013204225,0.07922535, -1.9872480,50.71505
Walsall,0.9159025,0.0047157453,0.07938171, -1.9829190,52.58621
Cirencester,0.9264069,0.0057720058,0.06782107, -1.9682430,51.71849
Evesham,0.9261002,0.0033213396,0.07057847, -1.9467700,52.09215
Buxton,0.8676042,0.0012054244,0.13119036, -1.9148300,53.25908
Keighley,0.8827019,0.0000000000,0.11729805, -1.9123580,53.86780
Birmingham,0.9140038,0.0042293233,0.08176692, -1.8904010,52.48624
Bournemouth,0.9262511,0.0000000000,0.07374890, -1.8807690,50.71916
Halifax,0.8845923,0.0000000000,0.11540773, -1.8575400,53.72702
Salisbury,0.9141472,0.0000000000,0.08585276, -1.7944720,51.06878
Ringwood,0.9223907,0.0000000000,0.07760928, -1.7888170,50.84495
Huddersfield,0.8817734,0.0000000000,0.11822660, -1.7850351,53.64579
Peterhead,0.9263623,0.0147275405,0.05891016, -1.7840660,57.50812
Swindon,0.9165171,0.0053859964,0.07809695, -1.7797176,51.55577
Bradford,0.8871406,0.0000000000,0.11285939, -1.7593980,53.79598
Ashbourne,0.8514963,0.0033879164,0.14511575, -1.7321790,53.01663
Marlborough,0.8973029,0.0062240664,0.09647303, -1.7270620,51.42007
Stratford-upon-Avon,0.9200388,0.0029076811,0.07705355, -1.7082980,52.19173
Alnwick,0.9471803,0.0112041829,0.04161554, -1.7062990,55.41274
Otley,0.8839003,0.0000000000,0.11609971, -1.6917860,53.90583
Bishop Auckland,0.9345696,0.0097970609,0.05563331, -1.6787880,54.66382
Burton upon Trent,0.8839234,0.0069645966,0.10911201, -1.6371359,52.81403
Newcastle,0.9393282,0.0103586050,0.05031322, -1.6177800,54.97825
Durham,0.9376168,0.0112149533,0.05116822, -1.5848520,54.77525
Ashington,0.9432638,0.0104514010,0.04628478, -1.5659829,55.18298
Darlington,0.9347674,0.0098199673,0.05541267, -1.5594580,54.52361
Leeds,0.8855814,0.0000000000,0.11441860, -1.5490774,53.80076
Harrogate,0.8909312,0.0000000000,0.10906879, -1.5418120,53.99212
