variant,longitude,latitude,preposition_dropped,preposition_retained
preposition_retained,-46757.02478019014,6778217.221140644,0.20102065250231063,0.7989793474976893
preposition_retained,-88821.48774548061,7196114.10586726,0.156122715584448,0.843877284415552
preposition_retained,-249648.4852974646,7072425.247492292,0,1
preposition_retained,-133435.77930713643,7010271.558978545,0.20717171819820712,0.7928282818017929
preposition_retained,158061.9883799152,6680863.755444957,0.16989201530874085,0.8301079846912591
preposition_retained,154381.64356284973,6690509.169250677,0.15314549370072014,0.8468545062992798
preposition_retained,60311.352770873615,6693202.81330082,0.19827081373440558,0.8017291862655943
preposition_retained,-376443.11076311045,6754819.507118552,0.21574751422722965,0.7842524857727704
preposition_retained,-137474.673072098,7279666.914022026,0.021333333333333333,0.9786666666666667
preposition_retained,-147941.6106453754,7278942.566279132,0.12247538671516839,0.8775246132848317
preposition_retained,-84537.92487170453,6807473.840659261,0,1
preposition_retained,-387520.06801398593,6657508.348796182,0.19928761018054295,0.800712389819457
preposition_retained,-443173.668574731,7515379.232708325,0.12368534595007556,0.8763146540499244
preposition_retained,-441110.829354739,7531839.130658074,0.10225774422468091,0.8977422557753191
preposition_retained,-687627.9530359341,7506089.353695541,0.10921120925978098,0.890788790740219
preposition_retained,-668015.6851479752,7646349.110890043,0.11916114377443078,0.8808388562255692
preposition_retained,-147288.36560950233,6692607.848482865,0.12759802136587145,0.8724019786341285
preposition_retained,-180090.44581554213,7357646.413223492,0,1
preposition_retained,-333698.43004932767,6725281.072574724,0.018666666666666668,0.9813333333333334
preposition_retained,-698026.6740252534,7236479.999061002,0.07126916738043991,0.9287308326195601
preposition_retained,-705791.175112237,7203388.587227029,0.10384718515777129,0.8961528148422288
preposition_retained,-499063.5336227356,7354164.767788068,0.022984310891520567,0.9770156891084795
preposition_retained,-350256.42506839155,6920416.96137229,0.21306118062019166,0.7869388193798084
preposition_retained,-368813.2728641395,6893256.856745224,0.17400112975307735,0.8259988702469226
preposition_retained,-159182.3077352587,7234423.671394999,0.04826926755862516,0.9517307324413747
preposition_retained,-100483.20628149316,6843724.120888882,0,1
