placename,needs to be Xed,needs Xed,needs Xing,longitude,latitude
Motherwell,0.3901280,0.45456423,0.1553077, -3.9810968,55.78321
Golspie,0.4237181,0.35851445,0.2177675, -3.9760860,57.97341
Airdrie,0.3699587,0.46804826,0.1619931, -3.9625660,55.86627
Swansea,0.5837334,0.03286558,0.3834010, -3.9436460,51.62144
Stirling,0.3833744,0.42819430,0.1884313, -3.9369029,56.11652
Tregaron,0.5133870,0.03745428,0.4491587, -3.9343850,52.22000
Tregaron,0.5133870,0.03745428,0.4491587, -3.9343850,52.22000
Castle Douglas,0.3376482,0.35395257,0.3083992, -3.9314140,54.94042
Dolgellau,0.4866192,0.03230404,0.4810768, -3.8844000,52.74215
Aberfeldy,0.4028732,0.36945659,0.2276702, -3.8669690,56.62175
Machynlleth,0.5048933,0.03978822,0.4553185, -3.8534850,52.59027
Brora,0.4216512,0.36162595,0.2167228, -3.8525480,58.01216
Llandudno,0.4219169,0.06065684,0.5174263, -3.8276090,53.32406
Llandudno,0.4219169,0.06065684,0.5174263, -3.8276090,53.32406
Aviemore,0.4399293,0.31802120,0.2420495, -3.8238120,57.19449
Dalbeattie,0.3384410,0.34121761,0.3203414, -3.8225270,54.93422
Falkirk,0.3746509,0.44950285,0.1758463, -3.7839131,56.00188
Kingsbridge,0.4727925,0.03173289,0.4954746, -3.7774930,50.28395
Pitlochry,0.3971413,0.43254074,0.1703179, -3.7297110,56.70436
Colwyn Bay,0.4160366,0.06189555,0.5220679, -3.7276400,53.29318
Totnes,0.4805118,0.03239105,0.4870971, -3.6857970,50.43374
Grantown-on-Spey,0.4243165,0.35496777,0.2207157, -3.6096280,57.33041
Dumfries,0.3392715,0.34434713,0.3163814, -3.6051200,55.07086
Whitehaven,0.3794201,0.24681754,0.3737624, -3.5892330,54.54970
Dartmouth,0.4822980,0.03252606,0.4851759, -3.5788070,50.35252
Bridgend,0.5185366,0.03609756,0.4453659, -3.5769450,51.50429
Paignton,0.4815574,0.03538777,0.4830549, -3.5642350,50.43508
Workington,0.3518549,0.30876559,0.3393795, -3.5427520,54.64357
Llanidloes,0.5020590,0.03590842,0.4620326, -3.5401950,52.44779
Exeter,0.4668504,0.04068731,0.4924623, -3.5338990,50.71841
Torquay,0.4784449,0.03519360,0.4863615, -3.5253150,50.46192
Thurso,0.4225496,0.36484551,0.2126049, -3.5220800,58.59357
Livingston,0.3995796,0.43321475,0.1672057, -3.5180680,55.90071
Rhyl,0.3953270,0.02411560,0.5805574, -3.4916340,53.31914
