placename,sel,self,sen,longitude,latitude
Worcester,0.00048237715,0.9995176,0.00000000000, -2.2215750,52.19364
Trowbridge,0.00059571088,0.9994043,0.00000000000, -2.2088530,51.31966
Shaftesbury,0.00000000000,1.0000000,0.00000000000, -2.1980830,51.00460
Alderney,0.00097656250,0.9990234,0.00000000000, -2.1973557,49.71500
Stoke-on-Trent,0.00062980555,0.9969297,0.00244049650, -2.1794040,53.00267
Colne,0.00081031180,0.9987845,0.00040515590, -2.1769910,53.85564
Blandford Forum,0.00000000000,1.0000000,0.00000000000, -2.1653530,50.85691
Rochdale,0.00085665334,0.9987150,0.00042832667, -2.1561000,53.60971
Jersey,0.00026159749,0.9997384,0.00000000000, -2.1312500,49.21444
Wolverhampton,0.00022686516,0.9997731,0.00000000000, -2.1288200,52.58697
Stafford,0.00052036356,0.9981787,0.00130090890, -2.1206600,52.80669
Macclesfield,0.00000000000,1.0000000,0.00000000000, -2.1192870,53.25866
Hexham,0.00686356073,0.9906406,0.00249584027, -2.1121439,54.97266
Aberdeen,0.02874916114,0.9710005,0.00025035554, -2.0942780,57.14972
Dudley,0.00000000000,1.0000000,0.00000000000, -2.0811120,52.51226
Cheltenham,0.00063360203,0.9993664,0.00000000000, -2.0782533,51.89939
Bromsgrove,0.00054689636,0.9994531,0.00000000000, -2.0619060,52.33559
Skipton,0.00194489465,0.9931929,0.00486223663, -2.0162787,53.96285
Fraserburgh,0.10896309315,0.8910369,0.00000000000, -2.0076310,57.69335
Berwick,0.02755591054,0.9724441,0.00000000000, -2.0053950,55.77024
Poole,0.00095025204,0.9990497,0.00000000000, -1.9872480,50.71505
Walsall,0.00000000000,1.0000000,0.00000000000, -1.9829190,52.58621
Cirencester,0.00078767477,0.9992123,0.00000000000, -1.9682430,51.71849
Evesham,0.00341296928,0.9965870,0.00000000000, -1.9467700,52.09215
Buxton,0.00000000000,0.9991540,0.00084602369, -1.9148300,53.25908
Keighley,0.00000000000,0.9967808,0.00321916044, -1.9123580,53.86780
Birmingham,0.00007855073,0.9997840,0.00013746378, -1.8904010,52.48624
Bournemouth,0.00057954496,0.9992756,0.00014488624, -1.8807690,50.71916
Halifax,0.00000000000,0.9931991,0.00680090967, -1.8575400,53.72702
Salisbury,0.00000000000,1.0000000,0.00000000000, -1.7944720,51.06878
Ringwood,0.00000000000,1.0000000,0.00000000000, -1.7888170,50.84495
Huddersfield,0.00000000000,0.9952413,0.00475873523, -1.7850351,53.64579
Peterhead,0.10526315789,0.8947368,0.00000000000, -1.7840660,57.50812
Swindon,0.00033437361,0.9994427,0.00022291574, -1.7797176,51.55577
Bradford,0.00056150333,0.9952272,0.00421127499, -1.7593980,53.79598
Ashbourne,0.00000000000,0.9977860,0.00221402214, -1.7321790,53.01663
Marlborough,0.00000000000,1.0000000,0.00000000000, -1.7270620,51.42007
Stratford-upon-Avon,0.00000000000,0.9993714,0.00062864088, -1.7082980,52.19173
Alnwick,0.01077169530,0.9892283,0.00000000000, -1.7062990,55.41274
Otley,0.00000000000,0.9959935,0.00400652916, -1.6917860,53.90583
Bishop Auckland,0.01968325792,0.9789593,0.00135746606, -1.6787880,54.66382
Burton upon Trent,0.00042319086,0.9978840,0.00169276344, -1.6371359,52.81403
Newcastle,0.00955418920,0.9903431,0.00010273322, -1.6177800,54.97825
Durham,0.00588627870,0.9939936,0.00012012814, -1.5848520,54.77525
Ashington,0.00998056416,0.9900194,0.00000000000, -1.5659829,55.18298
Darlington,0.00622550150,0.9937745,0.00000000000, -1.5594580,54.52361
Leeds,0.00035967932,0.9963513,0.00328899067, -1.5490774,53.80076
Harrogate,0.00097014121,0.9979519,0.00107793468, -1.5418120,53.99212
Leamington Spa,0.00035524820,0.9994079,0.00023683213, -1.5200789,52.28519
Coventry,0.00037607338,0.9996239,0.00000000000, -1.5196930,52.40682
Blyth,0.01015377824,0.9898462,0.00000000000, -1.5102770,55.12696
Wakefield,0.00047970834,0.9922767,0.00724359589, -1.5059240,53.68330
Andover,0.00000000000,0.9995993,0.00040072427, -1.4919233,51.21120
Witney,0.00087950748,0.9991205,0.00000000000, -1.4850544,51.78594
Barnsley,0.00000000000,0.9699291,0.03007092199, -1.4797260,53.55263
Derby,0.00034439215,0.9974515,0.00220410975, -1.4746186,52.92253
Sheffield,0.00031964711,0.9924998,0.00718051715, -1.4700850,53.38113
Nuneaton,0.00078031525,0.9984394,0.00078031525, -1.4653820,52.52049
Northallerton,0.00119712690,0.9988029,0.00000000000, -1.4299590,54.33796
South Shields,0.01441186860,0.9853762,0.00021193924, -1.4274060,54.99942
Chesterfield,0.00093886918,0.9887857,0.01027540163, -1.4216290,53.23505
Southampton,0.00000000000,0.9998084,0.00019160789, -1.4043509,50.90970
Wetherby,0.00000000000,0.9963168,0.00368324125, -1.3848160,53.92706
Sunderland,0.02362575301,0.9761860,0.00018825301, -1.3838010,54.90687
Rotherham,0.00087398157,0.9872690,0.01185701662, -1.3635009,53.43260
Castleford,0.00049562201,0.9895919,0.00991244011, -1.3459680,53.72347
Thirsk,0.00138760407,0.9986124,0.00000000000, -1.3413770,54.23385
Banbury,0.00073331704,0.9992667,0.00000000000, -1.3397750,52.06290
Stockton,0.00147175057,0.9982012,0.00032705568, -1.3289821,54.57046
Newbury,0.00064419154,0.9993558,0.00000000000, -1.3231139,51.40141
Isle of Wight,0.00037543540,0.9988737,0.00075087080, -1.3047340,50.69385
Isle of Wight,0.00037543540,0.9988737,0.00075087080, -1.3047340,50.69385
Abingdon,0.00000000000,1.0000000,0.00000000000, -1.2879529,51.67078
Shetland Islands,0.07783985102,0.9214773,0.00068280571, -1.2659409,60.52965
Rugby,0.00048979592,0.9995102,0.00000000000, -1.2650320,52.37088
Oxford,0.00000000000,0.9998086,0.00019135857, -1.2577263,51.75202
Middlesbrough,0.00195957470,0.9976050,0.00043546104, -1.2349560,54.57423
Hartlepool,0.00374892609,0.9957825,0.00046861576, -1.2129260,54.69174
Loughborough,0.00000000000,0.9982626,0.00173740382, -1.2061660,52.77210
Mansfield,0.00077669903,0.9897087,0.00951456311, -1.1986740,53.14720
Nottingham,0.00024420592,0.9960164,0.00373940321, -1.1581086,52.95478
Bicester,0.00000000000,1.0000000,0.00000000000, -1.1535899,51.89960
Leicester,0.00064382128,0.9989643,0.00039189121, -1.1397592,52.63688
Doncaster,0.00022450049,0.9886627,0.01111277408, -1.1284620,53.52282
