placename,past participle,present participle,longitude,latitude
Market Drayton,0.47804213,0.5219579, -2.4834850,52.90355
Telford,0.46425934,0.5357407, -2.4672611,52.67759
Montrose,0.14801605,0.8519840, -2.4661150,56.70692
Turriff,0.19285714,0.8071429, -2.4623000,57.53893
Weymouth,0.55786350,0.4421365, -2.4576210,50.61443
Crewe,0.56421587,0.4357841, -2.4438209,53.10041
Fortuneswell,0.54344920,0.4565508, -2.4422190,50.55919
Dorchester,0.54572624,0.4542738, -2.4411810,50.71116
Alston,0.49872709,0.5012729, -2.4386850,54.81217
Kelso,0.17563117,0.8243688, -2.4322070,55.60003
Wincanton,0.55825243,0.4417476, -2.4160070,51.05569
Clitheroe,0.71927781,0.2807222, -2.3930830,53.87110
Sark,0.58771721,0.4122828, -2.3666256,49.43007
Bath,0.56528792,0.4347121, -2.3590167,51.38106
Kidderminster,0.48468365,0.5153163, -2.2496839,52.38860
Manchester,0.75337721,0.2466228, -2.2426305,53.48076
Burnley,0.74696803,0.2530320, -2.2405035,53.78929
Gloucester,0.61764706,0.3823529, -2.2381560,51.86424
Newcastle-under-Lyme,0.56023955,0.4397605, -2.2273002,53.01321
Worcester,0.51422455,0.4857754, -2.2215750,52.19364
Trowbridge,0.55065359,0.4493464, -2.2088530,51.31966
Shaftesbury,0.55555556,0.4444444, -2.1980830,51.00460
Alderney,0.57943208,0.4205679, -2.1973557,49.71500
Stoke-on-Trent,0.56353524,0.4364648, -2.1794040,53.00267
Colne,0.76096257,0.2390374, -2.1769910,53.85564
Blandford Forum,0.55686762,0.4431324, -2.1653530,50.85691
Rochdale,0.74950850,0.2504915, -2.1561000,53.60971
Jersey,0.58200428,0.4179957, -2.1312500,49.21444
Wolverhampton,0.46685261,0.5331474, -2.1288200,52.58697
Stafford,0.44864433,0.5513557, -2.1206600,52.80669
Macclesfield,0.73034281,0.2696572, -2.1192870,53.25866
Hexham,0.47237997,0.5276200, -2.1121439,54.97266
Aberdeen,0.19498069,0.8050193, -2.0942780,57.14972
Dudley,0.47800818,0.5219918, -2.0811120,52.51226
Cheltenham,0.62393162,0.3760684, -2.0782533,51.89939
Bromsgrove,0.48487955,0.5151205, -2.0619060,52.33559
Skipton,0.73259180,0.2674082, -2.0162787,53.96285
Fraserburgh,0.19136598,0.8086340, -2.0076310,57.69335
Berwick,0.20677877,0.7932212, -2.0053950,55.77024
Poole,0.57290215,0.4270979, -1.9872480,50.71505
Walsall,0.47305778,0.5269422, -1.9829190,52.58621
Cirencester,0.57142857,0.4285714, -1.9682430,51.71849
Evesham,0.51423618,0.4857638, -1.9467700,52.09215
Buxton,0.72672581,0.2732742, -1.9148300,53.25908
Keighley,0.73210179,0.2678982, -1.9123580,53.86780
Birmingham,0.45602628,0.5439737, -1.8904010,52.48624
Bournemouth,0.56665731,0.4333427, -1.8807690,50.71916
Halifax,0.73652873,0.2634713, -1.8575400,53.72702
Salisbury,0.54665784,0.4533422, -1.7944720,51.06878
Ringwood,0.55762387,0.4423761, -1.7888170,50.84495
Huddersfield,0.74894045,0.2510596, -1.7850351,53.64579
Peterhead,0.19423077,0.8057692, -1.7840660,57.50812
Swindon,0.54498270,0.4550173, -1.7797176,51.55577
Bradford,0.74794888,0.2520511, -1.7593980,53.79598
Ashbourne,0.57413249,0.4258675, -1.7321790,53.01663
Marlborough,0.50882724,0.4911728, -1.7270620,51.42007
Stratford-upon-Avon,0.47515572,0.5248443, -1.7082980,52.19173
Alnwick,0.45094937,0.5490506, -1.7062990,55.41274
Otley,0.73753484,0.2624652, -1.6917860,53.90583
Bishop Auckland,0.56483254,0.4351675, -1.6787880,54.66382
Burton upon Trent,0.57884011,0.4211599, -1.6371359,52.81403
Newcastle,0.47784810,0.5221519, -1.6177800,54.97825
Durham,0.54203437,0.4579656, -1.5848520,54.77525
Ashington,0.46092504,0.5390750, -1.5659829,55.18298
Darlington,0.58541867,0.4145813, -1.5594580,54.52361
