placename,Y needs X Ved,Y needs X Ving,longitude,latitude
Nottingham,0.2582938,0.7417062, -1.1581086,52.95478
Bicester,0.3985582,0.6014418, -1.1535899,51.89960
Leicester,0.3102695,0.6897305, -1.1397592,52.63688
Doncaster,0.2442748,0.7557252, -1.1284620,53.52282
Worksop,0.2203024,0.7796976, -1.1227450,53.30930
Basingstoke,0.4544492,0.5455508, -1.0923964,51.26654
Portsmouth,0.4246714,0.5753286, -1.0879769,50.81977
York,0.2488954,0.7511046, -1.0872979,53.95997
Selby,0.2516037,0.7483963, -1.0671890,53.78352
Helmsley,0.2899709,0.7100291, -1.0562636,54.24651
Towcester,0.3411371,0.6588629, -0.9896880,52.13511
Reading,0.4517876,0.5482124, -0.9781303,51.45426
Retford,0.2514970,0.7485030, -0.9455030,53.32136
Petersfield,0.4307851,0.5692149, -0.9389900,51.00759
Northampton,0.3387097,0.6612903, -0.9026560,52.24048
Melton Mowbray,0.2815457,0.7184543, -0.8871260,52.76640
Aylesbury,0.4285714,0.5714286, -0.8084000,51.81561
Newark-on-Trent,0.2313253,0.7686747, -0.8065700,53.07004
Malton,0.2480890,0.7519110, -0.7978970,54.13684
Chichester,0.4240170,0.5759830, -0.7749360,50.83761
Gainsborough,0.2554890,0.7445110, -0.7744650,53.40058
Milton Keynes,0.3915725,0.6084275, -0.7594171,52.04062
Aldershot,0.4667014,0.5332986, -0.7557509,51.24837
High Wycombe,0.4611801,0.5388199, -0.7482290,51.62861
Midhurst,0.4488698,0.5511302, -0.7372740,50.98690
Kettering,0.2969799,0.7030201, -0.7302490,52.39632
Wellingborough,0.3050847,0.6949153, -0.6939640,52.30242
Corby,0.2782462,0.7217538, -0.6842333,52.49230
Bognor Regis,0.4359526,0.5640474, -0.6730610,50.78300
Scunthorpe,0.2485437,0.7514563, -0.6544130,53.58865
Grantham,0.2369057,0.7630943, -0.6435820,52.91252
Whitby,0.3131387,0.6868613, -0.6133470,54.48633
Slough,0.4766355,0.5233645, -0.5950406,51.51054
Guildford,0.4619048,0.5380952, -0.5704090,51.23622
Woking,0.4536892,0.5463108, -0.5600349,51.31677
Lincoln,0.2562358,0.7437642, -0.5405790,53.23069
Bedford,0.3962882,0.6037118, -0.4667782,52.13864
Heathrow,0.4820031,0.5179969, -0.4542955,51.47002
Driffield,0.2473118,0.7526882, -0.4433770,54.00600
Beverley,0.2521186,0.7478814, -0.4350930,53.84196
Luton,0.4897314,0.5102686, -0.4200255,51.87867
Scarborough,0.2977612,0.7022388, -0.3997520,54.28311
Worthing,0.4402174,0.5597826, -0.3728820,50.81787
Dorking,0.4826498,0.5173502, -0.3323780,51.23220
Hull,0.2504892,0.7495108, -0.3274198,53.76762
Horsham,0.4514107,0.5485893, -0.3258580,51.06288
Biggleswade,0.4113166,0.5886834, -0.2642200,52.08694
Peterborough,0.2967848,0.7032152, -0.2405299,52.56950
Welwyn Garden City,0.4873418,0.5126582, -0.2086610,51.80317
Bridlington,0.2485836,0.7514164, -0.1988020,54.08535
Stevenage,0.4800621,0.5199379, -0.1966120,51.90376
