placename,Y needs X to be Ved,Y needs X Ved,Y needs X Ving,longitude,latitude
Hartlepool,0.18798956,0.2428198,0.5691906, -1.2129260,54.69174
Loughborough,0.17142857,0.2342857,0.5942857, -1.2061660,52.77210
Mansfield,0.15116279,0.2209302,0.6279070, -1.1986740,53.14720
Nottingham,0.15584416,0.2467532,0.5974026, -1.1581086,52.95478
Bicester,0.24418605,0.2965116,0.4593023, -1.1535899,51.89960
Leicester,0.16822430,0.2616822,0.5700935, -1.1397592,52.63688
Doncaster,0.15483871,0.1612903,0.6838710, -1.1284620,53.52282
Worksop,0.15662651,0.1385542,0.7048193, -1.1227450,53.30930
Basingstoke,0.25074627,0.3044776,0.4447761, -1.0923964,51.26654
Portsmouth,0.29834254,0.3646409,0.3370166, -1.0879769,50.81977
York,0.12429379,0.2824859,0.5932203, -1.0872979,53.95997
Selby,0.16062176,0.2746114,0.5647668, -1.0671890,53.78352
Helmsley,0.14615385,0.2692308,0.5846154, -1.0562636,54.24651
Towcester,0.19148936,0.2553191,0.5531915, -0.9896880,52.13511
Reading,0.15384615,0.4038462,0.4423077, -0.9781303,51.45426
Retford,0.16091954,0.1666667,0.6724138, -0.9455030,53.32136
Petersfield,0.27348066,0.3646409,0.3618785, -0.9389900,51.00759
Northampton,0.20822622,0.2467866,0.5449871, -0.9026560,52.24048
Melton Mowbray,0.18404908,0.2392638,0.5766871, -0.8871260,52.76640
Aylesbury,0.18918919,0.3243243,0.4864865, -0.8084000,51.81561
Newark-on-Trent,0.15483871,0.2580645,0.5870968, -0.8065700,53.07004
Malton,0.16666667,0.2884615,0.5448718, -0.7978970,54.13684
Chichester,0.29284165,0.2928416,0.4143167, -0.7749360,50.83761
Gainsborough,0.14772727,0.1761364,0.6761364, -0.7744650,53.40058
Milton Keynes,0.16863905,0.2307692,0.6005917, -0.7594171,52.04062
